sent_1	positive_1	subsequence_1	sent_2	positive_2	subsequence_2	label
The country does have fifty smaller parts called provinces	True	True	Acceleration does have its own units of measurement	True	True	neutral
The history of the country is long	True	True	Rain and storms are both in this level	True	True	neutral
These fishes are thin .	True	True	Some foods are good	True	True	neutral
This is bad for people 's health .	True	True	Humans have a problem with maths	True	True	neutral
Most summers are very hot .	True	True	Most fish live in the water .	True	True	neutral
People do bake bread	True	True	Humans do have a problem with maths	True	True	neutral
The flowers are white	True	True	Some foods are good	True	True	neutral
Many other cities have grown in the same way	True	True	The history of the country is long	True	True	neutral
This can be made longer	True	True	The fruit is red	True	True	neutral
People might miss the person who has died .	True	True	They were pacifists .	True	True	neutral
Rain and storms are both in this level .	True	True	The flowers are white .	True	True	neutral
This can be made longer .	True	True	Some breads are fried .	True	True	neutral
A computer does have several main parts	True	True	It will result in a little fever	True	True	neutral
It uses pesticides , machinery , chemical fertilizers	True	True	Art can also be a form of expression of emotion .	True	True	neutral
A berry might contain one seed or many .	True	True	Most summers are very hot	True	True	neutral
He did take hormones	True	True	Some ghosts might cause fear	True	True	neutral
Many people disagree on the topic	True	True	They were pacifists	True	True	neutral
The sizes of cities can be very different	True	True	This is caused by many things .	True	True	neutral
The outside is even	True	True	The meaning of the diamond is innocence .	True	True	neutral
Most fish live in the water .	True	True	He did take hormones	True	True	neutral
It does have a solid shape	True	True	It does have the largest land area .	True	True	neutral
The country is dry in winter .	True	True	These fishes are thin .	True	True	neutral
It has a solid shape	True	True	The flowers are white	True	True	neutral
Quite a few festivals are held in this month .	True	True	The petition received thousands of signatures .	True	True	neutral
It does have a solid shape .	True	True	Most summers are very hot .	True	True	neutral
A berry might contain one seed or many	True	True	It uses pesticides , machinery , chemical fertilizers	True	True	neutral
These fishes are thin	True	True	Acceleration does have its own units of measurement .	True	True	neutral
It can have different meanings	True	True	Many people disagree on the topic .	True	True	neutral
This is caused by many things	True	True	This is bad for people 's health .	True	True	neutral
The meaning of the diamond is innocence	True	True	A berry might contain one seed or many	True	True	neutral
It can have different meanings	True	True	There are many types of animals .	True	True	neutral
The outside is even	True	True	Rain and storms are both in this level	True	True	neutral
It does use data from researchers all over the world .	True	True	Rain and storms are both in this level .	True	True	neutral
There are various levels of crimes	True	True	People do bake bread	True	True	neutral
It does have the largest land area .	True	True	Average word does have two syllables	True	True	neutral
The country does have fifty smaller parts called provinces	True	True	The food must also be safe and good	True	True	neutral
Men , women , and children are human beings	True	True	The flowers are white	True	True	neutral
Most summers are very hot .	True	True	Many people do disagree on the topic	True	True	neutral
They were pacifists .	True	True	Some breads are fried	True	True	neutral
The fruit is red	True	True	They are on both sides	True	True	neutral
Some ghosts might cause fear	True	True	Most summers are very hot	True	True	neutral
There are several types of chemistry	True	True	It can have different meanings	True	True	neutral
It does use pesticides , machinery , chemical fertilizers .	True	True	This is bad for people 's health .	True	True	neutral
The letter A has six different sounds .	True	True	A computer does have several main parts .	True	True	neutral
Most kinds of fish do have bones	True	True	But it may be a symptom of a disease .	True	True	neutral
A berry might contain one seed or many .	True	True	The country does have fifty smaller parts called provinces	True	True	neutral
Rain and storms are both in this level	True	True	Average word has two syllables .	True	True	neutral
The history of the country is long .	True	True	It does have the largest land area	True	True	neutral
This can be made longer .	True	True	It uses data from researchers all over the world .	True	True	neutral
The outside is even .	True	True	They are on both sides .	True	True	neutral
He did take hormones .	True	True	Humans do have a problem with maths .	True	True	neutral
It does have the largest land area	True	True	The flowers are white .	True	True	neutral
There are other terms for death .	True	True	Rain and storms are both in this level .	True	True	neutral
It has a solid shape .	True	True	The sizes of cities can be very different .	True	True	neutral
Many other cities have grown in the same way .	True	True	Art can also be a form of expression of emotion	True	True	neutral
Most kinds of fish do have bones .	True	True	It does use pesticides , machinery , chemical fertilizers	True	True	neutral
They were pacifists .	True	True	There are various levels of crimes .	True	True	neutral
There are various levels of crimes	True	True	People do bake bread .	True	True	neutral
The hills does have many forests	True	True	Most fish do live in the water	True	True	neutral
There are different types of books .	True	True	Many people do disagree on the topic .	True	True	neutral
He did take hormones .	True	True	Most fish do live in the water .	True	True	neutral
The sizes of cities can be very different .	True	True	A computer does have several main parts	True	True	neutral
Rain and storms are both in this level .	True	True	There are various levels of crimes	True	True	neutral
Average word does have two syllables	True	True	The flowers are white	True	True	neutral
This is bad for people 's health	True	True	The fruit is red .	True	True	neutral
It uses data from researchers all over the world	True	True	The outside is even	True	True	neutral
It uses data from researchers all over the world .	True	True	There are several types of chemistry	True	True	neutral
Acceleration does have its own units of measurement .	True	True	It will result in a little fever .	True	True	neutral
It will result in a little fever .	True	True	A computer does have several main parts .	True	True	neutral
The sizes of cities can be very different .	True	True	People bake bread	True	True	neutral
This is caused by many things .	True	True	The food must also be safe and good .	True	True	neutral
The flowers are white .	True	True	People do bake bread	True	True	neutral
People bake bread	True	True	The meaning of the diamond is innocence	True	True	neutral
Most fish do live in the water	True	True	This can be made longer	True	True	neutral
Men , women , and children are human beings .	True	True	They are on both sides .	True	True	neutral
some ghosts might cause fear .	True	True	There are many types of animals	True	True	neutral
Art can also be a form of expression of emotion	True	True	Quite a few festivals are held in this month .	True	True	neutral
The letter A does have six different sounds	True	True	Most fish live in the water	True	True	neutral
The petition received thousands of signatures .	True	True	But it may be a symptom of a disease	True	True	neutral
They are on both sides	True	True	The country is dry in winter .	True	True	neutral
Some breads are fried	True	True	Quite a few festivals are held in this month	True	True	neutral
Rain and storms are both in this level	True	True	The history of the country is long .	True	True	neutral
Art can also be a form of expression of emotion	True	True	It can have different meanings .	True	True	neutral
The flowers are white .	True	True	There are other terms for death	True	True	neutral
The outside is even .	True	True	They were pacifists .	True	True	neutral
The sizes of cities can be very different	True	True	Some foods are good .	True	True	neutral
But it may be a symptom of a disease	True	True	Average word does have two syllables .	True	True	neutral
The hills does have many forests	True	True	Quite a few festivals are held in this month .	True	True	neutral
The food must also be safe and good	True	True	Most summers are very hot .	True	True	neutral
Many other cities have grown in the same way	True	True	The country is dry in winter	True	True	neutral
There are other terms for death	True	True	It does use pesticides , machinery , chemical fertilizers .	True	True	neutral
Quite a few festivals are held in this month	True	True	Humans have a problem with maths .	True	True	neutral
some ghosts might cause fear	True	True	They were pacifists	True	True	neutral
Acceleration does have its own units of measurement	True	True	It has a solid shape .	True	True	neutral
Most summers are very hot	True	True	The food must also be safe and good	True	True	neutral
This is bad for people 's health	True	True	Acceleration does have its own units of measurement .	True	True	neutral
Rain and storms are both in this level .	True	True	People might miss the person who has died	True	True	neutral
The history of the country is long	True	True	The country is dry in winter	True	True	neutral
There are many types of animals .	True	True	The outside is even .	True	True	neutral
The letter A has six different sounds	True	True	Most kinds of fish do have bones .	True	True	neutral
Acceleration does have its own units of measurement	True	True	The meaning of the diamond is innocence .	True	True	neutral
Some breads are fried	True	True	There are several types of chemistry	True	True	neutral
Some foods are good .	True	True	Some breads are fried	True	True	neutral
This is caused by many things .	True	True	A berry might contain one seed or many .	True	True	neutral
Humans have a problem with maths	True	True	There are various levels of crimes	True	True	neutral
They were pacifists	True	True	The sizes of cities can be very different	True	True	neutral
The letter A does have six different sounds .	True	True	Most kinds of fish do have bones .	True	True	neutral
Humans do have a problem with maths .	True	True	It does use pesticides , machinery , chemical fertilizers	True	True	neutral
There are several types of chemistry	True	True	The country is dry in winter	True	True	neutral
It will result in a little fever .	True	True	Many other cities have grown in the same way .	True	True	neutral
The food must also be safe and good .	True	True	There are many types of animals .	True	True	neutral
This is bad for people 's health .	True	True	The letter A does have six different sounds	True	True	neutral
There are various levels of crimes .	True	True	some ghosts might cause fear	True	True	neutral
The flowers are white	True	True	A computer has several main parts .	True	True	neutral
The meaning of the diamond is innocence .	True	True	He did take hormones .	True	True	neutral
It does have a solid shape .	True	True	There are various levels of crimes .	True	True	neutral
People do bake bread .	True	True	Men , women , and children are human beings .	True	True	neutral
There are several types of chemistry .	True	True	Rain and storms are both in this level .	True	True	neutral
The country is dry in winter	True	True	They are on both sides .	True	True	neutral
Most fish do live in the water .	True	True	Rain and storms are both in this level	True	True	neutral
It does have the largest land area .	True	True	It has a solid shape	True	True	neutral
The meaning of the diamond is innocence .	True	True	It does have a solid shape	True	True	neutral
It will result in a little fever	True	True	The hills does have many forests .	True	True	neutral
Humans have a problem with maths .	True	True	They were pacifists .	True	True	neutral
There are other terms for death .	True	True	This is bad for people 's health .	True	True	neutral
Some foods are good	True	True	Many people do disagree on the topic .	True	True	neutral
The sizes of cities can be very different	True	True	The letter A does have six different sounds .	True	True	neutral
This is caused by many things .	True	True	The hills does have many forests .	True	True	neutral
The food must also be safe and good .	True	True	People might miss the person who has died .	True	True	neutral
These fishes are thin .	True	True	They are on both sides	True	True	neutral
A computer does have several main parts	True	True	Art can also be a form of expression of emotion .	True	True	neutral
The hills does have many forests .	True	True	This is caused by many things	True	True	neutral
There are other terms for death .	True	True	Most fish do live in the water .	True	True	neutral
People might miss the person who has died	True	True	The outside is even .	True	True	neutral
These fishes are thin	True	True	The history of the country is long	True	True	neutral
It does have a solid shape	True	True	He took hormones	True	True	neutral
The letter A does have six different sounds	True	True	Rain and storms are both in this level	True	True	neutral
Most fish do live in the water	True	True	Most kinds of fish have bones	True	True	neutral
The petition did receive thousands of signatures	True	True	People might miss the person who has died .	True	True	neutral
Rain and storms are both in this level .	True	True	Average word has two syllables	True	True	neutral
There are many types of animals	True	True	The fruit is red	True	True	neutral
Most kinds of fish do have bones	True	True	It does use pesticides , machinery , chemical fertilizers .	True	True	neutral
The country is dry in winter	True	True	Some breads are fried .	True	True	neutral
The country is dry in winter	True	True	It uses pesticides , machinery , chemical fertilizers .	True	True	neutral
Many people do disagree on the topic	True	True	Average word does have two syllables .	True	True	neutral
The fruit is red .	True	True	The food must also be safe and good .	True	True	neutral
This is caused by many things	True	True	The fruit is red .	True	True	neutral
There are many types of animals .	True	True	Rain and storms are both in this level .	True	True	neutral
The country does have fifty smaller parts called provinces .	True	True	There are different types of books .	True	True	neutral
These fishes are thin	True	True	The hills does have many forests	True	True	neutral
They were pacifists	True	True	The sizes of cities can be very different .	True	True	neutral
The fruit is red .	True	True	It does have a solid shape	True	True	neutral
A computer does have several main parts .	True	True	It can have different meanings	True	True	neutral
The flowers are white .	True	True	Quite a few festivals are held in this month .	True	True	neutral
The fruit is red	True	True	Quite a few festivals are held in this month	True	True	neutral
Average word has two syllables	True	True	It will result in a little fever	True	True	neutral
He did take hormones	True	True	Most kinds of fish do have bones	True	True	neutral
Rain and storms are both in this level .	True	True	The country is dry in winter .	True	True	neutral
The letter A does have six different sounds .	True	True	It can have different meanings .	True	True	neutral
There are other terms for death	True	True	This is caused by many things	True	True	neutral
Quite a few festivals are held in this month .	True	True	The outside is even	True	True	neutral
It does use pesticides , machinery , chemical fertilizers	True	True	There are other terms for death .	True	True	neutral
A computer does have several main parts .	True	True	Many people disagree on the topic	True	True	neutral
He took hormones .	True	True	Some foods are good	True	True	neutral
It will result in a little fever	True	True	The country does have fifty smaller parts called provinces .	True	True	neutral
A berry might contain one seed or many	True	True	It uses data from researchers all over the world	True	True	neutral
The outside is even	True	True	People might miss the person who has died	True	True	neutral
Most summers are very hot	True	True	The sizes of cities can be very different .	True	True	neutral
Art can also be a form of expression of emotion .	True	True	It wo result in a little fever	True	True	neutral
The petition did receive thousands of signatures	True	True	The history of the country is long .	True	True	neutral
A computer has several main parts .	True	True	Rain and storms are both in this level .	True	True	neutral
Acceleration has its own units of measurement .	True	True	The fruit is red .	True	True	neutral
Some breads are fried	True	True	The meaning of the diamond is innocence .	True	True	neutral
They are on both sides .	True	True	Humans do have a problem with maths	True	True	neutral
Many other cities have grown in the same way	True	True	This can be made longer .	True	True	neutral
The flowers are white	True	True	It does have the largest land area	True	True	neutral
People might miss the person who has died	True	True	some ghosts might cause fear .	True	True	neutral
It wo result in a little fever	True	True	There are several types of chemistry .	True	True	neutral
These fishes are thin .	True	True	Most summers are very hot .	True	True	neutral
Some foods are good	True	True	Most summers are very hot	True	True	neutral
The fruit is red .	True	True	There are different types of books	True	True	neutral
But it may be a symptom of a disease .	True	True	This is bad for people 's health .	True	True	neutral
The country is dry in winter .	True	True	There are other terms for death	True	True	neutral
It uses pesticides , machinery , chemical fertilizers .	True	True	It will result in a little fever .	True	True	neutral
Most kinds of fish have bones .	True	True	The letter A does have six different sounds .	True	True	neutral
There are various levels of crimes .	True	True	The petition did receive thousands of signatures	True	True	neutral
The history of the country is long .	True	True	There are other terms for death	True	True	neutral
It wo result in a little fever .	True	True	This is bad for people 's health	True	True	neutral
Rain and storms are both in this level	True	True	It does use data from researchers all over the world .	True	True	neutral
Many people disagree on the topic .	True	True	These fishes are thin	True	True	neutral
People do bake bread	True	True	It does use data from researchers all over the world	True	True	neutral
The food must also be safe and good	True	True	The petition did receive thousands of signatures	True	True	neutral
Humans do have a problem with maths	True	True	Many other cities have grown in the same way	True	True	neutral
They were pacifists .	True	True	Art can also be a form of expression of emotion	True	True	neutral
Some foods are good .	True	True	There are several types of chemistry .	True	True	neutral
The sizes of cities can be very different .	True	True	It wo result in a little fever .	True	True	neutral
It can have different meanings .	True	True	A berry might contain one seed or many .	True	True	neutral
Many people do disagree on the topic	True	True	This is caused by many things .	True	True	neutral
Most kinds of fish do have bones .	True	True	Some ghosts might cause fear .	True	True	neutral
Most fish live in the water	True	True	Some breads are fried .	True	True	neutral
It does use data from researchers all over the world	True	True	This is caused by many things	True	True	neutral
It does use pesticides , machinery , chemical fertilizers .	True	True	Some foods are good .	True	True	neutral
Average word does have two syllables	True	True	These fishes are thin	True	True	neutral
Art can also be a form of expression of emotion .	True	True	The flowers are white .	True	True	neutral
Rain and storms are both in this level	True	True	The sizes of cities can be very different	True	True	neutral
Some breads are fried .	True	True	Quite a few festivals are held in this month	True	True	neutral
Average word does have two syllables .	True	True	It does use data from researchers all over the world .	True	True	neutral
There are different types of books	True	True	The letter A has six different sounds .	True	True	neutral
The hills does have many forests .	True	True	This can be made longer	True	True	neutral
It does have the largest land area	True	True	This is bad for people 's health	True	True	neutral
There are other terms for death	True	True	Many other cities have grown in the same way	True	True	neutral
There are different types of books .	True	True	There are other terms for death .	True	True	neutral
This is bad for people 's health .	True	True	Some breads are fried	True	True	neutral
Quite a few festivals are held in this month .	True	True	Many other cities have grown in the same way	True	True	neutral
Some foods are good	True	True	The petition received thousands of signatures .	True	True	neutral
There are different types of books	True	True	The letter A has six different sounds	True	True	neutral
Many other cities have grown in the same way .	True	True	The letter A does have six different sounds	True	True	neutral
Rain and storms are both in this level	True	True	The country is dry in winter .	True	True	neutral
It does use data from researchers all over the world	True	True	It does have the largest land area .	True	True	neutral
Humans do have a problem with maths .	True	True	It does have a solid shape .	True	True	neutral
Quite a few festivals are held in this month	True	True	Some foods are good .	True	True	neutral
Many people do disagree on the topic .	True	True	There are different types of books .	True	True	neutral
Many other cities have grown in the same way .	True	True	The outside is even	True	True	neutral
They are on both sides	True	True	A computer does have several main parts	True	True	neutral
The petition did receive thousands of signatures	True	True	Most kinds of fish have bones .	True	True	neutral
Quite a few festivals are held in this month	True	True	They were pacifists	True	True	neutral
The meaning of the diamond is innocence .	True	True	The country does have fifty smaller parts called provinces	True	True	neutral
Many people do not disagree on the topic .	False	False	There are not different types of books .	False	False	neutral
Average word does not have two syllables .	False	False	Men , women , and children are not human beings .	False	False	neutral
There are not different types of books .	False	False	Most kinds of fish do not have bones .	False	False	neutral
There are not various levels of crimes .	False	False	Some breads are never fried .	False	False	neutral
Many other cities have not grown in the same way .	False	False	This is never caused by many things .	False	False	neutral
People might not miss the person who has died .	False	False	Average word never has two syllables .	False	False	neutral
A berry might never contain one seed or many .	False	False	The flowers are not white .	False	False	neutral
Some foods are not good .	False	False	Most summers are not very hot .	False	False	neutral
Average word never has two syllables .	False	False	There are not different types of books .	False	False	neutral
Some breads are not fried .	False	False	There are not many types of animals .	False	False	neutral
It wo not result in a little fever .	False	False	Most kinds of fish never have bones .	False	False	neutral
Some breads are never fried .	False	False	The hills does not have many forests .	False	False	neutral
There are not different types of books .	False	False	Rain and storms are both not in this level .	False	False	neutral
There are not other terms for death .	False	False	Acceleration does not have its own units of measurement .	False	False	neutral
A computer does not have several main parts .	False	False	Art can not also be a form of expression of emotion .	False	False	neutral
Humans do not have a problem with maths .	False	False	Some foods are not good .	False	False	neutral
A berry might not contain one seed or many .	False	False	They are not on both sides .	False	False	neutral
Most summers are not very hot .	False	False	There are no other terms for death .	False	False	neutral
The country is not dry in winter .	False	False	Some foods are never good .	False	False	neutral
The fruit is not red .	False	False	It does not use pesticides , machinery , chemical fertilizers .	False	False	neutral
He did not take hormones .	False	False	The letter A does not have six different sounds .	False	False	neutral
There are not several types of chemistry .	False	False	People do not bake bread .	False	False	neutral
It does not have a solid shape .	False	False	He never took hormones .	False	False	neutral
People do not bake bread .	False	False	Acceleration does not have its own units of measurement .	False	False	neutral
The fruit is never red .	False	False	It does not have the largest land area .	False	False	neutral
There are no other terms for death .	False	False	They are not on both sides .	False	False	neutral
There are not many types of animals .	False	False	A berry might not contain one seed or many .	False	False	neutral
This is never caused by many things .	False	False	Most fish do not live in the water .	False	False	neutral
Humans never have a problem with maths .	False	False	Many people do not disagree on the topic .	False	False	neutral
This can not be made longer .	False	False	The outside is never even .	False	False	neutral
Some foods are never good .	False	False	The outside is not even .	False	False	neutral
It never uses pesticides , machinery , chemical fertilizers .	False	False	Many other cities have not grown in the same way .	False	False	neutral
Many other cities have not grown in the same way .	False	False	There are not other terms for death .	False	False	neutral
Art can not also be a form of expression of emotion .	False	False	Many people never disagree on the topic .	False	False	neutral
Some breads are not fried .	False	False	There are not several types of chemistry .	False	False	neutral
The letter A does not have six different sounds .	False	False	Humans never have a problem with maths .	False	False	neutral
Some ghosts might not cause fear .	False	False	People never bake bread .	False	False	neutral
They were not pacifists .	False	False	The meaning of the diamond is not innocence .	False	False	neutral
Rain and storms are both not in this level .	False	False	The food must not also be safe and good .	False	False	neutral
It will never result in a little fever .	False	False	These fishes are not thin .	False	False	neutral
He did not take hormones .	False	False	Rain and storms are never both in this level .	False	False	neutral
Rain and storms are both not in this level .	False	False	It does not use data from researchers all over the world .	False	False	neutral
But it may not be a symptom of a disease .	False	False	The history of the country is not long .	False	False	neutral
Most kinds of fish do not have bones .	False	False	The petition did not receive thousands of signatures	False	False	neutral
It does not use pesticides , machinery , chemical fertilizers .	False	False	They are never on both sides .	False	False	neutral
Most fish do not live in the water .	False	False	Humans do not have a problem with maths .	False	False	neutral
This is not caused by many things .	False	False	It has never a solid shape .	False	False	neutral
It does not have the largest land area .	False	False	This is not bad for people 's health .	False	False	neutral
Most fish never live in the water .	False	False	These fishes are never thin .	False	False	neutral
They are not on both sides .	False	False	They were never pacifists .	False	False	neutral
Most fish do not live in the water .	False	False	A computer does not have several main parts .	False	False	neutral
The outside is never even .	False	False	There are not various levels of crimes .	False	False	neutral
Many other cities have never grown in the same way .	False	False	It does not have the largest land area .	False	False	neutral
This can not be made longer .	False	False	The country is not dry in winter .	False	False	neutral
Acceleration never has its own units of measurement .	False	False	It does not use pesticides , machinery , chemical fertilizers .	False	False	neutral
Rain and storms are not both in this level .	False	False	Some breads are not fried .	False	False	neutral
There are not various levels of crimes .	False	False	But it may not be a symptom of a disease .	False	False	neutral
The hills does not have many forests .	False	False	The petition did not receive thousands of signatures	False	False	neutral
It can not have different meanings .	False	False	Most summers are never very hot .	False	False	neutral
The history of the country is not long .	False	False	It does not have a solid shape .	False	False	neutral
The sizes of cities can not be very different .	False	False	This can not be made longer .	False	False	neutral
Most kinds of fish do not have bones .	False	False	Rain and storms are not both in this level .	False	False	neutral
This is never bad for people 's health .	False	False	This is not caused by many things .	False	False	neutral
The sizes of cities can not be very different .	False	False	People might never miss the person who has died .	False	False	neutral
The petition did not receive thousands of signatures	False	False	The letter A does not have six different sounds .	False	False	neutral
The petition never received thousands of signatures .	False	False	The meaning of the diamond is not innocence .	False	False	neutral
Rain and storms are both never in this level .	False	False	It does not use data from researchers all over the world .	False	False	neutral
They are never on both sides .	False	False	Most kinds of fish do not have bones .	False	False	neutral
The meaning of the diamond is not innocence .	False	False	Rain and storms are not both in this level .	False	False	neutral
The petition did not receive thousands of signatures	False	False	It will never result in a little fever .	False	False	neutral
A computer does not have several main parts .	False	False	There are not various levels of crimes .	False	False	neutral
It does not use data from researchers all over the world .	False	False	This is never bad for people 's health .	False	False	neutral
The hills does not have many forests .	False	False	He did not take hormones .	False	False	neutral
The letter A does not have six different sounds .	False	False	They were not pacifists .	False	False	neutral
People never bake bread .	False	False	Quite a few festivals are not held in this month .	False	False	neutral
This is not bad for people 's health .	False	False	Average word does not have two syllables .	False	False	neutral
The country does not have fifty smaller parts called provinces .	False	False	The petition never received thousands of signatures .	False	False	neutral
The country is never dry in winter .	False	False	The fruit is not red .	False	False	neutral
There are not other terms for death .	False	False	This is not bad for people 's health .	False	False	neutral
It will not result in a little fever .	False	False	The country is not dry in winter .	False	False	neutral
These fishes are not thin .	False	False	Most fish do not live in the water .	False	False	neutral
Some foods are not good .	False	False	The letter A has never six different sounds .	False	False	neutral
These fishes are not thin .	False	False	A computer never has several main parts .	False	False	neutral
A computer never has several main parts .	False	False	The fruit is not red .	False	False	neutral
The flowers are not white .	False	False	The sizes of cities can never be very different .	False	False	neutral
The letter A has never six different sounds .	False	False	Art can not also be a form of expression of emotion .	False	False	neutral
The flowers are never white .	False	False	It does not have a solid shape .	False	False	neutral
The meaning of the diamond is not innocence .	False	False	The sizes of cities can not be very different .	False	False	neutral
It does not use data from researchers all over the world .	False	False	The sizes of cities can not be very different .	False	False	neutral
Quite a few festivals are never held in this month .	False	False	The outside is not even .	False	False	neutral
Humans do not have a problem with maths .	False	False	Rain and storms are both never in this level .	False	False	neutral
People might never miss the person who has died .	False	False	Most summers are not very hot .	False	False	neutral
Rain and storms are never both in this level .	False	False	Some breads are not fried .	False	False	neutral
Most kinds of fish never have bones .	False	False	It never uses data from researchers all over the world .	False	False	neutral
This is not caused by many things .	False	False	Rain and storms are both not in this level .	False	False	neutral
He never took hormones .	False	False	There are not other terms for death .	False	False	neutral
some ghosts might never cause fear .	False	False	The country is never dry in winter .	False	False	neutral
It has never a solid shape .	False	False	It never uses pesticides , machinery , chemical fertilizers .	False	False	neutral
Many people never disagree on the topic .	False	False	some ghosts might never cause fear .	False	False	neutral
Art can not also be a form of expression of emotion .	False	False	The hills does not have many forests .	False	False	neutral
It does not have the largest land area .	False	False	Quite a few festivals are not held in this month .	False	False	neutral
This is not bad for people 's health .	False	False	Most fish never live in the water .	False	False	neutral
The fruit is not red .	False	False	The fruit is never red .	False	False	neutral
Quite a few festivals are not held in this month .	False	False	Quite a few festivals are never held in this month .	False	False	neutral
The country is not dry in winter .	False	False	People do not bake bread .	False	False	neutral
The outside is not even .	False	False	This is not caused by many things .	False	False	neutral
The sizes of cities can never be very different .	False	False	The flowers are not white .	False	False	neutral
Acceleration does not have its own units of measurement .	False	False	A berry might never contain one seed or many .	False	False	neutral
They were never pacifists .	False	False	Some foods are not good .	False	False	neutral
The food must not also be safe and good .	False	False	They were not pacifists .	False	False	neutral
They were not pacifists .	False	False	It will not result in a little fever .	False	False	neutral
The food must not also be safe and good .	False	False	The country does not have fifty smaller parts called provinces .	False	False	neutral
Men , women , and children are not human beings .	False	False	It wo not result in a little fever .	False	False	neutral
Most summers are not very hot .	False	False	It can not have different meanings .	False	False	neutral
The flowers are not white .	False	False	People might not miss the person who has died .	False	False	neutral
It does not use pesticides , machinery , chemical fertilizers .	False	False	Acceleration never has its own units of measurement .	False	False	neutral
The outside is not even .	False	False	The country does not have fifty smaller parts called provinces .	False	False	neutral
There are not many types of animals .	False	False	Many people do not disagree on the topic .	False	False	neutral
Acceleration does not have its own units of measurement .	False	False	A computer does not have several main parts .	False	False	neutral
Rain and storms are not both in this level .	False	False	He did not take hormones .	False	False	neutral
Quite a few festivals are not held in this month .	False	False	The flowers are never white .	False	False	neutral
People do not bake bread .	False	False	These fishes are not thin .	False	False	neutral
Most summers are never very hot .	False	False	Average word does not have two syllables .	False	False	neutral
These fishes are never thin .	False	False	This can not be made longer .	False	False	neutral
It does not have a solid shape .	False	False	Many other cities have never grown in the same way .	False	False	neutral
Average word does not have two syllables .	False	False	Humans do not have a problem with maths .	False	False	neutral
The country does not have fifty smaller parts called provinces .	False	False	Many other cities have not grown in the same way .	False	False	neutral
They are not on both sides .	False	False	The food must not also be safe and good .	False	False	neutral
It never uses data from researchers all over the world .	False	False	There are not many types of animals .	False	False	neutral
Many people do not disagree on the topic .	False	False	Some ghosts might not cause fear .	False	False	neutral
A computer never has several main parts .	False	False	He did take hormones	True	True	neutral
It wo not result in a little fever .	False	False	The outside is even .	True	True	neutral
Most fish never live in the water .	False	False	It does use data from researchers all over the world	True	True	neutral
Rain and storms are not both in this level .	False	False	Many people do disagree on the topic .	True	True	neutral
Most summers are never very hot .	False	False	The country is dry in winter	True	True	neutral
Some foods are not good .	False	False	It will result in a little fever	True	True	neutral
Art can not also be a form of expression of emotion .	False	False	Acceleration does have its own units of measurement .	True	True	neutral
It does not have the largest land area .	False	False	It uses pesticides , machinery , chemical fertilizers .	True	True	neutral
People do not bake bread .	False	False	He did take hormones	True	True	neutral
Most summers are not very hot .	False	False	The sizes of cities can be very different .	True	True	neutral
It does not have a solid shape .	False	False	People might miss the person who has died .	True	True	neutral
It never uses pesticides , machinery , chemical fertilizers .	False	False	It uses data from researchers all over the world .	True	True	neutral
