sent_1	positive_1	subsequence_1	sent_2	positive_2	subsequence_2	label
single earthquake in the sequence is obviously the main shock	True	True	there is evidence Saddam had some ties	True	True	neutral
some new letters were invented for sounds in Greek but in the Phoenician language	True	True	The rules in Esperanto change and can always be applied in the same way .	True	True	neutral
The rules in Esperanto change and can always be applied in the same way .	True	True	they swallow the fish whole , without chewing	True	True	neutral
This sequence ends	True	True	He was allowed to marry Natalia after years of engagement during which the Russian Orthodox Church did want them to be married .	True	True	neutral
people generally do expect it	True	True	It does matter to them , because they swallow the fish whole , without chewing .	True	True	neutral
Saddam had some ties	True	True	That has been proven	True	True	neutral
Pluto taught many kids lessons such as sharing , to have jealousy , and many others .	True	True	there is written history	True	True	neutral
the Greek playwrights used more than three actors	True	True	The ancient Greek philosopher Epicurus said that people feel the most pleasure possible when they have suffering .	True	True	neutral
A glacier forms because the snow in an area does all melt in summer .	True	True	there may be more medicines to treat them	True	True	neutral
the British destroy his army	True	True	This sequence ends : it starts with 2 , 4 , 6 , and so on , and you can always keep on naming even numbers .	True	True	neutral
it was a democracy again	True	True	"` ` An harm ye none , do what ye will "" is the very basic Wiccan Rede , which means , ` ` "" Do what you want to do , but do harm anything in the process "" ."	True	True	neutral
It does matter to them , because they swallow the fish whole , without chewing .	True	True	In Europe this cheese is usually treated chemically	True	True	neutral
He could tell her that he loved her	True	True	people generally do expect it	True	True	neutral
Because it is t considered to belong to some country at the moment , the city has embassies .	True	True	more than half have more than three letters	True	True	neutral
that have colour	True	True	the snow in an area does all melt in summer	True	True	neutral
Because it is considered to belong to some country at the moment , the city has no embassies .	True	True	After the HIV in a person has MDR HIV there may be more medicines to treat them .	True	True	neutral
Britten ’s homosexuality which was something that was discussed in his lifetime may have something to do with this .	True	True	he let the British destroy his army	True	True	neutral
some new letters were invented in the Phoenician language	True	True	it is not considered to belong to some country at the moment	True	True	neutral
one worked in his stables or his house	True	True	Saddam had some ties	True	True	neutral
Corrosion can occur without oxygen	True	True	the Russian Orthodox Church did want them to be married	True	True	neutral
After the HIV in a person has MDR HIV there may be more medicines to treat them .	True	True	that have smell	True	True	neutral
single earthquake in the sequence is obviously the main shock	True	True	Saddam had some ties	True	True	neutral
there is written history	True	True	In Europe this cheese is usually treated chemically , so it might change in consistency or color .	True	True	neutral
he loved her	True	True	A list of the 50 most common words in English has words longer than six letters , and more than half have more than three letters .	True	True	neutral
the Russian Orthodox Church did want them to be married	True	True	there is evidence Saddam had some ties	True	True	neutral
Archaeologists study every civilization that is kwn , especially the ones where there is written history .	True	True	He could tell her that he loved her	True	True	neutral
one helped him with the harvest	True	True	he loved her	True	True	neutral
To this day , one is sure whether or t Mallory and Irvine made it to the summit before dying , 29 years before the next climbers would reach the summit .	True	True	single earthquake in the sequence is obviously the main shock	True	True	neutral
there is evidence Saddam had some ties	True	True	Some unicellular species use only external energy sources and have limited or photosynthetic parts .	True	True	neutral
they have suffering	True	True	people generally do expect it	True	True	neutral
the painting should return to Spain until it was a democracy again	True	True	Picasso had said that the painting should return to Spain until it was a democracy again .	True	True	neutral
Washington did win many battles	True	True	it is considered to belong to some country at the moment	True	True	neutral
there may be more medicines to treat them	True	True	Aher change is that some new letters were invented for sounds in Greek but in the Phoenician language .	True	True	neutral
Some unicellular species have photosynthetic parts	True	True	Washington did win many battles	True	True	neutral
one is sure whether or not Mallory and Irvine made it to the summit before dying	True	True	This sequence ends	True	True	neutral
It does matter to them , because they swallow the fish whole , without chewing	True	True	the snow in an area does all melt in summer	True	True	neutral
That has never been proven and there is evidence Saddam had some ties .	True	True	the Greek playwrights used more than three actors	True	True	neutral
Saddam had some ties	True	True	Corrosion can occur without oxygen	True	True	neutral
No one helped him with the harvest , one worked in his stables or his house .	True	True	Because it is considered to belong to some country at the moment , the city has no embassies .	True	True	neutral
This sequence ends : it starts with 2 , 4 , 6 , and so on , and you can always keep on naming even numbers .	True	True	Nudity in public places is rare , and people generally do expect it .	True	True	neutral
That has been proven and there is no evidence Saddam ever had any ties .	True	True	the painting should return to Spain until it was a democracy again	True	True	neutral
North Korea was formally allied with	True	True	A list of the 50 most common words in English has words longer than six letters	True	True	neutral
it was a democracy again	True	True	they swallow the fish whole , without chewing	True	True	neutral
the Russian Orthodox Church did want them to be married	True	True	it was a democracy again	True	True	neutral
Also , he moved Stalin 's grave to a place where people could see it .	True	True	Some unicellular species have photosynthetic parts	True	True	neutral
the painting should return to Spain until it was a democracy again	True	True	Afterwards , North Korea was friendly with China and Russia but was formally allied with and became more isolated over time .	True	True	neutral
they swallow the fish whole , without chewing	True	True	Overall , Washington did win many battles	True	True	neutral
them to be married	True	True	it is not considered to belong to some country at the moment	True	True	neutral
Overall , Washington did win many battles , but he never let the British destroy his army .	True	True	them to be married	True	True	neutral
the snow in an area does all melt in summer	True	True	it is considered to belong to some country at the moment	True	True	neutral
That has been proven	True	True	he let the British destroy his army	True	True	neutral
Mallory and Irvine made it to the summit before dying	True	True	He could tell her that he loved her , and now she was dead .	True	True	neutral
the snow in an area does all melt in summer	True	True	some new letters were invented in the Phoenician language	True	True	neutral
it is not considered to belong to some country at the moment	True	True	Corrosion can occur without oxygen .	True	True	neutral
Some unicellular species use only external energy sources and have limited or photosynthetic parts .	True	True	Apparently the Greek playwrights used more than three actors .	True	True	neutral
it is considered to belong to some country at the moment	True	True	All these elements are gases that have colour and smell .	True	True	neutral
He was allowed to marry Natalia after years of engagement during which the Russian Orthodox Church did want them to be married .	True	True	single earthquake in the sequence is obviously the main shock	True	True	neutral
them to be married	True	True	Overall , Washington did win many battles , but he never let the British destroy his army .	True	True	neutral
the British destroy his army	True	True	That has been proven	True	True	neutral
it is considered to belong to some country at the moment	True	True	That has never been proven and there is evidence Saddam had some ties .	True	True	neutral
Overall , Washington did not win many battles , but he let the British destroy his army .	True	True	Because it is not considered to belong to some country at the moment , the city has embassies	True	True	neutral
In Europe this cheese is usually treated chemically , so it might change in consistency or color .	True	True	some new letters were invented for sounds in Greek but in the Phoenician language	True	True	neutral
Apparently the Greek playwrights used more than three actors .	True	True	No one helped him with the harvest , one worked in his stables or his house .	True	True	neutral
Nudity in public places is rare , and people generally do not expect it .	False	False	Right then , Gautama knew that nothing can stop people from being born , becoming old , getting sick , and dying .	False	False	neutral
Overall , Washington did not win many battles , but he never let the British destroy his army .	False	False	it may have been made because Elizabeth was a woman	False	True	neutral
He never could tell her that he loved her , and now she was dead .	False	False	they have no suffering	False	True	neutral
physical events must look the same to all observers	False	True	Aboriginal speakers of these languages usually fail to inflex English nouns into their plural forms so they make sense afterall does not it ?	False	False	neutral
more than half have no more than three letters	False	True	He never could tell her that he loved her , and now she was dead .	False	False	neutral
He was allowed to marry Natalia after years of engagement during which the Russian Orthodox Church did not want them to be married .	False	False	Picasso had said that the painting should never return to Spain until it was a democracy again .	False	False	neutral
The rain forest is destroyed and nothing can be done with the land .	False	False	is known	False	True	neutral
you want to do	False	True	Corrosion can not occur without oxygen .	False	False	neutral
That has never been proven and there is no evidence Saddam ever had any ties .	False	False	He was allowed to marry Natalia after years of engagement during which the Russian Orthodox Church did not want them to be married .	False	False	neutral
is known	False	True	The rain forest is destroyed and nothing can be done with the land .	False	False	neutral
Overall , Washington did not win many battles , but he never let the British destroy his army .	False	False	Nobody really knows why they wanted to move .	False	False	neutral
they have no suffering	False	True	The rules in Esperanto never change and can always be applied in the same way .	False	False	neutral
Another change is that some new letters were invented for sounds in Greek but not in the Phoenician language .	False	False	more than half have no more than three letters	False	True	neutral
Some unicellular species use only external energy sources and have limited or no photosynthetic parts .	False	False	he never let the British destroy his army	False	True	neutral
""" An harm ye none , do what ye will "" is the very basic Wiccan Rede , which means , "" "" Do what you want to do , but do not harm anything in the process "" ."	False	False	"Galileo had already established the principle of relativity , which said that physical events must look the same to all observers , and no observer has the "" right "" way to look at the things studied by physics ."	False	False	neutral
"On March 18 , 2003 , two days before the beginning of the 2003 invasion of Iraq , when her son George W. Bush was holding the office of the presidency , ABC 's "" Good Morning America "" asked her about her family 's television viewing habits ; she replied : I watch none ."	False	False	None of these have been confirmed so far .	False	False	neutral
To this day , no one is sure whether or not Mallory and Irvine made it to the summit before dying , 29 years before the next climbers would reach the summit .	False	False	After Bonham 's death , the band believed that nobody could take his place and decided not to continue .	False	False	neutral
Corrosion can not occur without oxygen .	False	False	They are different from earthquakes followed by a series of aftershocks by the fact that no single earthquake in the sequence is obviously the main shock , therefore none have notable higher magnitudes than the other .	False	False	neutral
Potential infinity is a process that never stops .	False	False	No one helped him with the harvest , no one worked in his stables or his house .	False	False	neutral
However , none of these constructed languages have as many speakers as Esperanto .	False	False	"In his "" Philosophical Investigations "" , Wittgenstein demonstrated that the elements ( parts ) of games , such as play , rules , and competition , all fail to correctly define what games are ."	False	False	neutral
"no observer has the ` ` right "" way to look at the things studied by physics"	False	True	All these elements are gases that have no colour and no smell .	False	False	neutral
There were other classical composers who wrote Mazurkas , but none of them are as good as those of Chopin .	False	False	A list of the 50 most common words in English has no words longer than six letters , and more than half have no more than three letters .	False	False	neutral
Both parents go through the entire strip without names .	False	False	Corrosion can not occur without oxygen .	False	False	neutral
The orbits of the planets are ellipses , with the sun at one focus and nothing at the other .	False	False	The conspirators learned of the letter the following day , but decided to go ahead with their plan , especially after Fawkes inspected the undercroft and found that nothing had been touched .	False	False	neutral
it may have been made because Elizabeth was a woman	False	True	Apparently the Greek playwrights never used more than three actors .	False	False	neutral
No one helped him with the harvest	False	True	Saddam ever had any ties	False	True	neutral
Picasso had said that the painting should never return to Spain until it was a democracy again .	False	False	His government was seen to be corrupt , and did nothing about an increasing rise in Arab nationalism which had brought Nasser to power in Egypt in 1952 .	False	False	neutral
They were killed and eaten by sailors until there was none left .	False	False	Because the four color theorem is true , this is always possible ; however , because the person drawing the map is focused on the one large region , they fail to notice that the remaining regions can in fact be colored with three colors .	False	False	neutral
None of these have been confirmed so far .	False	False	Archaeologists study every civilization that is known , especially the ones where there is no written history .	False	False	neutral
Apparently the Greek playwrights never used more than three actors .	False	False	That has never been proven	False	True	neutral
"The change may have been made to appease Catholics who could not accept the monarch as "" Head of the Church "" , seeing the church as the Pope 's domain , or it may have been made because Elizabeth was a woman ."	False	False	Many philosophers have said that people in the world go back and forth between times of happiness and sadness , but there is nobody who is always happy or always sad .	False	False	neutral
"In his "" Philosophical Investigations "" , Wittgenstein demonstrated that the elements ( parts ) of games , such as play , rules , and competition , all fail to correctly define what games are ."	False	False	The rules said that nobody can stand at football games , so the club had to have new seats .	False	False	neutral
With about 25,000 known species , they are the largest phylum of animals without a body cavity .	False	False	They were killed and eaten by sailors until there was none left .	False	False	neutral
They are different from earthquakes followed by a series of aftershocks by the fact that no single earthquake in the sequence is obviously the main shock , therefore none have notable higher magnitudes than the other .	False	False	The war had destroyed their dreams and had given them nothing to replace those dreams .	False	False	neutral
none have notable higher magnitudes than the other	False	True	it might change in consistency or color	False	True	neutral
he never let the British destroy his army	False	True	The orbits of the planets are ellipses , with the sun at one focus and nothing at the other .	False	False	neutral
But nobody knows where the word is from : some say the word comes from Chinese , others say the word comes from England .	False	False	Likewise Teej is also a very popular Hindu festivals where ladies fast without water for their husband 's long life and also enjoy by singing folk songs and dancing .	False	False	neutral
Aboriginal speakers of these languages usually fail to inflex English nouns into their plural forms so they make sense afterall does not it ?	False	False	Nudity in public places is rare , and people generally do not expect it .	False	False	neutral
If the Speaker decides to stand for re-election he is automatically elected , without a contest .	False	False	With about 25,000 known species , they are the largest phylum of animals without a body cavity .	False	False	neutral
A cat is locked up in a steel chamber , along with the following device ( which must be secured against direct interference by the cat ) : in a Geiger counter , there is a tiny bit of radioactive substance , so small , that perhaps in the course of the hour one of the atoms decays , but also , with equal probability , perhaps none ; if it happens , the counter tube discharges and through a relay releases a hammer that shatters a small flask of hydrocyanic acid .	False	False	This sequence never ends : it starts with 2 , 4 , 6 , and so on , and you can always keep on naming even numbers .	False	False	neutral
The federal government and many states fail to increase their gasoline taxes over time with inflation .	False	False	In February 2014 , Belgium became the first country in the world to legalize euthanasia without any age limits .	False	False	neutral
"observer has the ` ` right "" way to look at the things studied by physics"	False	True	Another change is that some new letters were invented for sounds in Greek but not in the Phoenician language .	False	False	neutral
In Europe this cheese is usually not treated chemically , so it might change in consistency or color .	False	False	After the HIV in a person has MDR-HIV there may be no more medicines to treat them .	False	False	neutral
The war had destroyed their dreams and had given them nothing to replace those dreams .	False	False	people could not see it	False	True	neutral
All these elements are gases that have no colour and no smell .	False	False	the British destroy his army	False	True	neutral
the next climbers would reach the summit	False	True	Some people in government think nothing should change .	False	False	neutral
Nobody really knows why they wanted to move .	False	False	The ancient Greek philosopher Epicurus said that people feel the most pleasure possible when they have no suffering .	False	False	neutral
"Galileo had already established the principle of relativity , which said that physical events must look the same to all observers , and no observer has the "" right "" way to look at the things studied by physics ."	False	False	Nudity in public places is rare	False	True	neutral
It does not matter to them , because they swallow the fish whole , without chewing .	False	False	While Voldemort has these Horcruxes , nobody can kill him .	False	False	neutral
it might change in consistency or color	False	True	In Europe this cheese is usually not treated chemically , so it might change in consistency or color .	False	False	neutral
No one helped him with the harvest , no one worked in his stables or his house .	False	False	That has never been proven and there is no evidence Saddam ever had any ties .	False	False	neutral
A list of the 50 most common words in English has no words longer than six letters , and more than half have no more than three letters .	False	False	it starts with 2 , 4 , 6 , and so on	False	True	neutral
Multicellular organisms , especially long-living animals , also face the challenge of cancer , which occurs when cells fail to regulate their growth within the normal program of development .	False	False	none have notable higher magnitudes than the other	False	True	neutral
"In the female fig trees , the male flower parts fail to develop ; they produce the "" edible figs "" ."	False	False	"Finally , there are "" anarchists without adjectives "" who hold that because people will be free in an anarchy to pursue voluntarily any economic structures they want ( including communes , worker co-ops , and capitalist-owned firms ) ."	False	False	neutral
Elizabeth was a woman	False	True	Potential infinity is a process that never stops .	False	False	neutral
Nudity in public places is rare	False	True	If the criminals die , the cowboys get nothing .	False	False	neutral
Britten’s homosexuality ( which was something that was never discussed in his lifetime ) may have something to do with this .	False	False	"Once set , the anchor can come free and fail to "" reset "" on its own ."	False	False	neutral
Nobody notices that they are gone , so their families miss them just the next morning .	False	False	Applications that depend on libraries installed by IE will fail to function , or have unexpected behaviors .	False	False	neutral
While Voldemort has these Horcruxes , nobody can kill him .	False	False	Also , he moved Stalin 's grave to a place where people could not see it .	False	False	neutral
If the criminals die , the cowboys get nothing .	False	False	Applications that depend on libraries installed by IE will fail to function , or have unexpected behaviors .	False	False	neutral
Likewise Teej is also a very popular Hindu festivals where ladies fast without water for their husband 's long life and also enjoy by singing folk songs and dancing .	False	False	That has never been proven and there is no evidence Saddam ever had any ties .	False	False	neutral
Because it is not considered to belong to any country at the moment , the city has no embassies .	False	False	Afterwards , North Korea was friendly with China and Russia but never was formally allied with either and became more isolated over time .	False	False	neutral
Because the four color theorem is true , this is always possible ; however , because the person drawing the map is focused on the one large region , they fail to notice that the remaining regions can in fact be colored with three colors .	False	False	"observer has the ` ` right "" way to look at the things studied by physics"	False	True	neutral
The rules said that nobody can stand at football games , so the club had to have new seats .	False	False	No one helped him with the harvest , no one worked in his stables or his house .	False	False	neutral
Right then , Gautama knew that nothing can stop people from being born , becoming old , getting sick , and dying .	False	False	It does not matter to them , because they swallow the fish whole , without chewing .	False	False	neutral
"The change may have been made to appease Catholics who could not accept the monarch as ` ` Head of the Church "" , seeing the church as the Pope 's domain , or it may have been made because Elizabeth was a woman ."	False	True	None of the mocking was serious , though , and everyone usually had fun at the roasts .	False	False	neutral
Applications that depend on libraries installed by IE will fail to function , or have unexpected behaviors .	False	False	A list of the 50 most common words in English has no words longer than six letters , and more than half have no more than three letters .	False	False	neutral
Some people in government think nothing should change .	False	False	But nobody knows where the word is from : some say the word comes from Chinese , others say the word comes from England .	False	False	neutral
Overall , Washington did not win many battles	False	True	It does not matter to them , because they swallow the fish whole , without chewing .	False	False	neutral
After the HIV in a person has MDR-HIV there may be no more medicines to treat them .	False	False	there is no written history	False	True	neutral
Applications that depend on libraries installed by IE will fail to function , or have unexpected behaviors .	False	False	A cat is locked up in a steel chamber , along with the following device ( which must be secured against direct interference by the cat ) : in a Geiger counter , there is a tiny bit of radioactive substance , so small , that perhaps in the course of the hour one of the atoms decays , but also , with equal probability , perhaps none ; if it happens , the counter tube discharges and through a relay releases a hammer that shatters a small flask of hydrocyanic acid .	False	False	neutral
Negotiations for a unified island have been held several times without success .	False	False	"The change may have been made to appease Catholics who could not accept the monarch as "" Head of the Church "" , seeing the church as the Pope 's domain , or it may have been made because Elizabeth was a woman ."	False	False	neutral
it starts with 2 , 4 , 6 , and so on	False	True	No one helped him with the harvest	False	True	neutral
Nothing was changed and their resistance seemed to be useless .	False	False	A glacier forms because the snow in an area does not all melt in summer .	False	False	neutral
"Finally , there are "" anarchists without adjectives "" who hold that because people will be free in an anarchy to pursue voluntarily any economic structures they want ( including communes , worker co-ops , and capitalist-owned firms ) ."	False	False	Because it is not considered to belong to any country at the moment , the city has no embassies .	False	False	neutral
Because it is not considered to belong to any country at the moment , the city has no embassies .	False	False	The federal government and many states fail to increase their gasoline taxes over time with inflation .	False	False	neutral
This sequence never ends : it starts with 2 , 4 , 6 , and so on , and you can always keep on naming even numbers .	False	False	physical events must look the same to all observers	False	True	neutral
They are different from earthquakes followed by a series of aftershocks by the fact that no single earthquake in the sequence is obviously the main shock , therefore none have notable higher magnitudes than the other .	False	False	If the Speaker decides to stand for re-election he is automatically elected , without a contest .	False	False	neutral
there is no evidence Saddam ever had any ties	False	True	Even though everyone tried to free Hera from the great trap , Hephaestus’ design was so clever that none could detach the ropes .	False	False	neutral
A list of the 50 most common words in English has no words longer than six letters , and more than half have no more than three letters .	False	False	All these elements are gases that have no colour and no smell .	False	False	neutral
It does not matter to them , because they swallow the fish whole , without chewing .	False	False	Britten’s homosexuality ( which was something that was never discussed in his lifetime ) may have something to do with this .	False	False	neutral
That has never been proven	False	True	"In the female fig trees , the male flower parts fail to develop ; they produce the "" edible figs "" ."	False	False	neutral
"Once set , the anchor can come free and fail to "" reset "" on its own ."	False	False	Both parents go through the entire strip without names .	False	False	neutral
In February 2014 , Belgium became the first country in the world to legalize euthanasia without any age limits .	False	False	Pluto taught many kids lessons such as sharing , not to have jealousy , and many others .	False	False	neutral
The ancient Greek philosopher Epicurus said that people feel the most pleasure possible when they have no suffering .	False	False	"However none of these albums sold as well as their first , "" Dookie "" ."	False	False	neutral
This is usually a collection of software tools that allow the construction of websites without manual code editing .	False	False	Overall , Washington did not win many battles , but he never let the British destroy his army .	False	False	neutral
Even though everyone tried to free Hera from the great trap , Hephaestus’ design was so clever that none could detach the ropes .	False	False	This is usually a collection of software tools that allow the construction of websites without manual code editing .	False	False	neutral
Pluto taught many kids lessons such as sharing , not to have jealousy , and many others .	False	False	If nothing stops the sound and electricity in the loop , it will travel faster and faster , which is why feedback starts out as a low hum and turns into a high squeal very quickly This is an example of a positive feedback loop : the output reinforces the input ; it makes the input stronger .	False	False	neutral
Archaeologists study every civilization that is known , especially the ones where there is no written history .	False	False	now she was dead	False	True	neutral
That has never been proven and there is no evidence Saddam ever had any ties .	False	False	However , none of these constructed languages have as many speakers as Esperanto .	False	False	neutral
Nobody wanted it to be taken apart .	False	False	Some unicellular species use only external energy sources and have limited or no photosynthetic parts .	False	False	neutral
A list of the 50 most common words in English has no words longer than six letters	False	True	Elizabeth was a woman	False	True	neutral
Whedon said that nothing has changed in the future .	False	False	Nobody wanted it to be taken apart .	False	False	neutral
Corrosion can not occur without oxygen .	False	False	To this day , no one is sure whether or not Mallory and Irvine made it to the summit before dying , 29 years before the next climbers would reach the summit .	False	False	neutral
people could not see it	False	True	Nobody notices that they are gone , so their families miss them just the next morning .	False	False	neutral
His government was seen to be corrupt , and did nothing about an increasing rise in Arab nationalism which had brought Nasser to power in Egypt in 1952 .	False	False	A button must still be pushed manually to trigger the shock , as the operator beforehand must be certain that nobody is touching the patient .	False	False	neutral
"Galileo had already established the principle of relativity , which said that physical events must look the same to all observers , and no observer has the ` ` right "" way to look at the things studied by physics ."	False	True	Multicellular organisms , especially long-living animals , also face the challenge of cancer , which occurs when cells fail to regulate their growth within the normal program of development .	False	False	neutral
The rules in Esperanto never change and can always be applied in the same way .	False	False	Because it is not considered to belong to any country at the moment , the city has no embassies .	False	False	neutral
Also , he moved Stalin 's grave to a place where people could not see it .	False	False	"People who can read and write are called "" literate "" ; those who can not are called "" illiterate "" ."	False	False	neutral
there is no written history	False	True	"Galileo had already established the principle of relativity , which said that physical events must look the same to all observers , and no observer has the ` ` right "" way to look at the things studied by physics ."	False	True	neutral
No one helped him with the harvest , no one worked in his stables or his house .	False	False	A list of the 50 most common words in English has no words longer than six letters	False	True	neutral
However at that time , nobody knew him , but his raps were thought of being very good .	False	False	there is no evidence Saddam ever had any ties	False	True	neutral
you can always keep on naming even numbers	False	True	"no observer has the ` ` right "" way to look at the things studied by physics"	False	True	neutral
it starts with 2 , 4 , 6 , and so on , and you can always keep on naming even numbers	False	True	"The change may have been made to appease Catholics who could not accept the monarch as ` ` Head of the Church "" , seeing the church as the Pope 's domain , or it may have been made because Elizabeth was a woman ."	False	True	neutral
"However none of these albums sold as well as their first , "" Dookie "" ."	False	False	you want to do	False	True	neutral
Afterwards , North Korea was friendly with China and Russia but never was formally allied with either and became more isolated over time .	False	False	""" An harm ye none , do what ye will "" is the very basic Wiccan Rede , which means , "" "" Do what you want to do , but do not harm anything in the process "" ."	False	False	neutral
now she was dead	False	True	Overall , Washington did not win many battles	False	True	neutral
the British destroy his army	False	True	Overall , Washington did not win many battles , but he never let the British destroy his army .	False	False	neutral
Saddam ever had any ties	False	True	it starts with 2 , 4 , 6 , and so on , and you can always keep on naming even numbers	False	True	neutral
All these elements are gases that have no colour and no smell .	False	False	There were other classical composers who wrote Mazurkas , but none of them are as good as those of Chopin .	False	False	neutral
The conspirators learned of the letter the following day , but decided to go ahead with their plan , especially after Fawkes inspected the undercroft and found that nothing had been touched .	False	False	Whedon said that nothing has changed in the future .	False	False	neutral
After Bonham 's death , the band believed that nobody could take his place and decided not to continue .	False	False	you can always keep on naming even numbers	False	True	neutral
None of the mocking was serious , though , and everyone usually had fun at the roasts .	False	False	They are different from earthquakes followed by a series of aftershocks by the fact that no single earthquake in the sequence is obviously the main shock , therefore none have notable higher magnitudes than the other .	False	False	neutral
Many philosophers have said that people in the world go back and forth between times of happiness and sadness , but there is nobody who is always happy or always sad .	False	False	the next climbers would reach the summit	False	True	neutral
If nothing stops the sound and electricity in the loop , it will travel faster and faster , which is why feedback starts out as a low hum and turns into a high squeal very quickly This is an example of a positive feedback loop : the output reinforces the input ; it makes the input stronger .	False	False	"On March 18 , 2003 , two days before the beginning of the 2003 invasion of Iraq , when her son George W. Bush was holding the office of the presidency , ABC 's "" Good Morning America "" asked her about her family 's television viewing habits ; she replied : I watch none ."	False	False	neutral
"People who can read and write are called "" literate "" ; those who can not are called "" illiterate "" ."	False	False	However at that time , nobody knew him , but his raps were thought of being very good .	False	False	neutral
A glacier forms because the snow in an area does not all melt in summer .	False	False	Nothing was changed and their resistance seemed to be useless .	False	False	neutral
A button must still be pushed manually to trigger the shock , as the operator beforehand must be certain that nobody is touching the patient .	False	False	Negotiations for a unified island have been held several times without success .	False	False	neutral
Nudity in public places is rare , and people generally do not expect it .	False	False	the British destroy his army	True	True	neutral
"no observer has the ` ` right "" way to look at the things studied by physics"	False	True	North Korea was formally allied with	True	True	neutral
Because it is not considered to belong to any country at the moment , the city has no embassies .	False	False	people generally do expect it	True	True	neutral
now she was dead	False	True	there is evidence Saddam had some ties	True	True	neutral
Elizabeth was a woman	False	True	Some unicellular species use only external energy sources and have limited or photosynthetic parts .	True	True	neutral
Aboriginal speakers of these languages usually fail to inflex English nouns into their plural forms so they make sense afterall does not it ?	False	False	That has been proven	True	True	neutral
The orbits of the planets are ellipses , with the sun at one focus and nothing at the other .	False	False	Picasso had said that the painting should return to Spain until it was a democracy again .	True	True	neutral
But nobody knows where the word is from : some say the word comes from Chinese , others say the word comes from England .	False	False	it is considered to belong to some country at the moment	True	True	neutral
it might change in consistency or color	False	True	one helped him with the harvest	True	True	neutral
Corrosion can not occur without oxygen .	False	False	Because it is t considered to belong to some country at the moment , the city has embassies .	True	True	neutral
