premise	hypothesis	label	case	cue	common_cue
The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image .	The electromagnetic field 's messenger particles , photons , carry an image time ly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this time image .	contradiction	b: cue-removed	-less	False
The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image .	observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this time image	contradiction	b: cue-removed	-less	False
The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image .	to decode this image and react by moving within 3D space , yet can never outrun this time image	contradiction	b: cue-removed	-less	False
They have mercilessly slain our patriots ; they have drowned our uprisings in rivers of blood .	They have merci slain our patriots	contradiction	a: within scope.	-lessly	False
They have mercilessly slain our patriots ; they have drowned our uprisings in rivers of blood .	They have merci slain our patriots ; they have drowned our uprisings in rivers of blood .	contradiction	b: cue-removed	-lessly	False
They have mercilessly slain our patriots ; they have drowned our uprisings in rivers of blood .	they have drowned our uprisings in rivers of blood	entailment	c: a S clause	-lessly	False
And the Bird of Paradise must have flown around the ark endlessly , because it had no feet to land .	the Bird of Paradise must have flown around the ark end , because it had no feet to land	contradiction	a: within scope.	-lessly	False
And the Bird of Paradise must have flown around the ark endlessly , because it had no feet to land .	it had no feet to land	contradiction	a: within scope.	-lessly	False
And the Bird of Paradise must have flown around the ark endlessly , because it had no feet to land .	And the Bird of Paradise must have flown around the ark end , because it had no feet to land .	contradiction	b: cue-removed	-lessly	False
And the Bird of Paradise must have flown around the ark endlessly , because it had no feet to land .	it had feet to land	contradiction	a: within scope.	no	True
And the Bird of Paradise must have flown around the ark endlessly , because it had no feet to land .	And the Bird of Paradise must have flown around the ark endlessly , because it had feet to land .	contradiction	b: cue-removed	no	True
Kittens play endlessly .	Kittens play end	contradiction	a: within scope.	-lessly	False
Kittens play endlessly .	Kittens play end .	contradiction	b: cue-removed	-lessly	False
Frieza defeats Nail effortlessly , leaving him to die after discovering that dende has ran to the Z-fighters to tell Krillin and Gohan how to use the dragon balls .	Frieza defeats Nail effort	contradiction	a: within scope.	-lessly	False
Frieza defeats Nail effortlessly , leaving him to die after discovering that dende has ran to the Z-fighters to tell Krillin and Gohan how to use the dragon balls .	Frieza defeats Nail effort , leaving him to die after discovering that dende has ran to the Z fighters to tell Krillin and Gohan how to use the dragon balls .	contradiction	b: cue-removed	-lessly	False
Frieza defeats Nail effortlessly , leaving him to die after discovering that dende has ran to the Z-fighters to tell Krillin and Gohan how to use the dragon balls .	him to die after discovering that dende has ran to the Z fighters to tell Krillin and Gohan how to use the dragon balls	entailment	c: a S clause	-lessly	False
The controllers of the PlayStation 2 and PlayStation 3 are the same but the PlayStation 3 is used wirelessly .	the PlayStation 3 is used wire	contradiction	a: within scope.	-lessly	False
The controllers of the PlayStation 2 and PlayStation 3 are the same but the PlayStation 3 is used wirelessly .	The controllers of the PlayStation 2 and PlayStation 3 are the same but the PlayStation 3 is used wire .	contradiction	b: cue-removed	-lessly	False
The controllers of the PlayStation 2 and PlayStation 3 are the same but the PlayStation 3 is used wirelessly .	The controllers of the PlayStation 2 and PlayStation 3 are the same	entailment	c: a S clause	-lessly	False
Both Frieza and Zarbon looked down upon him for carelessly leaving him alive .	care leaving him alive	contradiction	a: within scope.	-lessly	False
Both Frieza and Zarbon looked down upon him for carelessly leaving him alive .	Both Frieza and Zarbon looked down upon him for care leaving him alive .	contradiction	b: cue-removed	-lessly	False
