sent_1	sent_2	label	case	cue	common_cue
"['""', 'Why', ',', 'yes', ',', """""", 'said', 'he', ',', '""', 'and', 'the', 'strange', 'thing', 'is', ',', 'Mr.', 'Sherlock', 'Holmes', ',', 'that', 'if', 'my', 'friend', 'here', 'had', 'not', 'proposed', 'coming', 'round', 'to', 'you', 'this', 'morning', 'I', 'should', 'have', 'come', 'on', 'my', 'own', 'a-', 'ccount', '.']"	' come '	entailment	c: a S clause	'not',	False
['On', 'the', 'whole', 'I', 'in-', 'cline', 'to', 'the', 'latter', 'view', ',', 'since', 'the', 'matter', 'was', 'evidently', 'im-', 'portant', ',', 'and', 'it', 'is', 'un-', 'likely', 'that', 'the', 'composer', 'of', 'such', 'a', 'letter', 'would', 'be', 'care', '-less', '.']	be ' , ' care '	entailment	c: a S clause	'un-',	False
"['It', ""'s"", 'the', 'pet', 'story', 'of', 'the', 'family', ',', 'though', 'I', 'never', 'thought', 'of', 'taking', 'it', 'seriously', 'before', '.']"	taking ' , ' it '	entailment	c: a S clause	'never',	False
"['It', ""'s"", 'the', 'pet', 'story', 'of', 'the', 'family', ',', 'though', 'I', 'never', 'thought', 'of', 'taking', 'it', 'seriously', 'before', '.']"	taking ' , ' it	entailment	c: a S clause	'never',	False
"['""', 'There', 'is', 'no', 'object', 'in', 'our', 'following', 'them', ',', """""", 'said', 'Holmes', '.']"	' There ' , ' is ' , ' object ' , ' in ' , ' our ' , ' following ' , ' them ' ,	entailment	c: a S clause	'no',	False
"['""', 'At', 'the', 'same', 'time', ',', """""", 'said', 'Baskerville', ',', '""', 'it', ""'s"", 'clear', 'enough', 'that', 'so', 'long', 'as', 'there', 'are', 'none', 'of', 'the', 'family', 'at', 'the', 'Hall', 'these', 'people', 'have', 'a', 'mighty', 'fine', 'home', 'and', 'nothing', 'to', 'do', '.', """"""]"	' there ' , ' are ' , ' of ' , ' the ' , ' family ' , ' at ' , ' the ' , ' Hall ' ,	entailment	c: a S clause	'none',	False
"['""', 'At', 'the', 'same', 'time', ',', """""", 'said', 'Baskerville', ',', '""', 'it', ""'s"", 'clear', 'enough', 'that', 'so', 'long', 'as', 'there', 'are', 'none', 'of', 'the', 'family', 'at', 'the', 'Hall', 'these', 'people', 'have', 'a', 'mighty', 'fine', 'home', 'and', 'nothing', 'to', 'do', '.', """"""]"	' these ' , ' people ' , ' have ' , ' to ' , ' do ' ,	entailment	c: a S clause	'nothing',	False
"['""', 'Sir', 'Charles', 'had', 'the', 'reputation', 'of', 'being', 'rich', ',', 'but', 'we', 'did', 'not', 'know', 'how', 'very', 'rich', 'he', 'was', 'un-', 'til', 'we', 'came', 'to', 'examine', 'his', 'securities', '.']"	' we ' , ' did ' , ' know ' , ' how ' , ' very ' , ' rich ' , ' he ' , ' was ' , ' un' , ' til ' , ' we ' , ' came ' , ' to ' , ' examine ' , ' his ' , ' securities ' ,	entailment	c: a S clause	'not',	False
"['""', 'Sir', 'Charles', 'had', 'the', 'reputation', 'of', 'being', 'rich', ',', 'but', 'we', 'did', 'not', 'know', 'how', 'very', 'rich', 'he', 'was', 'un-', 'til', 'we', 'came', 'to', 'examine', 'his', 'securities', '.']"	' know '	entailment	c: a S clause	'not',	False
"['""', 'Sir', 'Charles', 'had', 'the', 'reputation', 'of', 'being', 'rich', ',', 'but', 'we', 'did', 'not', 'know', 'how', 'very', 'rich', 'he', 'was', 'un-', 'til', 'we', 'came', 'to', 'examine', 'his', 'securities', '.']"	know '	entailment	c: a S clause	'not',	False
"['""', 'If', 'matters', 'came', 'to', 'a', 'crisis', 'I', 'should', 'endeavour', 'to', 'be', 'present', 'in', 'person', ';', 'but', 'you', 'can', 'un-', 'derstand', 'that', ',', 'with', 'my', 'extensive', 'consulting', 'practice', 'and', 'with', 'the', 'constant', 'a-', 'ppeals', 'which', 'reach', 'me', 'from', 'many', 'quarters', ',', 'it', 'is', 'im-', 'possible', 'for', 'me', 'to', 'be', 'ab-', 'sent', 'from', 'London', 'for', 'an', 'in-', 'definite', 'time', '.']"	' be '	entailment	c: a S clause	'im-',	False
"['""', 'If', 'my', 'friend', 'would', 'un-', 'dertake', 'it', 'there', 'is', 'no', 'man', 'who', 'is', 'better', 'worth', 'having', 'at', 'your', 'side', 'when', 'you', 'are', 'in', 'a', 'tight', 'place', '.']"	' there ' , ' is ' , ' man ' , ' who ' , ' is ' , ' better ' , ' worth ' , ' having ' , ' at ' , ' your ' , ' side ' , ' when ' , ' you ' , ' are ' , ' in ' , ' a ' , ' tight ' , ' place ' ,	entailment	c: a S clause	'no',	False
"['""', 'I', 'do', 'not', 'know', 'how', 'I', 'could', 'employ', 'my', 'time', 'better', '.', """"""]"	know '	entailment	c: a S clause	'not',	False
['He', 'said', 'that', 'he', 'was', 'a', 'detective', ',', 'and', 'he', 'offered', 'me', 'two', 'guineas', 'if', 'I', 'would', 'do', 'exactly', 'what', 'he', 'wanted', 'all', 'day', 'and', 'ask', 'no', 'questions', '.']	I ' , ' would ' , ' do ' , ' exactly '	entailment	c: a S clause	'no',	False
['There', 'is', 'Mr.', 'Frankland', ',', 'of', 'Lafter', 'Hall', ',', 'who', 'is', 'also', 'an', 'un-', 'known', 'factor', ',', 'and', 'there', 'are', 'one', 'or', 'two', 'other', 'neighbours', '.']	[ ' There ' , ' is ' , ' Mr. ' , ' Frankland ' , ' , ' , ' of ' , ' Lafter ' , ' Hall ' , ' , ' , ' who ' , ' is ' , ' also ' , ' an ' , ' un' , ' known ' , ' factor ' , ' , ' , ' and ' , ' there ' , ' are ' , ' one ' , ' or ' , ' two ' , ' other ' , ' neighbours ' , ' . ' ]	entailment	c: a S clause	'un-',	False
"['""', 'I', 'can', 'swear', 'to', 'one', 'thing', ',', 'and', 'that', 'is', 'that', 'we', 'have', 'not', 'been', 'shadowed', 'during', 'the', 'last', 'two', 'days', '.']"	' we ' , ' have ' , ' been ' , ' shadowed ' , ' during ' , ' the ' , ' last ' , ' two ' , ' days ' ,	entailment	c: a S clause	'not',	False
"['""', 'I', 'was', 'a', 'boy', 'in', 'my', 'teens', 'at', 'the', 'time', 'of', 'my', 'father', ""'s"", 'death', 'and', 'had', 'never', 'seen', 'the', 'Hall', ',', 'for', 'he', 'lived', 'in', 'a', 'little', 'cottage', 'on', 'the', 'South', 'Coast', '.']"	"[ ' ` ` ' , ' I ' , ' was ' , ' a ' , ' boy ' , ' in ' , ' my ' , ' teens ' , ' at ' , ' the ' , ' time ' , ' of ' , ' my ' , ' father ' , "" 's "" , ' death ' , ' and ' , ' had ' , ' never ' , ' seen ' , ' the ' , ' Hall ' , ' , ' , ' for ' , ' he ' , ' lived ' , ' in ' , ' a ' , ' little ' , ' cottage ' , ' on ' , ' the ' , ' South ' , ' Coast ' , ' . ' ]"	entailment	c: a S clause	'never',	False
['For', 'half', 'an', 'hour', 'I', 'waited', 'with', 'every', 'nerve', 'on', 'the', 'a-', 'lert', ',', 'but', 'there', 'came', 'no', 'other', 'sound', 'save', 'the', 'chiming', 'clock', 'and', 'the', 'rustle', 'of', 'the', 'ivy', 'on', 'the', 'wall', '.']	' there ' , ' came ' , ' other ' , ' sound ' , ' save ' , ' the ' , ' chiming ' , ' clock ' , ' and ' , ' the ' , ' rustle ' , ' of ' , ' the ' , ' ivy ' , ' on ' , ' the ' , ' wall ' ,	entailment	c: a S clause	'no',	False
"['""', 'If', 'you', 'did', ""not"", 'see', 'him', ',', 'how', 'do', 'you', 'know', 'he', 'was', 'in', 'the', 'loft', '?', """"""]"	' you ' , ' know '	entailment	c: a S clause	"""not"","	False
"['It', 'seemed', 'hope', '-less', 'to', 'pursue', 'the', 'in-', 'quiry', 'any', 'farther', ',', 'but', 'it', 'was', 'clear', 'that', 'in', 'spite', 'of', 'Holmes', ""'s"", 'ruse', 'we', 'had', 'no', 'proof', 'that', 'Barrymore', 'had', 'not', 'been', 'in', 'London', 'all', 'the', 'time', '.']"	' we ' , ' had ' , ' proof ' , ' that ' , ' Barrymore ' , ' had ' , ' not ' , ' been ' , ' in ' , ' London ' , ' all ' , ' the ' , ' time ' ,	entailment	c: a S clause	'no',	False
['It', 'is', 'a-', 'sking', 'much', 'of', 'a', 'wealthy', 'man', 'to', 'come', 'down', 'and', 'bury', 'himself', 'in', 'a', 'place', 'of', 'this', 'kind', ',', 'but', 'I', 'need', 'not', 'tell', 'you', 'that', 'it', 'means', 'a', 'very', 'great', 'deal', 'to', 'the', 'countryside', '.']	' sking '	entailment	c: a S clause	'not',	False
"['""', 'I', 'do', 'not', 'think', 'that', 'it', 'is', 'likely', '.', """"""]"	' I ' , ' do ' , ' think ' , ' that ' , ' it ' , ' is ' , ' likely ' ,	entailment	c: a S clause	'not',	False
['Two', 'in', 'two', 'days', ',', 'and', 'many', 'more', ',', 'perhaps', ',', 'for', 'they', 'get', 'in', 'the', 'way', 'of', 'going', 'there', 'in', 'the', 'dry', 'weather', 'and', 'never', 'know', 'the', 'difference', 'un-', 'til', 'the', 'mire', 'has', 'them', 'in', 'its', 'clutches', '.']	' they ' , ' know ' , ' the ' , ' difference ' , ' un' , ' til ' , ' the ' , ' mire ' , ' has ' , ' them ' , ' in ' , ' its ' , ' clutches ' ,	entailment	c: a S clause	'never',	False
"['You', 'do', ""not"", 'believe', 'such', 'non-', 'sense', 'as', 'that', '?', """""", 'said', 'I', '.']"	believe '	entailment	c: a S clause	"""not"","	False
"['""', 'No', ',', 'I', 'never', 'did', '.', """"""]"	' I ' , ' did ' ,	entailment	c: a S clause	'never',	False
"['""', 'Why', ',', 'you', 'had', 'not', 'very', 'much', 'time', 'for', 'talk', ',', """""", 'her', 'brother', 'remarked', 'with', 'the', 'same', 'questioning', 'eyes', '.']"	' questioning '	entailment	c: a S clause	'not',	False
['If', 'you', 'have', 'not', 'had', 'any', 'report', 'within', 'the', 'last', 'few', 'days', 'it', 'is', 'because', 'up', 'to', 'today', 'there', 'was', 'nothing', 'of', 'im-', 'portance', 'to', 'relate', '.']	' you ' , ' have ' , ' had ' , ' any ' , ' report ' , ' within ' , ' the ' , ' last ' , ' few ' , ' days ' ,	entailment	c: a S clause	'not',	False
['But', 'there', 'is', 'nothing', 'to', 'eat', 'un-', 'less', 'he', 'were', 'to', 'catch', 'and', 'slaughter', 'one', 'of', 'the', 'moor', 'sheep', '.']	' there ' , ' is ' , ' to ' , ' eat ' , ' un' , ' less ' , ' he ' , ' were ' , ' to ' , ' catch ' , ' and ' , ' slaughter ' , ' one ' , ' of ' , ' the ' , ' moor ' , ' sheep ' ,	entailment	c: a S clause	'nothing',	False
['I', 'will', 'not', 'speak', 'ab-', 'out', 'it', 'just', 'now', ',', 'but', 'it', 'should', 'make', 'my', 'next', 'report', 'in-', 'teresting', 'reading', '.']	' reading '	entailment	c: a S clause	'not',	False
"['""', 'My', 'dear', 'fellow', ',', """""", 'said', 'he', ',', '""', 'Holmes', ',', 'with', 'all', 'his', 'wisdom', ',', 'did', 'not', 'foresee', 'some', 'things', 'which', 'have', 'happened', 'since', 'I', 'have', 'been', 'on', 'the', 'moor', '.']"	' been '	entailment	c: a S clause	'not',	False
['I', 'explained', 'everything', 'to', 'him', ':', 'how', 'I', 'had', 'found', 'it', 'im-', 'possible', 'to', 'remain', 'behind', ',', 'how', 'I', 'had', 'followed', 'him', ',', 'and', 'how', 'I', 'had', 'witnessed', 'all', 'that', 'had', 'occurred', '.']	' I ' , ' had ' , ' found ' , ' it ' , ' possible ' , ' to ' , ' remain ' , ' behind ' ,	entailment	c: a S clause	'im-',	False
"['""', 'I', 'ca', ""not"", 'say', 'that', 'he', 'ever', 'did', '.', """"""]"	he ' , ' ever '	entailment	c: a S clause	"""not"","	False
['She', 'kept', 'coming', 'back', 'to', 'it', 'that', 'this', 'was', 'a', 'place', 'of', 'danger', ',', 'and', 'that', 'she', 'would', 'never', 'be', 'happy', 'un-', 'til', 'I', 'had', 'left', 'it', '.']	' she ' , ' would ' , ' be ' , ' happy ' , ' un' , ' til ' , ' I ' , ' had ' , ' left ' , ' it ' ,	entailment	c: a S clause	'never',	False
"['""', 'I', 'do', ""not"", 'say', 'now', 'that', 'he', 'is', ""not"", 'a', 'crazy', 'man', ',', """""", 'said', 'Sir', 'Henry', ';', '""', 'I', 'ca', ""not"", 'forget', 'the', 'look', 'in', 'his', 'eyes', 'when', 'he', 'ran', 'at', 'me', 'this', 'morning', ',', 'but', 'I', 'must', 'a-', 'llow', 'that', 'no', 'man', 'could', 'make', 'a', 'more', 'handsome', 'a-', 'pology', 'than', 'he', 'has', 'done', '.', """"""]"	' forget '	entailment	c: a S clause	"""not"","	False
"['""', 'No', ',', 'no', ',', 'sir', ',', 'it', 'is', 'nothing', '--', 'nothing', 'at', 'all', '!', """""", 'the', 'butler', 'broke', 'in', ';', '""', 'I', 'a-', 'ssure', 'you', ',', 'sir', '--', """"""]"	' it ' , ' is ' ,	entailment	c: a S clause	'nothing',	False
"['""', 'It', 'is', 'my', 'business', ',', 'and', 'not', 'yours', '.']"	' It ' , ' is ' , ' yours ' ,	entailment	c: a S clause	'not',	False
['Every', 'day', 'we', 'hoped', 'that', 'he', 'was', 'gone', ',', 'but', 'as', 'long', 'as', 'he', 'was', 'there', 'we', 'could', 'not', 'desert', 'him', '.']	he ' , ' was	entailment	c: a S clause	'not',	False
"['The', 'baronet', ""'s"", 'nerves', 'were', 'still', 'quivering', 'from', 'that', 'cry', ',', 'which', 'recalled', 'the', 'dark', 'story', 'of', 'his', 'family', ',', 'and', 'he', 'was', 'not', 'in', 'the', 'mood', 'for', 'fresh', 'a-', 'dventures', '.']"	"[ ' The ' , ' baronet ' , "" 's "" , ' nerves ' , ' were ' , ' still ' , ' quivering ' , ' from ' , ' that ' , ' cry ' , ' , ' , ' which ' , ' recalled ' , ' the ' , ' dark ' , ' story ' , ' of ' , ' his ' , ' family ' , ' , ' , ' and ' , ' he ' , ' was ' , ' not ' , ' in ' , ' the ' , ' mood ' , ' for ' , ' fresh ' , ' a' , ' dventures ' , ' . ' ]"	entailment	c: a S clause	'not',	False
['Today', 'we', 'mean', 'to', 'communicate', 'to', 'the', 'Princetown', 'people', 'where', 'they', 'should', 'look', 'for', 'their', 'missing', 'man', ',', 'but', 'it', 'is', 'hard', 'lines', 'that', 'we', 'have', 'not', 'a-', 'ctually', 'had', 'the', 'triumph', 'of', 'bringing', 'him', 'back', 'as', 'our', 'own', 'prisoner', '.']	' we ' , ' have ' , ' a' , ' ctually ' , ' had ' , ' the ' , ' triumph ' , ' of ' , ' bringing ' , ' him ' , ' back ' , ' as ' , ' our ' , ' own ' , ' prisoner ' ,	entailment	c: a S clause	'not',	False
"['""', 'If', 'you', 'had', 'told', 'us', 'of', 'your', 'own', 'free', 'will', 'it', 'would', 'have', 'been', 'a', 'different', 'thing', ',', """""", 'said', 'the', 'baronet', ',', '""', 'you', 'only', 'told', 'us', ',', 'or', 'rather', 'your', 'wife', 'only', 'told', 'us', ',', 'when', 'it', 'was', 'forced', 'from', 'you', 'and', 'you', 'could', 'not', 'help', 'yourself', '.', """"""]"	' it ' , ' was '	entailment	c: a S clause	'not',	False
"['""', 'I', 'did', ""not"", 'think', 'you', 'would', 'have', 'taken', 'a-', 'dvantage', 'of', 'it', ',', 'Sir', 'Henry', '--', 'in-', 'deed', 'I', 'did', ""not"", '.', """"""]"	' I ' , ' did ' , ' think ' , ' you ' , ' would ' , ' have ' , ' taken ' , ' a' , ' dvantage ' , ' of ' , ' it ' ,	entailment	c: a S clause	"""not"","	False
"['""', 'I', 'did', ""not"", 'think', 'you', 'would', 'have', 'taken', 'a-', 'dvantage', 'of', 'it', ',', 'Sir', 'Henry', '--', 'in-', 'deed', 'I', 'did', ""not"", '.', """"""]"	' I ' , ' did ' ,	entailment	c: a S clause	"""not"","	False
"['""', 'Well', ',', 'sir', ',', 'I', 'thought', 'no', 'more', 'of', 'the', 'matter', ',', 'and', 'never', 'would', 'have', 'done', 'had', 'it', 'not', 'been', 'for', 'my', 'wife', '.']"	' been '	entailment	c: a S clause	'no',	False
"['""', 'And', 'you', 'have', 'no', 'idea', 'who', 'L.', 'L.', 'is', '?', """"""]"	' you ' , ' have ' , ' idea ' , ' who ' , ' L. ' , ' L. ' , ' is ' ,	entailment	c: a S clause	'no',	False
['He', 'has', 'been', 'very', 'a-', 'ttentive', 'to', 'us', ',', 'and', 'hardly', 'a', 'day', 'has', 'passed', 'that', 'he', 'has', 'not', 'called', 'at', 'the', 'Hall', 'to', 'see', 'how', 'we', 'were', 'getting', 'on', '.']	' he ' , ' has ' , ' called ' , ' at ' , ' the ' , ' Hall ' , ' to ' , ' see ' , ' how ' , ' we ' , ' were ' , ' getting ' , ' on ' ,	entailment	c: a S clause	'not',	False
"['""', 'There', 'are', 'a', 'few', 'gipsies', 'and', 'labouring', 'folk', 'for', 'whom', 'I', 'ca', ""not"", 'a-', 'nswer', ',', 'but', 'a-', 'mong', 'the', 'farmers', 'or', 'gentry', 'there', 'is', 'no', 'one', 'whose', 'in-', 'itials', 'are', 'those', '.']"	' there ' , ' is ' , ' one ' , ' whose ' , ' in' , ' itials ' , ' are ' , ' those ' ,	entailment	c: a S clause	'no',	False
['The', 'fault', 'from', 'what', 'I', 'hear', 'may', 'not', 'have', 'been', 'entirely', 'on', 'one', 'side', '.']	hear ' , ' may '	entailment	c: a S clause	'not',	False
"['""', 'I', 'owe', 'him', 'nothing', ',', 'and', 'his', 'friends', 'are', 'not', 'mine', '.']"	' his ' , ' friends ' , ' are ' , ' mine ' ,	entailment	c: a S clause	'not',	False
"['If', 'it', 'were', 'not', 'for', 'the', 'late', 'Sir', 'Charles', 'Baskerville', 'and', 'some', 'other', 'kind', 'hearts', 'I', 'might', 'have', 'starved', 'for', 'all', 'that', 'my', 'father', 'cared', '.', """"""]"	' it ' , ' were ' , ' for ' , ' the ' , ' late ' , ' Sir ' , ' Charles ' , ' Baskerville ' , ' and ' , ' some ' , ' other ' , ' kind ' , ' hearts ' ,	entailment	c: a S clause	'not',	False
"['There', 'were', 'reasons', 'why', 'I', 'could', 'not', 'get', 'there', 'earlier', '.', """"""]"	get ' , ' there '	entailment	c: a S clause	'not',	False
"['""', 'I', 'did', 'not', 'say', 'that', 'I', 'had', 'read', 'all', 'the', 'letter', '.', """"""]"	' I ' , ' did ' , ' say ' , ' that ' , ' I ' , ' had ' , ' read ' , ' all ' , ' the ' , ' letter ' ,	entailment	c: a S clause	'not',	False
['It', 'was', 'un-', 'likely', 'that', 'she', 'would', 'dare', 'to', 'say', 'that', 'she', 'had', 'not', 'been', 'to', 'Baskerville', 'Hall', 'if', 'she', 'really', 'had', 'been', ',', 'for', 'a', 'trap', 'would', 'be', 'necessary', 'to', 'take', 'her', 'there', ',', 'and', 'could', 'not', 'have', 'returned', 'to', 'Coombe', 'Tracey', 'un-', 'til', 'the', 'early', 'hours', 'of', 'the', 'morning', '.']	' she ' , ' could ' , ' have ' , ' returned ' , ' to ' , ' Coombe ' , ' Tracey ' , ' un' , ' til ' , ' the ' , ' early ' , ' hours ' , ' of ' , ' the ' , ' morning ' ,	entailment	c: a S clause	'not',	False
['Such', 'an', 'excursion', 'could', 'not', 'be', 'kept', 'secret', '.']	kept '	entailment	c: a S clause	'not',	False
"['""', 'I', 'may', 'not', 'know', 'exactly', 'where', 'he', 'is', ',', 'but', 'I', 'am', 'quite', 'sure', 'that', 'I', 'could', 'help', 'the', 'police', 'to', 'lay', 'their', 'hands', 'on', 'him', '.']"	' I ' , ' may ' , ' know ' , ' exactly ' , ' where ' , ' he ' , ' is ' ,	entailment	c: a S clause	'not',	False
['Everything', 'was', 'working', 'in', 'my', 'favour', ',', 'and', 'I', 'swore', 'that', 'it', 'should', 'not', 'be', 'through', 'lack', 'of', 'energy', 'or', 'perseverance', 'that', 'I', 'should', 'miss', 'the', 'chance', 'which', 'fortune', 'had', 'thrown', 'in', 'my', 'way', '.']	' had '	entailment	c: a S clause	'not',	False
['Over', 'the', 'wide', 'expanse', 'there', 'was', 'no', 'sound', 'and', 'no', 'movement', '.']	' there ' , ' was ' , ' sound ' ,	entailment	c: a S clause	'no',	False
['Over', 'the', 'wide', 'expanse', 'there', 'was', 'no', 'sound', 'and', 'no', 'movement', '.']	' there ' , ' was ' , ' movement ' ,	entailment	c: a S clause	'no',	False
['There', 'was', 'no', 'trace', ',', 'however', ',', 'of', 'a-', 'nything', 'of', 'the', 'kind', ',', 'nor', 'could', 'I', 'dis-', 'cover', 'any', 'sign', 'which', 'might', 'in-', 'dicate', 'the', 'character', 'or', 'in-', 'tentions', 'of', 'the', 'man', 'who', 'lived', 'in', 'this', 'singular', 'place', ',', 'save', 'that', 'he', 'must', 'be', 'of', 'Spartan', 'habits', 'and', 'cared', 'little', 'for', 'the', 'comforts', 'of', 'life', '.']	' be '	entailment	c: a S clause	'nor',	False
['I', 'swore', 'that', 'I', 'would', 'not', 'leave', 'the', 'hut', 'un-', 'til', 'I', 'knew', '.']	' I ' , ' would ' , ' leave ' , ' the ' , ' hut ' , ' un' , ' til ' , ' I ' , ' knew ' ,	entailment	c: a S clause	'not',	False
"['""', 'I', 'did', 'not', 'know', 'who', 'you', 'were', ',', 'but', 'I', 'was', 'determined', 'to', 'find', 'out', '.', """"""]"	' I ' , ' did ' , ' know ' , ' who ' , ' you ' , ' were ' ,	entailment	c: a S clause	'not',	False
['I', 'felt', 'also', 'in', 'my', 'heart', 'that', 'he', 'was', 'right', 'in', 'what', 'he', 'said', 'and', 'that', 'it', 'was', 'really', 'best', 'for', 'our', 'purpose', 'that', 'I', 'should', 'not', 'have', 'known', 'that', 'he', 'was', 'upon', 'the', 'moor', '.']	' I ' , ' should ' , ' have ' , ' known ' , ' that ' , ' he ' , ' was ' , ' upon ' , ' the ' , ' moor ' ,	entailment	c: a S clause	'not',	False
"['In', 'that', 'case', ',', 'regarding', 'Stapleton', 'as', 'an', 'un-', 'married', 'man', ',', 'she', 'counted', 'no', 'doubt', 'upon', 'becoming', 'his', 'wife', '.', """"""]"	regarding ' , ' Stapleton	entailment	c: a S clause	'un-',	False
['When', 'he', 'did', 'not', 'come', 'I', 'was', 'surprised', ',', 'and', 'I', 'naturally', 'became', 'a-', 'larmed', 'for', 'his', 'safety', 'when', 'I', 'heard', 'cries', 'upon', 'the', 'moor', '.']	' he ' , ' did ' , ' come ' ,	entailment	c: a S clause	'not',	False
"['""', 'I', 'would', 'suggest', 'carrying', 'this', 'poor', 'fellow', 'to', 'my', 'house', ',', 'but', 'it', 'would', 'give', 'my', 'sister', 'such', 'a', 'fright', 'that', 'I', 'do', 'not', 'feel', 'justified', 'in', 'doing', 'it', '.']"	' feel '	entailment	c: a S clause	'not',	False
"['I', 'told', 'you', 'in', 'London', ',', 'Watson', ',', 'and', 'I', 'tell', 'you', 'now', 'a-', 'gain', ',', 'that', 'we', 'have', 'never', 'had', 'a', 'foeman', 'more', 'worthy', 'of', 'our', 'steel', '.', """"""]"	' we ' , ' have ' , ' had ' , ' a ' , ' foeman ' , ' more ' , ' worthy ' , ' of ' , ' our ' , ' steel ' ,	entailment	c: a S clause	'never',	False
['There', 'is', 'a', 'complete', 'ab-', 'sence', 'of', 'motive', '.']	' There ' , ' is ' , ' sence ' , ' motive '	entailment	c: a S clause	'ab-',	False
"['""', 'By', 'the', 'way', ',', 'I', 'do', ""not"", 'suppose', 'you', 'a-', 'ppreciate', 'that', 'we', 'have', 'been', 'mourning', 'over', 'you', 'as', 'having', 'broken', 'your', 'neck', '?', """"""]"	' been '	entailment	c: a S clause	"""not"","	False
['It', 'had', 'not', 'crossed', 'my', 'mind', 'however', ',', 'that', 'he', 'would', 'wish', 'me', 'to', 'go', 'with', 'him', ',', 'nor', 'could', 'I', 'un-', 'derstand', 'how', 'we', 'could', 'both', 'be', 'ab-', 'sent', 'at', 'a', 'moment', 'which', 'he', 'himself', 'declared', 'to', 'be', 'critical', '.']	' be '	entailment	c: a S clause	'nor',	False
