sent_1	sent_2	label	positive_1	positive_2	subsequence_1	subsequence_2
Garcia did return by a certain hour	The crime was ascribed to Nihilism , and the murderers were arrested .	neutral	True	True	True	True
there is house within a quarter of a mile of the spot	I know	neutral	True	True	True	True
I sha forget the face at the carriage window as I led her away	they had gone far but were lurking in some retreat which had been already prepared	neutral	True	True	True	True
He made remark	I know	neutral	True	True	True	True
We could doubt that justice , if belated , had come at last .	He could do little during the day , for Murillo took every precaution and went out save with his satellite Lucas , or Lopez as he was known in the days of his greatness .	neutral	True	True	True	True
It was black	the work was done	neutral	True	True	True	True
` ` I can make the man out .	There was answer .	neutral	True	True	True	True
I do think my nerve is as good as it was	he was known in the days of his greatness	neutral	True	True	True	True
I do want you to commit yourself too far unless you are sure	He gave up all pretence at conversation and sat , smoking endless cigarettes , lost in his own thoughts , but he made remark as to the contents .	neutral	True	True	True	True
I sprang out , they tried to drag me back , and had it been for the help of this good man , who led me to the cab , I should never had broken away .	he also was dissatisfied at the course of events	neutral	True	True	True	True
I am aware that in my whole life such a thing has happened before	my life hung in the balance	neutral	True	True	True	True
they are human	us say more about it	neutral	True	True	True	True
` ` I have all my facts yet , but I do think there are any insuperable difficulties .	it did appear to be a matter which concerned the police	neutral	True	True	True	True
you to present in that compact form which is dear to your heart	` ` We can imagine that in the confusion of flight something precious , something which he could bear to part with , had been left behind .	neutral	True	True	True	True
it would have come my way had I been looking out for it	"` ` I suppose that you have objection to my collaborating with you , Mr. Baynes ? """	neutral	True	True	True	True
he would lie low and make move so long as he thought he was in some danger	they are human	neutral	True	True	True	True
I do think there are some insuperable difficulties	` I did say so , Mr. Holmes	neutral	True	True	True	True
I know	I have all my facts yet	neutral	True	True	True	True
it was Murillo 's hand who struck him down	he was known in the days of his greatness	neutral	True	True	True	True
there 's use to deny it	I sha forget the face at the carriage window as I led her away	neutral	True	True	True	True
Miss Burnet has been seen by some human eye since the night of the murder .	he also was dissatisfied at the course of events	neutral	True	True	True	True
"` ` I do quite understand . """	But it was destined that our investigation should have so adventurous an ending .	neutral	True	True	True	True
the whole thing is a vision and a touch of nerves	you do mean that I am suspected	neutral	True	True	True	True
I did say so	I sprang out , they tried to drag me back , and had it been for the help of this good man , who led me to the cab , I should never had broken away .	neutral	True	True	True	True
you had a nerve in your body	he could lay his hands upon him	neutral	True	True	True	True
you are on the right lines	I could leave it where it was	neutral	True	True	True	True
There was answer .	It was a very alluring prospect	neutral	True	True	True	True
he could bear to part with	you take notice of this addition to your audience	neutral	True	True	True	True
"` ` Let us say more about it . """	Day succeeded day , and my friend took step forward .	neutral	True	True	True	True
he made remark as to the contents	We can arrest without her evidence	neutral	True	True	True	True
He made remark , but the matter remained in his thoughts , for he stood in front of the fire afterwards with a thoughtful face , smoking his pipe , and casting an occasional glance at the message .	Baynes has got him	neutral	True	True	True	True
my life hung in the balance	I do think my nerve is as good as it was	neutral	True	True	True	True
I do think there are some insuperable difficulties	it was Murillo 's hand who struck him down	neutral	True	True	True	True
I do pretend to understand it all yet , but very curious people anyway .	the bed had been slept in	neutral	True	True	True	True
But the attempt was a dangerous one , and if Garcia did return by a certain hour it was probable that his own life had been sacrificed .	the murderers were arrested	neutral	True	True	True	True
` ` I was sure Henderson , as he calls himself , felt that he was suspected , and that he would lie low and make move so long as he thought he was in some danger .	it would have come my way had I been looking out for it	neutral	True	True	True	True
made me look up	They banded themselves into a society which should be dissolved until the work was done .	neutral	True	True	True	True
Day succeeded day , and my friend took step forward .	there were times when my life hung in the balance	neutral	True	True	True	True
there was attempt at robbery	my nerve is as good as it was	neutral	True	True	True	True
you were a good man	there was one there	neutral	True	True	True	True
there was one there	` ` I did say so , Mr. Holmes ; I did say so .	neutral	True	True	True	True
his victims still cry for vengeance	he would lie low and make move so long as he thought he was in some danger	neutral	True	True	True	True
the gloomy presence of the taciturn servant did help to enliven us	` ` It will be possible for you to present in that compact form which is dear to your heart .	neutral	True	True	True	True
I am suspected	"` ` I do quite understand . """	neutral	True	True	True	True
our investigation should have so adventurous an ending	there 's use to deny it	neutral	True	True	True	True
you have objection to my collaborating with you , Mr. Baynes	there 's use to deny it	neutral	True	True	True	True
I did say so	"I do want you to commit yourself too far unless you are sure . """	neutral	True	True	True	True
I think , Watson , a brandy and soda would do him harm .	the work was done	neutral	True	True	True	True
he could not lay his hands upon him	` ` I have all my facts yet , but I do think there are any insuperable difficulties .	neutral	True	True	True	True
` ` I ' m sure it must look very bad , Mr. Holmes , and I am aware that in my whole life such a thing has happened before .	you had a nerve in your body	neutral	True	True	True	True
There was response	He said little about the case , but from that little we gathered that he also was dissatisfied at the course of events .	neutral	True	True	True	True
he could bear to part with	But the many whose lives he had ruined , whose nearest and dearest had suffered torture and death at his hands , would let the matter rest .	neutral	True	True	True	True
he also was dissatisfied at the course of events	he made remark as to the contents	neutral	True	True	True	True
justice can be gained	"To us there is fiend in hell like Juan Murillo , and peace in life while his victims still cry for vengeance . """	neutral	True	True	True	True
I have doubt that there were times when my life hung in the balance .	you had a nerve in your body	neutral	True	True	True	True
it was really more than twelve	there was one there	neutral	True	True	True	True
"To us there is fiend in hell like Juan Murillo , and peace in life while his victims still cry for vengeance . """	your disturbance dates from the moment of your waking	neutral	True	True	True	True
your disturbance dates from the moment of your waking	Murillo went out save with his satellite Lucas , or Lopez as he was known in the days of his greatness	neutral	True	True	True	True
the murderers were arrested	I do know what made me look up , but there was a face looking in at me through the lower pane .	neutral	True	True	True	True
you would have done had you been interrupted	How they murdered him I do know save that it was Murillo 's hand who struck him down	neutral	True	True	True	True
I do know what made me look up	` ` Well , sir , it did appear to be a matter which concerned the police , and yet , when you have heard the facts , you must admit that I could leave it where it was .	neutral	True	True	True	True
He gave up all pretence at conversation and sat , smoking endless cigarettes , lost in his own thoughts , but he made remark as to the contents .	I did know you were a good man	neutral	True	True	True	True
he could lay his hands upon him	you to spare expense and pains to get at the truth	neutral	True	True	True	True
It was black , sir	It will be possible for you to present in that compact form which is dear to your heart	neutral	True	True	True	True
You do mean that Baynes has got him	my life hung in the balance	neutral	True	True	True	True
"` ` Do blame me . """	It is equally certain that this house can be more than a mile or two from Oxshott , since Garcia was walking in that direction and hoped , according to my reading of the facts , to be back in Wisteria Lodge in time to avail himself of an alibi , which would only be valid up to one o'clock .	neutral	True	True	True	True
he was in some danger	in any case it is likely that when Garcia went out of his way to tell him that it was one it was really more than twelve	neutral	True	True	True	True
there are some insuperable difficulties	they had done	neutral	True	True	True	True
` ` I kw , sir , I kw ; but it shook me , sir , and there 's use to deny it .	you to commit yourself too far unless you are sure	neutral	True	True	True	True
the gloomy presence of the taciturn servant did help to enliven us	he had ruined	neutral	True	True	True	True
I do know what made me look up	this house can be more than a mile or two from Oxshott	neutral	True	True	True	True
I am convinced that you are on the right lines	` ` I kw , sir , I kw ; but it shook me , sir , and there 's use to deny it .	neutral	True	True	True	True
I know	he thought he was in some danger	neutral	True	True	True	True
the work was done	one can glance at your toilet and attire without seeing that your disturbance dates from the moment of your waking	neutral	True	True	True	True
Baynes has got him	in my whole life such a thing has happened before	neutral	True	True	True	True
after mine I asked questions	"But there 's something in Inspector Baynes which I can quite understand . """	neutral	True	True	True	True
it was one it was really more than twelve	they had done	neutral	True	True	True	True
It was not black , sir , was it white , some colour that I know but a kind of queer shade like clay with a splash of milk in it .	Henderson by some chance walks alone	neutral	True	True	True	True
my nerve is as good as it was	he was in some danger	neutral	True	True	True	True
there 's use to deny it	It was not black , sir , was it white , any colour that I know but a kind of queer shade like clay with a splash of milk in it .	neutral	True	True	True	True
"To us there is fiend in hell like Juan Murillo , and peace in life while his victims still cry for vengeance . """	this theory would work	neutral	True	True	True	True
The room was empty , and the bed had been slept in .	tearing itself to pieces because it is connected up with the work for which it was built	neutral	True	True	True	True
After his habit he said thing , and after mine I asked questions .	We could doubt that justice , if belated , had come at last .	neutral	True	True	True	True
made me look up	my friend took step forward	neutral	True	True	True	True
"` ` I suppose that you have objection to my collaborating with you , Mr. Baynes ? """	It was , I must confess , a very alluring prospect .	neutral	True	True	True	True
Murillo took every precaution and went out save with his satellite Lucas , or Lopez as he was known in the days of his greatness	there is fiend in hell like Juan Murillo	neutral	True	True	True	True
"But one can glance at your toilet and attire without seeing that your disturbance dates from the moment of your waking . """	"You do meanyou do mean that I am suspected ? """	neutral	True	True	True	True
tearing itself to pieces because it is connected up with the work for which it was built	there was attempt at robbery	neutral	True	True	True	True
they had gone far but were lurking in some retreat which had been already prepared	such a thing has happened before	neutral	True	True	True	True
` ` Never in my life have I been placed in such a situation .	such a situation continue	neutral	True	True	True	True
they murdered him	It was not black , sir , was it white , some colour that I know but a kind of queer shade like clay with a splash of milk in it .	neutral	True	True	True	True
"It has been a long evening , and I do think my nerve is as good as it was . """	"He says that they are human . """	neutral	True	True	True	True
` ` If I did know you were a good man , Walters , I should put a black mark against you for this .	it was really more than twelve	neutral	True	True	True	True
such a situation continue	it was	neutral	True	True	True	True
"You do meanyou do mean that I am suspected ? """	There are better instruments than discharged servants with a grievance	neutral	True	True	True	True
But the many whose lives he had ruined , whose nearest and dearest had suffered torture and death at his hands , would let the matter rest .	It was black , sir , nor was it white , nor any colour that I know but a kind of queer shade like clay with a splash of milk in it .	neutral	True	True	True	True
I do quite understand	he could not lay his hands upon him	neutral	True	True	True	True
We can let such a situation continue	their abstraction was the motive of the crime	neutral	True	True	True	True
She would have said ` Godspeed ' had it been so .	I have not yet heard what has happened to Mr. Garcia , what has become of his household	neutral	True	True	True	True
it was built	"I suppose the whole thing is a vision and a touch of nerves ? """	neutral	True	True	True	True
"I desire you to spare expense and pains to get at the truth . """	I led her away	neutral	True	True	True	True
I call it luck , but it would have come my way had I been looking out for it .	The room was empty , and the bed had been slept in .	neutral	True	True	True	True
But it was destined that our investigation should have so adventurous an ending .	"Private detectives are a class with whom I have absolutely sympathy , but ne the less , having heard your name"""	neutral	True	True	True	True
"I do want you to commit yourself too far unless you are sure . """	` ` All would now have been well for them had it been for my knowledge of what they had done .	neutral	True	True	True	True
She would have said ` Godspeed ' had it been so	you have objection to my collaborating with you , Mr. Baynes	neutral	True	True	True	True
By some juggling of the clocks it is quite possible that they may have got Scott Eccles to bed earlier than he thought , but in any case it is likely that when Garcia went out of his way to tell him that it was one it was really more than twelve .	I do know what made me look up	neutral	True	True	True	True
me look up	There was answer	neutral	True	True	True	True
in any case it is likely that when Garcia went out of his way to tell him that it was one it was really more than twelve	the gloomy presence of the taciturn servant did help to enliven us	neutral	True	True	True	True
They banded themselves into a society which should be dissolved until the work was done .	justice can be gained	neutral	True	True	True	True
It was suggested , but proved , that the deceased gentleman may have had valuables in the house , and that their abstraction was the motive of the crime .	I tell you , sir , I could not move a finger , get my breath , till it whisked away and was gone .	neutral	True	True	True	True
he had ruined	"` ` Do blame me . """	neutral	True	True	True	True
there are some insuperable difficulties	"I should have thought you had a nerve in your body . """	neutral	True	True	True	True
there is other way in the world by which justice can be gained	the deceased gentleman may have had valuables in the house	neutral	True	True	True	True
I can make the man out	I tell you , sir , I could move a finger , nor get my breath , till it whisked away and was gone .	neutral	True	True	True	True
I could move a finger	they murdered him	neutral	True	True	True	True
you were a good man	"` ` But I beg to point out that I have yet heard what has happened to Mr. Garcia , nor what has become of his household . """	neutral	True	True	True	True
The dinner itself was neither well served nor well cooked , and the gloomy presence of the taciturn servant did help to enliven us .	the whole thing is a vision and a touch of nerves	neutral	True	True	True	True
"You do meanyou do mean that I am suspected ? """	they are human	neutral	True	True	True	True
"` ` You do mean that Baynes has got him ? """	By some juggling of the clocks it is quite possible that they may have got Scott Eccles to bed earlier than he thought , but in any case it is likely that when Garcia went out of his way to tell him that it was one it was really more than twelve .	neutral	True	True	True	True
Henderson by some chance walks alone .	the deceased gentleman may have had valuables in the house	neutral	True	True	True	True
` ` Well , sir , it did appear to be a matter which concerned the police , and yet , when you have heard the facts , you must admit that I could leave it where it was .	the many whose lives he had ruined , whose nearest and dearest had suffered torture and death at his hands , would let the matter rest	neutral	True	True	True	True
I could move a finger , nor get my breath , till it whisked away and was gone	After his habit he said thing , and after mine I asked questions .	neutral	True	True	True	True
I do know what made me look up , but there was a face looking in at me through the lower pane .	it was	neutral	True	True	True	True
He could do little during the day , for Murillo took every precaution and went out save with his satellite Lucas , or Lopez as he was known in the days of his greatness .	You do mean that Baynes has got him	neutral	True	True	True	True
he could lay his hands upon him	She would have said ` Godspeed ' had it been so	neutral	True	True	True	True
I have all my facts yet	I have yet heard what has happened to Mr. Garcia	neutral	True	True	True	True
"We can arrest without her evidence , that is clear , so the sooner we get a statement the better . """	you to commit yourself too far unless you are sure	neutral	True	True	True	True
it was destined that our investigation should have so adventurous an ending	"` ` Our difficulties are over , "" he remarked , shaking his head ."	neutral	True	True	True	True
Garcia did return by a certain hour	this house can be more than a mile or two from Oxshott , since Garcia was walking in that direction and hoped , according to my reading of the facts , to be back in Wisteria Lodge in time to avail himself of an alibi , which would only be valid up to one o'clock	neutral	True	True	True	True
this house can be more than a mile or two from Oxshott	I am aware that in my whole life such a thing has happened before	neutral	True	True	True	True
such a thing has happened before	you would have done had you been interrupted	neutral	True	True	True	True
it was really more than twelve	there are some insuperable difficulties	neutral	True	True	True	True
my friend took step forward	I give you a word of friendly warning	neutral	True	True	True	True
I give you a word of friendly warning	If it were the devil himself a constable on duty should thank God that he could not lay his hands upon him .	neutral	True	True	True	True
justice can be gained	there is house within a quarter of a mile of the spot	neutral	True	True	True	True
"I should have thought you had a nerve in your body . """	it would have come my way had I been looking out for it	neutral	True	True	True	True
It will be possible for you to present in that compact form which is dear to your heart	him harm	neutral	True	True	True	True
you to commit yourself too far unless you are sure	made me look up	neutral	True	True	True	True
you to spare expense and pains to get at the truth	a brandy and soda would do him harm	neutral	True	True	True	True
He said little about the case , but from that little we gathered that he also was dissatisfied at the course of events .	I could leave it where it was	neutral	True	True	True	True
It was a very alluring prospect	justice , if belated , had come at last	neutral	True	True	True	True
I have absolutely sympathy	We can let such a situation continue .	neutral	True	True	True	True
one can glance at your toilet and attire without seeing that your disturbance dates from the moment of your waking	But the attempt was a dangerous one , and if Garcia did return by a certain hour it was probable that his own life had been sacrificed .	neutral	True	True	True	True
If it were the devil himself a constable on duty should never thank God that he could lay his hands upon him .	you are on the right lines	neutral	True	True	True	True
I could not move a finger , get my breath , till it whisked away and was gone	If it were the devil himself a constable on duty should never thank God that he could lay his hands upon him .	neutral	True	True	True	True
` I have all my facts yet	his victims still cry for vengeance	neutral	True	True	True	True
he had ruined	he could bear to part with	neutral	True	True	True	True
I found that there was one there	"` ` But I beg to point out that I have not yet heard what has happened to Mr. Garcia , what has become of his household . """	neutral	True	True	True	True
We can arrest without her evidence , that is clear	I have doubt that there were times when my life hung in the balance	neutral	True	True	True	True
he could not lay his hands upon him	"I desire you to spare expense and pains to get at the truth . """	neutral	True	True	True	True
It was black , sir , nor was it white , nor any colour that I know but a kind of queer shade like clay with a splash of milk in it .	they murdered him	neutral	True	True	True	True
the deceased gentleman may have had valuables in the house	I call it luck , but it would have come my way had I been looking out for it .	neutral	True	True	True	True
he was in some danger	She would have said ` Godspeed ' had it been so .	neutral	True	True	True	True
my nerve is as good as it was	"` ` No , there was attempt at robbery . """	neutral	True	True	True	True
the case is a very complex one	he could not lay his hands upon him	neutral	True	True	True	True
you take tice of this addition to your audience	you are on the right lines	neutral	True	True	True	True
