	premise	hypothesis	labels	preds	label	case
220	The dinner itself was neither well served nor well cooked , and the gloomy presence of the taciturn servant did not help to enliven us .	The dinner itself was neither well served nor well cooked	1	1	entailment	c: a S clause
232	He gave up all pretence at conversation and sat , smoking endless cigarettes , lost in his own thoughts , but he made no remark as to the contents .	He gave up all pretence at conversation and sat , smoking endless cigarettes , lost in his own thoughts	1	1	entailment	c: a S clause
288	The room was empty , and the bed had never been slept in .	The room was empty	1	1	entailment	c: a S clause
328	It is a lonely corner , and there is no house within a quarter of a mile of the spot .	It is a lonely corner	1	1	entailment	c: a S clause
368	" On the face of it the case is not a very complex one , though it certainly presents some novel and interesting features .	it certainly presents some novel and interesting features	1	1	entailment	c: a S clause
400	He is not particularly intelligentnot a man likely to be congenial to a quick-witted Latin .	He is not particularly intelligentnot a man likely to be congenial to a quick witted Latin .	1	1	entailment	c: a S clause
412	By some juggling of the clocks it is quite possible that they may have got Scott Eccles to bed earlier than he thought , but in any case it is likely that when Garcia went out of his way to tell him that it was one it was really not more than twelve .	By some juggling of the clocks it is quite possible that they may have got Scott Eccles to bed earlier than he thought	1	1	entailment	c: a S clause
416	By some juggling of the clocks it is quite possible that they may have got Scott Eccles to bed earlier than he thought , but in any case it is likely that when Garcia went out of his way to tell him that it was one it was really not more than twelve .	they may have got Scott Eccles to bed earlier than he thought	1	1	entailment	c: a S clause
420	By some juggling of the clocks it is quite possible that they may have got Scott Eccles to bed earlier than he thought , but in any case it is likely that when Garcia went out of his way to tell him that it was one it was really not more than twelve .	he thought	1	1	entailment	c: a S clause
452	" I have not all my facts yet , but I do not think there are any insuperable difficulties .	I do not think there are any insuperable difficulties	1	1	entailment	c: a S clause
472	" I have not all my facts yet , but I do not think there are any insuperable difficulties .	` I have not all my facts yet	1	1	entailment	c: a S clause
476	" I have not all my facts yet , but I do not think there are any insuperable difficulties .	I have not all my facts yet	1	1	entailment	c: a S clause
532	It is equally certain that this house can not be more than a mile or two from Oxshott , since Garcia was walking in that direction and hoped , according to my reading of the facts , to be back in Wisteria Lodge in time to avail himself of an alibi , which would only be valid up to one o'clock .	Garcia was walking in that direction and hoped , according to my reading of the facts , to be back in Wisteria Lodge in time to avail himself of an alibi , which would only be valid up to one o'clock	1	1	entailment	c: a S clause
552	It has been a long evening , and I do not think my nerve is as good as it was . "	It has been a long evening	1	1	entailment	c: a S clause
592	I do not know what made me look up , but there was a face looking in at me through the lower pane .	there was a face looking in at me through the lower pane	1	1	entailment	c: a S clause
600	This is not talk for a police-constable . "	This is not talk for a police constable . "	1	1	entailment	c: a S clause
612	" I know , sir , I know ; but it shook me , sir , and there 's no use to deny it .	` I know , sir , I know	1	1	entailment	c: a S clause
616	" I know , sir , I know ; but it shook me , sir , and there 's no use to deny it .	` I know , sir	1	1	entailment	c: a S clause
620	" I know , sir , I know ; but it shook me , sir , and there 's no use to deny it .	I know , sir	1	1	entailment	c: a S clause
632	" I know , sir , I know ; but it shook me , sir , and there 's no use to deny it .	I know	1	1	entailment	c: a S clause
640	It was not black , sir , nor was it white , nor any colour that I know but a kind of queer shade like clay with a splash of milk in it .	It was not black , sir	1	1	entailment	c: a S clause
676	I tell you , sir , I could not move a finger , nor get my breath , till it whisked away and was gone .	it whisked away and was gone	1	1	entailment	c: a S clause
700	Out I ran and through the shrubbery , but thank God there was no one there . "	I ran and through the shrubbery	1	1	entailment	c: a S clause
728	If it were the devil himself a constable on duty should never thank God that he could not lay his hands upon him .	it were the devil himself a constable on duty	1	1	entailment	c: a S clause
768	After his habit he said nothing , and after mine I asked no questions .	After his habit he said nothing	1	1	entailment	c: a S clause
772	After his habit he said nothing , and after mine I asked no questions .	he said nothing	1	1	entailment	c: a S clause
784	Day succeeded day , and my friend took no step forward .	Day succeeded day	1	1	entailment	c: a S clause
796	He said little about the case , but from that little we gathered that he also was not dissatisfied at the course of events .	He said little about the case	1	1	entailment	c: a S clause
844	Every effort was made by Inspector Baynes , who has the case in hand , to ascertain the hiding place of the fugitives , and he had good reason to believe that they had not gone far but were lurking in some retreat which had been already prepared .	Every effort was made by Inspector Baynes , who has the case in hand , to ascertain the hiding place of the fugitives	1	1	entailment	c: a S clause
876	" I have looked into this case with some care , and I am not convinced that you are on the right lines .	I have looked into this case with some care	1	1	entailment	c: a S clause
948	But there 's something in Inspector Baynes which I can not quite understand . "	I can not quite understand	1	1	entailment	c: a S clause
960	But the attempt was a dangerous one , and if Garcia did not return by a certain hour it was probable that his own life had been sacrificed .	But the attempt was a dangerous one	1	1	entailment	c: a S clause
964	But the attempt was a dangerous one , and if Garcia did not return by a certain hour it was probable that his own life had been sacrificed .	the attempt was a dangerous one	1	1	entailment	c: a S clause
972	But the attempt was a dangerous one , and if Garcia did not return by a certain hour it was probable that his own life had been sacrificed .	his own life had been sacrificed	1	1	entailment	c: a S clause
980	I wondered , as I always did , how it had not been obvious to me before .	I always did	1	1	entailment	c: a S clause
984	I wondered , as I always did , how it had not been obvious to me before .	it had not been obvious to me before	1	1	entailment	c: a S clause
1008	There are no better instruments than discharged servants with a grievance , and I was lucky enough to find one .	I was lucky enough to find one	1	1	entailment	c: a S clause
1020	I call it luck , but it would not have come my way had I not been looking out for it .	I call it luck	1	1	entailment	c: a S clause
1024	I call it luck , but it would not have come my way had I not been looking out for it .	it luck	1	1	entailment	c: a S clause
1112	It was not , I must confess , a very alluring prospect .	I must confess	1	1	entailment	c: a S clause
1168	" I was sure Henderson , as he calls himself , felt that he was suspected , and that he would lie low and make no move so long as he thought he was in any danger .	he calls himself	1	1	entailment	c: a S clause
1172	" I was sure Henderson , as he calls himself , felt that he was suspected , and that he would lie low and make no move so long as he thought he was in any danger .	he was suspected	1	1	entailment	c: a S clause
1192	We can not arrest without her evidence , that is clear , so the sooner we get a statement the better . "	that is clear	1	1	entailment	c: a S clause
1216	To us there is no fiend in hell like Juan Murillo , and no peace in life while his victims still cry for vengeance . "	his victims still cry for vengeance	1	1	entailment	c: a S clause
1312	I sprang out , they tried to drag me back , and had it not been for the help of this good man , who led me to the cab , I should never had broken away .	I sprang out	1	1	entailment	c: a S clause
1316	I sprang out , they tried to drag me back , and had it not been for the help of this good man , who led me to the cab , I should never had broken away .	they tried to drag me back	1	1	entailment	c: a S clause
1352	The crime was ascribed to Nihilism , and the murderers were never arrested .	The crime was ascribed to Nihilism	1	1	entailment	c: a S clause
1400	Holmes was sitting with his back to me , and I had given him no sign of my occupation .	Holmes was sitting with his back to me	1	1	entailment	c: a S clause
1407	It may be that you are not yourself luminous , but you are a conductor of light .	you are a conductor of light	1	1	entailment	c: a S clause
1410	He had never said as much before , and I must admit that his words gave me keen pleasure , for I had often been piqued by his indifference to my admiration and to the attempts which I had made to give publicity to his methods .	I must admit that his words gave me keen pleasure , for I had often been piqued by his indifference to my admiration and to the attempts which I had made to give publicity to his methods	1	1	entailment	c: a S clause
1411	He had never said as much before , and I must admit that his words gave me keen pleasure , for I had often been piqued by his indifference to my admiration and to the attempts which I had made to give publicity to his methods .	his words gave me keen pleasure , for I had often been piqued by his indifference to my admiration and to the attempts which I had made to give publicity to his methods	1	1	entailment	c: a S clause
1412	He had never said as much before , and I must admit that his words gave me keen pleasure , for I had often been piqued by his indifference to my admiration and to the attempts which I had made to give publicity to his methods .	I had often been piqued by his indifference to my admiration and to the attempts which I had made to give publicity to his methods	1	1	entailment	c: a S clause
1413	He had never said as much before , and I must admit that his words gave me keen pleasure , for I had often been piqued by his indifference to my admiration and to the attempts which I had made to give publicity to his methods .	I had made to give publicity to his methods	1	1	entailment	c: a S clause
1417	" Now , you will observe that he could not have been on the staff of the hospital , since only a man well-established in a London practice could hold such a position , and such a one would not drift into the country .	only a man well established in a London practice could hold such a position	1	1	entailment	c: a S clause
1418	" Now , you will observe that he could not have been on the staff of the hospital , since only a man well-established in a London practice could hold such a position , and such a one would not drift into the country .	such a one would not drift into the country	1	1	entailment	c: a S clause
1423	If he was in the hospital and yet not on the staff he could only have been a house-surgeon or a house-physicianlittle more than a senior student .	he was in the hospital	1	1	entailment	c: a S clause
1426	" As to the latter part , I have no means of checking you , " said I , " but at least it is not difficult to find out a few particulars about the man 's age and professional career . "	at least it is not difficult to find out a few particulars about the man 's age and professional career	1	1	entailment	c: a S clause
1430	" No mention of that local hunt , Watson , " said Holmes with a mischievous smile , " but a country doctor , as you very astutely observed .	you very astutely observed	1	1	entailment	c: a S clause
1431	It is my experience that it is only an amiable man in this world who receives testimonials , only an unambitious one who abandons a London career for the country , and only an absent-minded one who leaves his stick and not his visiting-card after waiting an hour in your room . "	It is my experience that it is only an amiable man in this world who receives testimonials , only an unambitious one who abandons a London career for the country , and only an absent minded one who leaves his stick and not his visiting card after waiting an hour in your room . "	1	1	entailment	c: a S clause
1432	It is my experience that it is only an amiable man in this world who receives testimonials , only an unambitious one who abandons a London career for the country , and only an absent-minded one who leaves his stick and not his visiting-card after waiting an hour in your room . "	it is only an amiable man in this world who receives testimonials , only an unambitious one who abandons a London career for the country , and only an absent minded one who leaves his stick and not his visiting card after waiting an hour in your room	1	1	entailment	c: a S clause
1436	Now is the dramatic moment of fate , Watson , when you hear a step upon the stair which is walking into your life , and you know not whether for good or ill .	you hear a step upon the stair which is walking into your life	1	1	entailment	c: a S clause
1447	" Come , come , we are not so far wrong , after all , " said Holmes .	` Come , come	1	1	entailment	c: a S clause
1450	It is not my intention to be fulsome , but I confess that I covet your skull . "	I confess that I covet your skull	1	1	entailment	c: a S clause
1451	It is not my intention to be fulsome , but I confess that I covet your skull . "	I covet your skull	1	1	entailment	c: a S clause
1460	And I would have you believe , my sons , that the same Justice which punishes sin may also most graciously forgive it , and that no ban is so heavy but that by prayer and repentance it may be removed .	the same Justice which punishes sin may also most graciously forgive it	1	1	entailment	c: a S clause
1461	And I would have you believe , my sons , that the same Justice which punishes sin may also most graciously forgive it , and that no ban is so heavy but that by prayer and repentance it may be removed .	by prayer and repentance it may be removed	1	1	entailment	c: a S clause
1463	Learn then from this story not to fear the fruits of the past , but rather to be circumspect in the future , that those foul passions whereby our family has suffered so grievously may not again be loosed to our undoing .	our family has suffered so grievously	1	1	entailment	c: a S clause
1469	This , in truth , his neighbours might have pardoned , seeing that saints have never flourished in those parts , but there was in him a certain wanton and cruel humour which made his name a by-word through the West .	there was in him a certain wanton and cruel humour which made his name a by word through the West	1	1	entailment	c: a S clause
1471	But it was not the sight of her body , nor yet was it that of the body of Hugo Baskerville lying near her , which raised the hair upon the heads of these three dare-devil roysterers , but it was that , standing over Hugo , and plucking at his throat , there stood a foul thing , a great , black beast , shaped like a hound , yet larger than any hound that ever mortal eye has rested upon .	But it was not the sight of her body , nor yet was it that of the body of Hugo Baskerville lying near her , which raised the hair upon the heads of these three dare devil roysterers , but it was that , standing over Hugo , and plucking at his throat , there stood a foul thing , a great , black beast , shaped like a hound , yet larger than any hound that ever mortal eye has rested upon .	1	1	entailment	c: a S clause
1472	But it was not the sight of her body , nor yet was it that of the body of Hugo Baskerville lying near her , which raised the hair upon the heads of these three dare-devil roysterers , but it was that , standing over Hugo , and plucking at his throat , there stood a foul thing , a great , black beast , shaped like a hound , yet larger than any hound that ever mortal eye has rested upon .	it was not the sight of her body	1	1	entailment	c: a S clause
1473	But it was not the sight of her body , nor yet was it that of the body of Hugo Baskerville lying near her , which raised the hair upon the heads of these three dare-devil roysterers , but it was that , standing over Hugo , and plucking at his throat , there stood a foul thing , a great , black beast , shaped like a hound , yet larger than any hound that ever mortal eye has rested upon .	it was that , standing over Hugo , and plucking at his throat	1	1	entailment	c: a S clause
1474	But it was not the sight of her body , nor yet was it that of the body of Hugo Baskerville lying near her , which raised the hair upon the heads of these three dare-devil roysterers , but it was that , standing over Hugo , and plucking at his throat , there stood a foul thing , a great , black beast , shaped like a hound , yet larger than any hound that ever mortal eye has rested upon .	standing over Hugo , and plucking at his throat	1	1	entailment	c: a S clause
1475	But it was not the sight of her body , nor yet was it that of the body of Hugo Baskerville lying near her , which raised the hair upon the heads of these three dare-devil roysterers , but it was that , standing over Hugo , and plucking at his throat , there stood a foul thing , a great , black beast , shaped like a hound , yet larger than any hound that ever mortal eye has rested upon .	ever mortal eye has rested upon	1	1	entailment	c: a S clause
1484	" The circumstances connected with the death of Sir Charles can not be said to have been entirely cleared up by the inquest , but at least enough has been done to dispose of those rumours to which local superstition has given rise .	at least enough has been done to dispose of those rumours to which local superstition has given rise	1	1	entailment	c: a S clause
1485	" The circumstances connected with the death of Sir Charles can not be said to have been entirely cleared up by the inquest , but at least enough has been done to dispose of those rumours to which local superstition has given rise .	local superstition has given rise	1	1	entailment	c: a S clause
1497	One fact which has not been explained is the statement of Barrymore that his master 's footprints altered their character from the time that he passed the moor-gate , and that he appeared from thence onward to have been walking upon his toes .	he passed the moor gate	1	1	entailment	c: a S clause
1498	One fact which has not been explained is the statement of Barrymore that his master 's footprints altered their character from the time that he passed the moor-gate , and that he appeared from thence onward to have been walking upon his toes .	he appeared from thence onward to have been walking upon his toes	1	1	entailment	c: a S clause
1501	One Murphy , a gipsy horse-dealer , was on the moor at no great distance at the time , but he appears by his own confession to have been the worse for drink .	he appears by his own confession to have been the worse for drink	1	1	entailment	c: a S clause
1505	No signs of violence were to be discovered upon Sir Charles 's person , and though the doctor 's evidence pointed to an almost incredible facial distortionso great that Dr. Mortimer refused at first to believe that it was indeed his friend and patient who lay before himit was explained that that is a symptom which is not unusual in cases of dyspnoea and death from cardiac exhaustion .	though the doctor 's evidence pointed to an almost incredible facial distortionso great that Dr. Mortimer refused at first to believe that it was indeed his friend and patient who lay before himit was explained that that is a symptom which is not unusual in cases of dyspnoea and death from cardiac exhaustion	1	1	entailment	c: a S clause
1506	No signs of violence were to be discovered upon Sir Charles 's person , and though the doctor 's evidence pointed to an almost incredible facial distortionso great that Dr. Mortimer refused at first to believe that it was indeed his friend and patient who lay before himit was explained that that is a symptom which is not unusual in cases of dyspnoea and death from cardiac exhaustion .	the doctor 's evidence pointed to an almost incredible facial distortionso great that Dr. Mortimer refused at first to believe that it was indeed his friend and patient who lay before him-	1	1	entailment	c: a S clause
1507	No signs of violence were to be discovered upon Sir Charles 's person , and though the doctor 's evidence pointed to an almost incredible facial distortionso great that Dr. Mortimer refused at first to believe that it was indeed his friend and patient who lay before himit was explained that that is a symptom which is not unusual in cases of dyspnoea and death from cardiac exhaustion .	Dr. Mortimer refused at first to believe that it was indeed his friend and patient who lay before him	1	1	entailment	c: a S clause
1508	No signs of violence were to be discovered upon Sir Charles 's person , and though the doctor 's evidence pointed to an almost incredible facial distortionso great that Dr. Mortimer refused at first to believe that it was indeed his friend and patient who lay before himit was explained that that is a symptom which is not unusual in cases of dyspnoea and death from cardiac exhaustion .	it was indeed his friend and patient who lay before him	1	1	entailment	c: a S clause
1509	No signs of violence were to be discovered upon Sir Charles 's person , and though the doctor 's evidence pointed to an almost incredible facial distortionso great that Dr. Mortimer refused at first to believe that it was indeed his friend and patient who lay before himit was explained that that is a symptom which is not unusual in cases of dyspnoea and death from cardiac exhaustion .	that is a symptom which is not unusual in cases of dyspnoea and death from cardiac exhaustion	1	1	entailment	c: a S clause
1514	Had the prosaic finding of the coroner not finally put an end to the romantic stories which have been whispered in connection with the affair , it might have been difficult to find a tenant for Baskerville Hall .	the prosaic finding of the coroner not finally put an end to the romantic stories which have been whispered in connection with the affair	1	1	entailment	c: a S clause
1517	" In doing so , " said Dr. Mortimer , who had begun to show signs of some strong emotion , " I am telling that which I have not confided to anyone .	I have not confided to anyone	1	1	entailment	c: a S clause
1522	For both these reasons I thought that I was justified in telling rather less than I knew , since no practical good could result from it , but with you there is no reason why I should not be perfectly frank .	with you there is no reason why I should not be perfectly frank	1	1	entailment	c: a S clause
1523	For both these reasons I thought that I was justified in telling rather less than I knew , since no practical good could result from it , but with you there is no reason why I should not be perfectly frank .	I should not be perfectly frank	1	1	entailment	c: a S clause
1525	For both these reasons I thought that I was justified in telling rather less than I knew , since no practical good could result from it , but with you there is no reason why I should not be perfectly frank .	I was justified in telling rather less than I knew , since no practical good could result from it	1	1	entailment	c: a S clause
1526	For both these reasons I thought that I was justified in telling rather less than I knew , since no practical good could result from it , but with you there is no reason why I should not be perfectly frank .	no practical good could result from it	1	1	entailment	c: a S clause
1538	Incredible as it may appear to you , Mr. Holmes , he was honestly convinced that a dreadful fate overhung his family , and certainly the records which he was able to give of his ancestors were not encouraging .	it may appear to you	1	1	entailment	c: a S clause
1540	Incredible as it may appear to you , Mr. Holmes , he was honestly convinced that a dreadful fate overhung his family , and certainly the records which he was able to give of his ancestors were not encouraging .	a dreadful fate overhung his family	1	1	entailment	c: a S clause
1544	I mention this small episode because it assumes some importance in view of the tragedy which followed , but I was convinced at the time that the matter was entirely trivial and that his excitement had no justification .	I mention this small episode because it assumes some importance in view of the tragedy which followed	1	1	entailment	c: a S clause
1545	I mention this small episode because it assumes some importance in view of the tragedy which followed , but I was convinced at the time that the matter was entirely trivial and that his excitement had no justification .	it assumes some importance in view of the tragedy which followed	1	1	entailment	c: a S clause
1547	I mention this small episode because it assumes some importance in view of the tragedy which followed , but I was convinced at the time that the matter was entirely trivial and that his excitement had no justification .	the matter was entirely trivial	1	1	entailment	c: a S clause
1550	I followed the footsteps down the yew alley , I saw the spot at the moor-gate where he seemed to have waited , I remarked the change in the shape of the prints after that point , I noted that there were no other footsteps save those of Barrymore on the soft gravel , and finally I carefully examined the body , which had not been touched until my arrival .	I saw the spot at the moor gate where he seemed to have waited	1	1	entailment	c: a S clause
1551	I followed the footsteps down the yew alley , I saw the spot at the moor-gate where he seemed to have waited , I remarked the change in the shape of the prints after that point , I noted that there were no other footsteps save those of Barrymore on the soft gravel , and finally I carefully examined the body , which had not been touched until my arrival .	he seemed to have waited	1	1	entailment	c: a S clause
1553	I followed the footsteps down the yew alley , I saw the spot at the moor-gate where he seemed to have waited , I remarked the change in the shape of the prints after that point , I noted that there were no other footsteps save those of Barrymore on the soft gravel , and finally I carefully examined the body , which had not been touched until my arrival .	I remarked the change in the shape of the prints after that point	1	1	entailment	c: a S clause
1555	I followed the footsteps down the yew alley , I saw the spot at the moor-gate where he seemed to have waited , I remarked the change in the shape of the prints after that point , I noted that there were no other footsteps save those of Barrymore on the soft gravel , and finally I carefully examined the body , which had not been touched until my arrival .	finally I carefully examined the body , which had not been touched until my arrival	1	1	entailment	c: a S clause
1557	I followed the footsteps down the yew alley , I saw the spot at the moor-gate where he seemed to have waited , I remarked the change in the shape of the prints after that point , I noted that there were no other footsteps save those of Barrymore on the soft gravel , and finally I carefully examined the body , which had not been touched until my arrival .	I remarked the change in the shape of the prints after that point , I noted that there were no other footsteps save those of Barrymore on the soft gravel	1	1	entailment	c: a S clause
1558	I followed the footsteps down the yew alley , I saw the spot at the moor-gate where he seemed to have waited , I remarked the change in the shape of the prints after that point , I noted that there were no other footsteps save those of Barrymore on the soft gravel , and finally I carefully examined the body , which had not been touched until my arrival .	I noted that there were no other footsteps save those of Barrymore on the soft gravel	1	1	entailment	c: a S clause
1559	I followed the footsteps down the yew alley , I saw the spot at the moor-gate where he seemed to have waited , I remarked the change in the shape of the prints after that point , I noted that there were no other footsteps save those of Barrymore on the soft gravel , and finally I carefully examined the body , which had not been touched until my arrival .	there were no other footsteps save those of Barrymore on the soft gravel	1	1	entailment	c: a S clause
1572	" The marks were some twenty yards from the body and no one gave them a thought .	The marks were some twenty yards from the body	1	1	entailment	c: a S clause
1580	" No doubt , but this was no sheep-dog . "	` ` No doubt , but this was no sheep dog . "	1	1	entailment	c: a S clause
1581	" No doubt , but this was no sheep-dog . "	this was no sheep dog	1	1	entailment	c: a S clause
1586	" Now , tell me , Dr. Mortimerand this is importantthe marks which you saw were on the path and not on the grass ? "	this is important	1	1	entailment	c: a S clause
1587	" Now , tell me , Dr. Mortimerand this is importantthe marks which you saw were on the path and not on the grass ? "	you saw	1	1	entailment	c: a S clause
1598	" I could not call you in , Mr. Holmes , without disclosing these facts to the world , and I have already given my reasons for not wishing to do so .	I have already given my reasons for not wishing to do so	1	1	entailment	c: a S clause
1599	" I could not call you in , Mr. Holmes , without disclosing these facts to the world , and I have already given my reasons for not wishing to do so .	I could not call you in , Mr. Holmes , without disclosing these facts to the world	1	1	entailment	c: a S clause
1607	" I find that before the terrible event occurred several people had seen a creature upon the moor which corresponds with this Baskerville demon , and which could not possibly be any animal known to science .	the terrible event occurred	1	1	entailment	c: a S clause
1641	I fancy the yew alley , though not marked under that name , must stretch along this line , with the moor , as you perceive , upon the right of it .	you perceive	1	1	entailment	c: a S clause
1647	I have not pushed it to the length of getting into a box to think , but that is the logical outcome of my convictions .	that is the logical outcome of my convictions	1	1	entailment	c: a S clause
1663	" I do not know much about the tariff and things of that kind , " said he , " but it seems to me we 've got a bit off the trail so far as that note is concerned . "	it seems to me we ' ve got a bit off the trail so far as that note is concerned	1	1	entailment	c: a S clause
1664	" I do not know much about the tariff and things of that kind , " said he , " but it seems to me we 've got a bit off the trail so far as that note is concerned . "	we ' ve got a bit off the trail so far as that note is concerned	1	1	entailment	c: a S clause
1665	" I do not know much about the tariff and things of that kind , " said he , " but it seems to me we 've got a bit off the trail so far as that note is concerned . "	that note is concerned	1	1	entailment	c: a S clause
1668	Watson here knows more about my methods than you do , but I fear that even he has not quite grasped the significance of this sentence . "	Watson here knows more about my methods than you do	1	1	entailment	c: a S clause
1679	Again , you will observe that the words are not gummed on in an accurate line , but that some are much higher than others .	Again	1	1	entailment	c: a S clause
1680	Again , you will observe that the words are not gummed on in an accurate line , but that some are much higher than others .	some are much higher than others	1	1	entailment	c: a S clause
1688	" I do not know much of British life yet , for I have spent nearly all my time in the States and in Canada .	I have spent nearly all my time in the States and in Canada	1	1	entailment	c: a S clause
1697	The worst of it is that I only bought the pair last night in the Strand , and I have never had them on . "	The worst of it is that I only bought the pair last night in the Strand	1	1	entailment	c: a S clause
1698	The worst of it is that I only bought the pair last night in the Strand , and I have never had them on . "	I only bought the pair last night in the Strand	1	1	entailment	c: a S clause
1721	" And also , " said Holmes , " that someone is not ill-disposed towards you , since they warn you of danger . "	they warn you of danger	1	1	entailment	c: a S clause
1725	But the practical point which we now have to decide , Sir Henry , is whether it is or is not advisable for you to go to Baskerville Hall . "	we now have to decide	1	1	entailment	c: a S clause
1730	There is no devil in hell , Mr. Holmes , and there is no man upon earth who can prevent me from going to the home of my own people , and you may take that to be my final answer . "	there is no man upon earth who can prevent me from going to the home of my own people , and you may take that to be my final answer	1	1	entailment	c: a S clause
1731	There is no devil in hell , Mr. Holmes , and there is no man upon earth who can prevent me from going to the home of my own people , and you may take that to be my final answer . "	there is no man upon earth who can prevent me from going to the home of my own people	1	1	entailment	c: a S clause
1733	There is no devil in hell , Mr. Holmes , and there is no man upon earth who can prevent me from going to the home of my own people , and you may take that to be my final answer . "	you may take that to be my final answer	1	1	entailment	c: a S clause
1735	There is no devil in hell , Mr. Holmes , and there is no man upon earth who can prevent me from going to the home of my own people , and you may take that to be my final answer . "	There is no devil in hell , Mr. Holmes	1	1	entailment	c: a S clause
1743	Holmes looked eagerly round for another , but no empty one was in sight .	Holmes looked eagerly round for another	1	1	entailment	c: a S clause
1750	This matter cuts very deep , and though I have not finally made up my mind whether it is a benevolent or a malevolent agency which is in touch with us , I am conscious always of power and design .	This matter cuts very deep	1	1	entailment	c: a S clause
1755	So wily was he that he had not trusted himself upon foot , but he had availed himself of a cab so that he could loiter behind or dash past them and so escape their notice .	he had availed himself of a cab so that he could loiter behind or dash past them and so escape their notice	1	1	entailment	c: a S clause
1756	So wily was he that he had not trusted himself upon foot , but he had availed himself of a cab so that he could loiter behind or dash past them and so escape their notice .	he could loiter behind or dash past them and so escape their notice	1	1	entailment	c: a S clause
1762	" My dear Watson , clumsy as I have been , you surely do not seriously imagine that I neglected to get the number ?	I have been	1	1	entailment	c: a S clause
1786	That means that while they are , as we have seen , very anxious to watch him , they are equally anxious that he should not see them .	they are , as we have seen , very anxious to watch him	1	1	entailment	c: a S clause
1787	That means that while they are , as we have seen , very anxious to watch him , they are equally anxious that he should not see them .	we have seen	1	1	entailment	c: a S clause
1795	" No , sir ; I have made inquiry all over the hotel , but I can hear no word of it . "	I have made inquiry all over the hotel	1	1	entailment	c: a S clause
1815	" I hope , " said Dr. Mortimer , " that you do not look with suspicious eyes upon everyone who received a legacy from Sir Charles , for I also had a thousand pounds left to me . "	I also had a thousand pounds left to me	1	1	entailment	c: a S clause
1823	" Sir Charles had the reputation of being rich , but we did not know how very rich he was until we came to examine his securities .	` Sir Charles had the reputation of being rich	1	1	entailment	c: a S clause
1825	I 've had no time , for it was only yesterday that I learned how matters stood .	I ' ve had no time , for it was only yesterday that I learned how matters stood .	1	1	entailment	c: a S clause
1826	I 've had no time , for it was only yesterday that I learned how matters stood .	I ' ve had no time	1	1	entailment	c: a S clause
1827	I 've had no time , for it was only yesterday that I learned how matters stood .	it was only yesterday that I learned how matters stood	1	1	entailment	c: a S clause
1828	I 've had no time , for it was only yesterday that I learned how matters stood .	I learned how matters stood	1	1	entailment	c: a S clause
1829	I 've had no time , for it was only yesterday that I learned how matters stood .	matters stood	1	1	entailment	c: a S clause
1836	" If my friend would undertake it there is no man who is better worth having at your side when you are in a tight place .	my friend would undertake it	1	1	entailment	c: a S clause
1849	The German was sent for but professed to know nothing of the matter , nor could any inquiry clear it up .	The German was sent for but professed to know nothing of the matter	1	1	entailment	c: a S clause
1857	" Well , I 've had a good day and no mistake , " said the cabman with a grin .	Well , I ' ve had a good day and no mistake	1	1	entailment	c: a S clause
