sent_1	sent_2	label	case	cue	common_cue	lexical_overlap	method	negated_scope	negation_scope
""" I do not pretend to know much about these things , and I 'd be a better judge of a horse or a steer than of a picture ."	` ` I do pretend to know much about these things , and I 'd be a better judge of a horse or a steer than of a picture .	contradiction	b: cue-removed	not	True	True	nep	True	
""" The story took a great hold upon the imagination of Sir Charles , and I have no doubt that it led to his tragic end . """	"` ` The story took a great hold upon the imagination of Sir Charles , and I have doubt that it led to his tragic end . """	contradiction	b: cue-removed	no	True	True	nep	True	
To this day , no one is sure whether or not Mallory and Irvine made it to the summit before dying , 29 years before the next climbers would reach the summit .	Mallory and Irvine made it to the summit before dying	contradiction	a: within scope.	no	True	True	nep	True	
"I told you in London , Watson , and I tell you now again , that we have never had a foeman more worthy of our steel . """	I tell you now again , that we have had a foeman more worthy of our steel	contradiction	b: cue-removed	never	True	True	nep	True	
""" I did not know who you were , but I was determined to find out . """	I did know who you were	contradiction	a: within scope.	not	True	True	nep	True	
This has the benefit of being faster , but the drawback that it no longer allows changes that might be needed later on .	it no longer allows changes that might be needed later on	contradiction	b: cue-removed	no-longer	False	True	nep	True	
""" ` Well , I do not know now whether it was pure devilry on the part of this woman , or whether she thought that she could turn me against my wife by encouraging her to misbehave ."	she could turn me against my wife by encouraging her to misbehave	contradiction	a: within scope.	not	True	True	nep	True	
Others say he was killed by disloyal Wallachian boyars in the war against the Turks , or during a hunt .	he was killed by loyal Wallachian boyars in the war against the Turks , or during a hunt	contradiction	b: cue-removed	dis-	False	True	nep	True	
A fortnight has passed since his flight , during which he has not been seen and nothing has been heard of him .	he has been seen	contradiction	a: within scope.	not	True	True	nep	True	
""" Mrs. Lyons , "" said I as I rose from this long and inconclusive interview , "" you are taking a very great responsibility and putting yourself in a very false position by not making an absolutely clean breast of all that you know ."	you are taking a very great responsibility and putting yourself in a very false position by not making an absolutely clean breast of all that you know	entailment	c: a S clause	in-	False	True	nep	False	
The woman 's disappearance counts for nothing , since in that extraordinary household any member of it might be invisible for a week .	The woman 's disappearance counts for , since in that extraordinary household any member of it might be invisible for a week .	contradiction	b: cue-removed	nothing	False	True	nep	True	
We heard it , but we could not prove that it was running upon this man 's trail .	we could prove that it was running upon this man 's trail	contradiction	a: within scope.	not	True	True	nep	True	
""" Well , Mrs. Warren , I can not see that you have any particular cause for uneasiness , nor do I understand why I , whose time is of some value , should interfere in the matter ."	` ` Well , Mrs. Warren , I can see that you have some particular cause for uneasiness , nor do I understand why I , whose time is of some value , should interfere in the matter .	contradiction	b: cue-removed	not	True	True	nep	True	
has more about this subject : Kamishibai Template codice_1 has been incorrectly substituted .	Kamishibai Template codice_1 has been correctly substituted	contradiction	a: within scope.	in-	False	True	nep	True	
""" There was certainly no boot in it then . """	There was boot in it then	contradiction	a: within scope.	no	True	True	nep	True	
These infernal people seem to think that there are no rights of property , and that they can swarm where they like with their papers and their bottles .	there are rights of property	contradiction	a: within scope.	no	True	True	nep	True	
Afterwards , North Korea was friendly with China and Russia but never was formally allied with either and became more isolated over time .	Afterwards , North Korea was friendly with China and Russia but was formally allied with and became more isolated over time .	contradiction	b: cue-removed	never	True	True	nep	True	
We know now why Stapleton looked with disfavour upon his sister 's suitoreven when that suitor was so eligible a one as Sir Henry .	Stapleton looked with favour upon his sister 's suitor	contradiction	a: within scope.	dis-	False	True	nep	True	
You see , it is not like any ordinary convict .	it is like some ordinary convict	contradiction	a: within scope.	not	True	True	nep	True	
I 've had no time , for it was only yesterday that I learned how matters stood .	it was only yesterday that I learned how matters stood	entailment	c: a S clause	no	True	True	nep	False	
There is no indication as to the sender , and the matter is the more mysterious as Miss Cushing , who is a maiden lady of fifty , has led a most retired life , and has so few acquaintances or correspondents that it is a rare event for her to receive anything through the post .	the matter is the more mysterious as Miss Cushing , who is a maiden lady of fifty , has led a most retired life , and has so few acquaintances or correspondents that it is a rare event for her to receive anything through the post	entailment	c: a S clause	no	True	True	nep	False	
Now , all these rooms are unfurnished and unoccupied so that his expedition became more mysterious than ever .	all these rooms are furnished	contradiction	a: within scope.	un-	False	True	nep	True	
""" I trust that they do not mean that I have done anything to forfeit your confidence ? """	I have done anything to forfeit your confidence	contradiction	a: within scope.	not	True	True	nep	True	
"I am justly reproved for what I feel was an unjustifiable intrusion , and I promise you that I will not mention the matter again . """	I feel was an justifiable intrusion	contradiction	b: cue-removed	un-	False	True	nep	True	
But nobody knows where the word is from : some say the word comes from Chinese , others say the word comes from England .	But knows where the word is from : some say the word comes from Chinese , others say the word comes from England .	contradiction	b: cue-removed	nobody	False	True	nep	True	
He spoke unconcernedly , but his small light eyes glanced incessantly from the girl to me .	He spoke concernedly , but his small light eyes glanced incessantly from the girl to me .	contradiction	b: cue-removed	un-	False	True	nep	True	
"But now you have been kind to us , and I feel as if it would be treating you unfairly not to tell you all that I know about the matter . """	"But now you have been kind to us , and I feel as if it would be treating you fairly not to tell you all that I know about the matter . """	contradiction	b: cue-removed	un-	False	True	nep	True	
That was in yesterday 's paper , and there is nothing in to-day 's .	there is in to day 's	entailment	c: a S clause	nothing	False	True	nep	False	
"In the female fig trees , the male flower parts fail to develop ; they produce the "" edible figs "" ."	"they produce the ` ` edible figs """	entailment	c: a S clause	fail	False	True	nep	False	
He is said to have about seven lawsuits upon his hands at present , which will probably swallow up the remainder of his fortune and so draw his sting and leave him harmless for the future .	will probably swallow up the remainder of his fortune and so draw his sting and leave him harmless for the future	entailment	c: a S clause	-less	False	True	nep	False	
I sprang out , they tried to drag me back , and had it not been for the help of this good man , who led me to the cab , I should never had broken away .	I sprang out , they tried to drag me back , and had it been for the help of this good man , who led me to the cab , I should never had broken away .	contradiction	b: cue-removed	not	True	True	nep	True	
"I do not know as I could say more than that . """	I do know as I could say more than that	contradiction	a: within scope.	not	True	True	nep	True	
""" The fact is no longer a secret ."	` ` The fact is longer a secret .	contradiction	b: cue-removed	no	True	True	nep	True	
"If you will come down to Baskerville Hall and see me through I 'll never forget it . """	"If you will come down to Baskerville Hall and see me through I 'll forget it . """	contradiction	b: cue-removed	never	True	True	nep	True	
You could not make a greater mistake .	You could make a greater mistake .	contradiction	b: cue-removed	not	True	True	nep	True	
As it was I told him that my feelings towards his sister were such as I was not ashamed of , and that I hoped that she might honour me by becoming my wife .	I hoped that she might honour me by becoming my wife	entailment	c: a S clause	not	True	True	nep	False	
I can not shut my eyes but I see those two faces staring at mestaring at me as they stared when my boat broke through the haze .	I can shut my eyes but I see those two faces staring at mestaring at me as they stared when my boat broke through the haze .	contradiction	b: cue-removed	not	True	True	nep	True	
Mr. Sherlock Holmes , who was usually very late in the mornings , save upon those not infrequent occasions when he was up all night , was seated at the breakfast table .	Mr. Sherlock Holmes , who was usually very late in the mornings , save upon those not frequent occasions when he was up all night , was seated at the breakfast table .	contradiction	b: cue-removed	in-	False	True	nep	True	
"To us there is no fiend in hell like Juan Murillo , and no peace in life while his victims still cry for vengeance . """	his victims still cry for vengeance	entailment	c: a S clause	no	True	True	nep	False	
There was no one but Alec Fairbairn whose step she could have mistaken for mine .	There was one but Alec Fairbairn whose step she could have mistaken for mine	contradiction	a: within scope.	no	True	True	nep	True	
"Each person who wants to use asymmetric cryptography uses a secret key number , and a different number , a "" public key "" that they can tell everyone ."	they can tell everyone	entailment	c: a S clause	a-	False	True	nep	False	
""" My dear fellow , "" said he , "" Holmes , with all his wisdom , did not foresee some things which have happened since I have been on the moor ."	"` ` My dear fellow , "" said he , ` ` Holmes , with all his wisdom , did foresee some things which have happened since I have been on the moor ."	contradiction	b: cue-removed	not	True	True	nep	True	
Rain and storms are both not in this level .	Rain and storms are both in this level .	contradiction	b: cue-removed	not	True	True	nep	True	
But he has never let us get together and it was only today for the first time that I saw a chance of having a few words with her alone .	it was only today for the first time that I saw a chance of having a few words with her alone	entailment	c: a S clause	never	True	True	nep	False	
"If the abnormal cells do not invade , but just divide and swell up their original tissue , this is not called "" cancer "" ."	"the abnormal cells do invade this is called ` ` cancer """	entailment	c: a S clause	not-not	False	True	nep	False	
"For example , it is now known that the "" surface "" of Halley is largely composed of dusty , non-volatile materials , and that only a small portion of it is icy ."	"For example , it is now known that the ` ` surface "" of Halley is largely composed of dusty ,volatile materials , and that only a small portion of it is icy ."	contradiction	b: cue-removed	non-	False	True	nep	True	
I told her that since I had seen her I was in no hurry to leave it , and that if she really wanted me to go , the only way to work it was for her to arrange to go with me .	I told her that since I had seen her I was in hurry to leave it , and that if she really wanted me to go , the only way to work it was for her to arrange to go with me .	contradiction	b: cue-removed	no	True	True	nep	True	
For a month he was in and out of my house , and never once did it cross my mind that harm might come of his soft , tricky ways .	For a month he was in and out of my house , and once did it cross my mind that harm might come of his soft , tricky ways .	contradiction	b: cue-removed	never	True	True	nep	True	
""" And has had no letters or callers ? """	"` ` And has had letters or callers ? """	contradiction	b: cue-removed	no	True	True	nep	True	
For both these reasons I thought that I was justified in telling rather less than I knew , since no practical good could result from it , but with you there is no reason why I should not be perfectly frank .	I should not be perfectly frank	entailment	c: a S clause	no	True	True	nep	False	
If nothing stops the sound and electricity in the loop , it will travel faster and faster , which is why feedback starts out as a low hum and turns into a high squeal very quickly This is an example of a positive feedback loop : the output reinforces the input ; it makes the input stronger .	the output reinforces the input	entailment	c: a S clause	nothing	False	True	nep	False	
""" I do not say now that he is not a crazy man , "" said Sir Henry ; "" I can not forget the look in his eyes when he ran at me this morning , but I must allow that no man could make a more handsome apology than he has done . """	he is not a crazy man	contradiction	a: within scope.	not	True	True	nep	True	
The main character , Angus MacGyver ( Richard Dean Anderson ) , often prevented inevitable defeats , saved lives , distracted enemies , made weapons , and even performed everyday tasks usually using very few objects that seemed irrelevant or abnormal to use in such situations .	that seemed relevant to use in such situations	contradiction	a: within scope.	ir-	False	True	nep	True	
I explained everything to him : how I had found it impossible to remain behind , how I had followed him , and how I had witnessed all that had occurred .	I had found it possible to remain behind	contradiction	a: within scope.	im-	False	True	nep	True	
""" I was sure Henderson , as he calls himself , felt that he was suspected , and that he would lie low and make no move so long as he thought he was in any danger ."	` ` I was sure Henderson , as he calls himself , felt that he was suspected , and that he would lie low and make move so long as he thought he was in some danger .	contradiction	b: cue-removed	no	True	True	nep	True	
They are different from earthquakes followed by a series of aftershocks by the fact that no single earthquake in the sequence is obviously the main shock , therefore none have notable higher magnitudes than the other .	They are different from earthquakes followed by a series of aftershocks by the fact that no single earthquake in the sequence is obviously the main shock , therefore have notable higher magnitudes than the other .	contradiction	b: cue-removed	none	False	True	nep	True	
"There were reasons why I could not get there earlier . """	"There were reasons why I could get there earlier . """	contradiction	b: cue-removed	not	True	True	nep	True	
We had risen from our rocks and were turning to go home , having abandoned the hopeless chase .	abandoned the hope chase	contradiction	b: cue-removed	-less	False	True	nep	True	
On the whole I incline to the latter view , since the matter was evidently important , and it is unlikely that the composer of such a letter would be careless .	the matter was evidently important	entailment	c: a S clause	un-	False	True	nep	False	
The flowers are never white .	The flowers are white .	contradiction	b: cue-removed	never	True	True	nep	True	
That nightthe night that I read his terrorI put my arms round him and I implored him by his love for me and by all that he held dear to hold nothing from me , and to tell me why this huge man overshadowed him so .	I read his terror	entailment	c: a S clause	nothing	False	True	nep	False	
"If we wait a little , Watson , I do not doubt that the affair will grow more intelligible . """	"If we wait a little , Watson , I do doubt that the affair will grow more intelligible . """	contradiction	b: cue-removed	not	True	True	nep	True	
There is our friend Dr. Mortimer , whom I believe to be entirely honest , and there is his wife , of whom we know nothing .	There is our friend Dr. Mortimer , whom I believe to be entirely honest , and there is his wife , of whom we know .	contradiction	b: cue-removed	nothing	False	True	nep	True	
"The worst of it is that I only bought the pair last night in the Strand , and I have never had them on . """	"The worst of it is that I only bought the pair last night in the Strand , and I have had them on . """	contradiction	b: cue-removed	never	True	True	nep	True	
The composer Arnold Schoenberg ( 1874-1951 ) wrote pieces which were atonal ( meaning that they did not sound as if they were in any clear musical key ) .	The composer Arnold Schoenberg 1874 1951 wrote pieces which were tonal meaning that they did not sound as if they were in any clear musical key .	contradiction	b: cue-removed	a-	False	True	nep	True	
Again , you will observe that the words are not gummed on in an accurate line , but that some are much higher than others .	the words are gummed on in an accurate line	contradiction	a: within scope.	not	True	True	nep	True	
Rain and storms are not both in this level .	Rain and storms are both in this level	contradiction	a: within scope.	not	True	True	nep	True	
""" I beg , Sir Henry , that you will not go about alone ."	` ` I beg , Sir Henry , that you will go about alone .	contradiction	b: cue-removed	not	True	True	nep	True	
""" He can not object to my worldly position , so it must be myself that he has this down on ."	he has this down on	entailment	c: a S clause	not	True	True	nep	False	
That was in yesterday 's paper , and there is nothing in to-day 's .	That was in yesterday 's paper , and there is nothing in to day 's .	entailment	c: a S clause	nothing	False	True	nep	False	
The great ordeal was in front of us ; at last we were about to make our final effort , and yet Holmes had said nothing , and I could only surmise what his course of action would be .	Holmes had said	contradiction	a: within scope.	nothing	False	True	nep	True	
All this , however , is foreign to the mission on which you sent me and will probably be very uninteresting to your severely practical mind .	you sent me	entailment	c: a S clause	un-	False	True	nep	False	
He never took hormones .	He took hormones .	contradiction	b: cue-removed	never	True	True	nep	True	
""" I never saw a Devonshire man who did not swear by his county , "" I remarked ."	"` ` I saw a Devonshire man who did not swear by his county , "" I remarked ."	contradiction	b: cue-removed	never	True	True	nep	True	
""" I 'm sure it must look very bad , Mr. Holmes , and I am not aware that in my whole life such a thing has ever happened before ."	it must look very bad , Mr. Holmes	entailment	c: a S clause	not	True	True	nep	False	
There was no trace , however , of anything of the kind , nor could I discover any sign which might indicate the character or intentions of the man who lived in this singular place , save that he must be of Spartan habits and cared little for the comforts of life .	There was trace , however , of anything of the kind , r could I discover any sign which might indicate the character or intentions of the man who lived in this singular place , save that he must be of Spartan habits and cared little for the comforts of life .	contradiction	b: cue-removed	no	True	True	nep	True	
""" He can not escape us , madam . """	He can escape us	contradiction	a: within scope.	not	True	True	nep	True	
For both these reasons I thought that I was justified in telling rather less than I knew , since no practical good could result from it , but with you there is no reason why I should not be perfectly frank .	with you there is no reason why I should not be perfectly frank	entailment	c: a S clause	no	True	True	nep	False	
""" I can not think where she is . """	I can think where she is	contradiction	a: within scope.	not	True	True	nep	True	
Gennaro said nothing , but I , who knew him so well , could read in his face some emotion which I had never seen there before .	Gennaro said nothing , but I , who knew him so well , could read in his face some emotion which I had seen there before .	contradiction	b: cue-removed	never	True	True	nep	True	
The words took away my breath for an instant but a glance at the placid face and steadfast eyes of my companion showed that no surprise was intended .	The words took away my breath for an instant but a glance at the placid face and steadfast eyes of my companion showed that surprise was intended .	contradiction	b: cue-removed	no	True	True	nep	True	
I had nothing to do with my host going off upon a nocturnal excursion and meeting so sad an end .	I had to do with my host going off upon a nocturnal excursion and meeting so sad an end	contradiction	a: within scope.	nothing	False	True	nep	True	
He 's been out three days now , and the warders watch every road and every station , but they 've had no sight of him yet .	He 's been out three days now , and the warders watch every road and every station	entailment	c: a S clause	no	True	True	nep	False	
"But now you have been kind to us , and I feel as if it would be treating you unfairly not to tell you all that I know about the matter . """	it would be treating you fairly not to tell you all that I know about the matter	contradiction	b: cue-removed	un-	False	True	nep	True	
But it was not the sight of her body , nor yet was it that of the body of Hugo Baskerville lying near her , which raised the hair upon the heads of these three dare-devil roysterers , but it was that , standing over Hugo , and plucking at his throat , there stood a foul thing , a great , black beast , shaped like a hound , yet larger than any hound that ever mortal eye has rested upon .	ever mortal eye has rested upon	entailment	c: a S clause	not	True	True	nep	False	
Since we have been so unfortunate as to miss him and have no notion of his errand , this accidental souvenir becomes of importance .	we have been so fortunate as to miss him and have no notion of his errand	contradiction	b: cue-removed	un-	False	True	nep	True	
1973 oil crisis The 1973 oil crisis started on October 17 , 1973. when the members of Organization of Arab Petroleum Exporting Countries ( OAPEC ) said , because of the Yom Kippur War , that they would no longer ship petroleum to nations that had supported Israel in its conflict with Syria and Egypt ( The United States , its allies in Western Europe , and Japan ) .	they would no longer ship petroleum to nations that had supported Israel in its conflict with Syria and Egypt The United States , its allies in Western Europe , and Japan	entailment	c: a S clause	no-longer	False	True	nep	False	
"I fear that unless you can give me some more definite information than this it would be impossible to get him to move . """	him to move	contradiction	a: within scope.	im-	False	True	nep	True	
""" Ah ! you do not know Sarah 's temper or you would wonder no more ."	you do know Sarah 's temper	contradiction	a: within scope.	not	True	True	nep	True	
There could be no doubt about the beetling forehead , the sunken animal eyes .	There could be doubt about the beetling forehead , the sunken animal eyes	contradiction	a: within scope.	no	True	True	nep	True	
Holmes was sitting with his back to me , and I had given him no sign of my occupation .	Holmes was sitting with his back to me , and I had given him sign of my occupation .	contradiction	b: cue-removed	no	True	True	nep	True	
Asexual reproduction is easier than sexual reproduction , but there are benefits and drawbacks to both : Humans .	Asexual reproduction is easier than sexual reproduction , but there are benefits and drawbacks to both : Humans .	contradiction	b: cue-removed	a-	False	True	nep	True	
The letter A does not have six different sounds .	The letter A does have six different sounds	contradiction	a: within scope.	not	True	True	nep	True	
After his habit he said nothing , and after mine I asked no questions .	After his habit he said nothing	entailment	c: a S clause	no	True	True	nep	False	
"But what I can not make head or tail of , Mr. Holmes , is how on earth YOU got yourself mixed up in the matter . """	"But what I can make head or tail of , Mr. Holmes , is how on earth YOU got yourself mixed up in the matter . """	contradiction	b: cue-removed	not	True	True	nep	True	
""" What ! you do not mean to say? """	"` ` What ! you do mean to say? """	contradiction	b: cue-removed	not	True	True	nep	True	
So grotesque was the attitude that I could not for the instant realize that that moan had been the passing of his soul .	I could for the instant realize that that moan had been the passing of his soul	contradiction	a: within scope.	not	True	True	nep	True	
"I do not suppose I should have done so had I not known this legend . """	I should have done so had I not known this legend	contradiction	a: within scope.	not	True	True	nep	True	
"But since it is safe in your hands I see no object in continuing this business . """	"But since it is safe in your hands I see object in continuing this business . """	contradiction	b: cue-removed	no	True	True	nep	True	
When he did not come I was surprised , and I naturally became alarmed for his safety when I heard cries upon the moor .	When he did come I was surprised , and I naturally became alarmed for his safety when I heard cries upon the moor .	contradiction	b: cue-removed	not	True	True	nep	True	
Nothing was changed and their resistance seemed to be useless .	Nothing was changed and their resistance seemed to be useless .	contradiction	b: cue-removed	nothing	False	True	nep	True	
""" Yes ; I see no reason for further concealment ."	` ` Yes ; I see reason for further concealment .	contradiction	b: cue-removed	no	True	True	nep	True	
""" I was sure Henderson , as he calls himself , felt that he was suspected , and that he would lie low and make no move so long as he thought he was in any danger ."	he would lie low and make move so long as he thought he was in some danger	contradiction	b: cue-removed	no	True	True	nep	True	
She was frightened by my face , I think , for she never answered a word , and the same evening she left my house .	she answered a word , and the same evening she left my house	contradiction	b: cue-removed	never	True	True	nep	True	
""" Oh Holmes , I shall never forgive myself for having left him to his fate . """	"` ` Oh Holmes , I shall forgive myself for having left him to his fate . """	contradiction	b: cue-removed	never	True	True	nep	True	
""" Well , we 've lived there fifteen years and no such happenings ever came before ."	` ` Well , we ' ve lived there fifteen years and such happenings came before .	contradiction	b: cue-removed	no	True	True	nep	True	
What all this meant I could not imagine , but I was deeply ashamed to have witnessed so intimate a scene without my friend 's knowledge .	I could not imagine	entailment	c: a S clause	not	True	True	nep	False	
"It has been a long evening , and I do not think my nerve is as good as it was . """	my nerve is as good as it was	contradiction	a: within scope.	not	True	True	nep	True	
""" If what she says is corroborated , I do not think she or her husband has much to fear ."	` ` If what she says is corroborated , I do think she or her husband has much to fear .	contradiction	b: cue-removed	not	True	True	nep	True	
"If I had not every confidence in your nerve and courage I would not suggest it , but it is essential that you should do it . """	I had every confidence in your nerve and courage	contradiction	a: within scope.	not	True	True	nep	True	
