premise	hypothesis	label	case	cue	common_cue	lexical_overlap	method	negated_scope
I was well aware that you could not do this without thinking of the mission which he undertook on behalf of the North at the time of the Civil War , for I remember your expressing your passionate indignation at the way in which he was received by the more turbulent of our people .	I was well aware that you could do this without thinking of the mission which he undertook on behalf of the North at the time of the Civil War , for I remember your expressing your passionate indignation at the way in which he was received by the more turbulent of our people .	contradiction	b: cue-removed	not	True	True	nep	True
Incredible as it may appear to you , Mr. Holmes , he was honestly convinced that a dreadful fate overhung his family , and certainly the records which he was able to give of his ancestors were not encouraging .	it may appear to you	entailment	c: a S clause	not	True	True	nep	False
Holmes sank to his waist as he stepped from the path to seize it , and had we not been there to drag him out he could never have set his foot upon firm land again .	Holmes sank to his waist as he stepped from the path to seize it	entailment	c: a S clause	not	True	True	nep	False
The composer Arnold Schoenberg ( 1874-1951 ) wrote pieces which were atonal ( meaning that they did not sound as if they were in any clear musical key ) .	The composer Arnold Schoenberg 1874 1951 wrote pieces which were tonal meaning that they did not sound as if they were in any clear musical key .	contradiction	b: cue-removed	a-	False	True	nep	True
Many other cities have not grown in the same way .	Many other cities have grown in the same way .	contradiction	b: cue-removed	not	True	True	nep	True
It appears to be a warning signal to predators , since many firefly larvae contain chemicals that are distasteful or toxic .	many firefly larvae contain chemicals that are tasteful or toxic	contradiction	b: cue-removed	dis-	False	True	nep	True
Despite being semiaquatic and having webbed feet , an adult hippo is not a particularly good swimmer nor can it float .	an adult hippo is a particularly good swimmer can it float	contradiction	a: within scope.	not-nor	False	True	nep	True
"But we have to prove all this , and we are not in a position to do it . """	But we have to prove all this	entailment	c: a S clause	not	True	True	nep	False
""" On the face of it the case is not a very complex one , though it certainly presents some novel and interesting features ."	the case is a very complex one	contradiction	a: within scope.	not	True	True	nep	True
""" The marks were some twenty yards from the body and no one gave them a thought ."	one gave them a thought	contradiction	a: within scope.	no	True	True	nep	True
"But what I can not make head or tail of , Mr. Holmes , is how on earth YOU got yourself mixed up in the matter . """	I can make head or tail of	contradiction	a: within scope.	not	True	True	nep	True
"Good-bye , and I am very sorry that you should have been troubled over a case with which , as you say , you have nothing whatever to do . """	you have whatever to do	contradiction	a: within scope.	nothing	False	True	nep	True
He is not a man with intimate friends .	He is a man with intimate friends	contradiction	a: within scope.	not	True	True	nep	True
"The poor fellow has enough to fight against without my putting more upon his track . """	"The poor fellow has enough to fight against my putting more upon his track . """	contradiction	b: cue-removed	without	False	True	nep	True
This symbolizes the power of lust to blow one about aimlessly .	This symbolizes the power of lust to blow one about imlessly .	contradiction	b: cue-removed	a-	False	True	nep	True
Nor can it be denied that many of the family have been unhappy in their deaths , which have been sudden , bloody , and mysterious .	many of the family have been unhappy in their deaths , which have been sudden , bloody , and mysterious	contradiction	a: within scope.	nor	True	True	nep	True
He certainly seemed to be getting uncomfortably near the truth .	He certainly seemed to be getting comfortably near the truth .	contradiction	b: cue-removed	un-	False	True	nep	True
He never took hormones .	He took hormones	contradiction	a: within scope.	never	True	True	nep	True
But there was no sign within it of that desperate and defiant villain whom we expected to see .	But there was sign within it of that desperate and defiant villain whom we expected to see .	contradiction	b: cue-removed	no	True	True	nep	True
The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image .	The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can outrun this timeless image .	contradiction	b: cue-removed	never	True	True	nep	True
""" I suppose that you have no objection to my collaborating with you , Mr. Baynes ? """	"` ` I suppose that you have objection to my collaborating with you , Mr. Baynes ? """	contradiction	b: cue-removed	no	True	True	nep	True
It filled the whole air , and yet it was impossible to say whence it came .	it was possible to say whence it came	contradiction	a: within scope.	im-	False	True	nep	True
You are aware that I am not a very sound sleeper , and since I have been on guard in this house my slumbers have been lighter than ever .	since I have been on guard in this house my slumbers have been lighter than ever	entailment	c: a S clause	not	True	True	nep	False
Then I broke my blue ribbon and began to drink again , but I think I should not have done it if Mary had been the same as ever .	Mary had been the same as	contradiction	a: within scope.	not	True	True	nep	True
A computer never has several main parts .	A computer has several main parts	contradiction	a: within scope.	never	True	True	nep	True
He was allowed to marry Natalia after years of engagement during which the Russian Orthodox Church did not want them to be married .	them to be married	contradiction	a: within scope.	not	True	True	nep	True
"Dark clothesnothing you would note . """	you would note	contradiction	a: within scope.	nothing	False	True	nep	True
"I trust that Sir Henry is none the worse for his journey ? """	"I trust that Sir Henry is the worse for his journey ? """	contradiction	b: cue-removed	none	False	True	nep	True
""" Well , sir , it did not appear to be a matter which concerned the police , and yet , when you have heard the facts , you must admit that I could not leave it where it was ."	yet , when you have heard the facts , you must admit that I could leave it where it was	contradiction	b: cue-removed	not	True	True	nep	True
An irrational number can not be fully written down in decimal form .	An rational number can not be fully written down in decimal form .	contradiction	b: cue-removed	ir-	False	True	nep	True
All was sweet and mellow and peaceful in the golden evening light , and yet as I looked at them my soul shared none of the peace of Nature but quivered at the vagueness and the terror of that interview which every instant was bringing nearer .	yet as I looked at them my soul shared of the peace of Nature but quivered at the vagueness and the terror of that interview which every instant was bringing nearer	contradiction	b: cue-removed	none	False	True	nep	True
The various bedrooms and sitting-rooms had yielded nothing to a careful search .	The various bedrooms and sitting rooms had yielded to a careful search	entailment	c: a S clause	nothing	False	True	nep	False
The boy was nowhere to be seen .	The boy was to be seen	contradiction	a: within scope.	nowhere	False	True	nep	True
Not another sound broke the heavy silence of the windless night .	Not aher sound broke the heavy silence of the windless night .	contradiction	b: cue-removed	not	True	True	nep	True
It was suggested , but never proved , that the deceased gentleman may have had valuables in the house , and that their abstraction was the motive of the crime .	It was proved that the deceased gentleman may have had valuables in the house and that their abstraction was the motive of the crime	contradiction	a: within scope.	never	True	True	nep	True
That means that while they are , as we have seen , very anxious to watch him , they are equally anxious that he should not see them .	while they are , as we have seen , very anxious to watch him , they are equally anxious that he should see them	contradiction	b: cue-removed	not	True	True	nep	True
We brought him along to the cells , and his box as well , for we thought there might be something incriminating ; but , bar a big sharp knife such as most sailors have , we got nothing for our trouble .	most sailors have	entailment	c: a S clause	nothing	False	True	nep	False
There is Mr. Frankland , of Lafter Hall , who is also an unknown factor , and there are one or two other neighbours .	There is Mr. Frankland , of Lafter Hall , who is also an known factor , and there are one or two other neighbours .	contradiction	b: cue-removed	un-	False	True	nep	True
The fruit is never red .	The fruit is red	contradiction	a: within scope.	never	True	True	nep	True
""" I can not say that he ever did . """	I can say that he did	contradiction	a: within scope.	not	True	True	nep	True
No signs of violence were to be discovered upon Sir Charles 's person , and though the doctor 's evidence pointed to an almost incredible facial distortionso great that Dr. Mortimer refused at first to believe that it was indeed his friend and patient who lay before himit was explained that that is a symptom which is not unusual in cases of dyspnoea and death from cardiac exhaustion .	though the doctor 's evidence pointed to an almost incredible facial distortionso great that Dr. Mortimer refused at first to believe that it was indeed his friend and patient who lay before himit was explained that that is a symptom which is not unusual in cases of dyspnoea and death from cardiac exhaustion	entailment	c: a S clause	no	True	True	nep	False
I swear that another day shall not have passed before I have done all that man can do to reach the heart of the mystery .	I have done all that man can do to reach the heart of the mystery	contradiction	a: within scope.	not	True	True	nep	True
"If I had not sworn not to go about alone I might have had a more lively evening , for I had a message from Stapleton asking me over there . """	I had sworn to go about alone	contradiction	b: cue-removed	not	True	True	nep	True
They would be helpless in the hands of a desperate fellow like this Notting Hill criminal if he could once effect an entrance .	They would be help in the hands of a desperate fellow like this Notting Hill criminal	contradiction	a: within scope.	-less	False	True	nep	True
""" I assure you that I am simply here upon a visit to my friend , Sir Henry , and that I need no help of any kind . """	I need help of some kind	contradiction	a: within scope.	no	True	True	nep	True
""" But he would never cease talking of ityour kindness , sir , and the way in which you brought light into the darkness ."	you brought light into the darkness	contradiction	a: within scope.	never	True	True	nep	True
"He was on the South American line when that was taken , but he was so fond of her that he could not abide to leave her for so long , and he got into the Liverpool and London boats . """	he was so fond of her that he could abide to leave her for so long , and he got into the Liverpool and London boats	contradiction	b: cue-removed	not	True	True	nep	True
Being himself childless , it was his openly expressed desire that the whole countryside should , within his own lifetime , profit by his good fortune , and many will have personal reasons for bewailing his untimely end .	many will have personal reasons for bewailing his timely end	contradiction	b: cue-removed	un-	False	True	nep	True
"When you know me better you will understand that I can not always give reasons for what I say or do . """	I can always give reasons for what I say or do	contradiction	a: within scope.	not	True	True	nep	True
"No , my dear fellow ; we must reconcile ourselves to the fact that we have no case at present , and that it is worth our while to run any risk in order to establish one . """	"No , my dear fellow ; we must reconcile ourselves to the fact that we have case at present , and that it is worth our while to run any risk in order to establish one . """	contradiction	b: cue-removed	no	True	True	nep	True
How they murdered him I do not know , save that it was Murillo 's hand who struck him down , for Lopez had remained to guard me .	they murdered him	contradiction	a: within scope.	not	True	True	nep	True
It was unlikely that she would dare to say that she had not been to Baskerville Hall if she really had been , for a trap would be necessary to take her there , and could not have returned to Coombe Tracey until the early hours of the morning .	It was likely that she would dare to say that she had not been to Baskerville Hall if she really had been , for a trap would be necessary to take her there , and could not have returned to Coombe Tracey til the early hours of the morning .	contradiction	b: cue-removed	un-	False	True	nep	True
There is nothing so deceptive as the distance of a light upon a pitch-dark night , and sometimes the glimmer seemed to be far away upon the horizon and sometimes it might have been within a few yards of us .	sometimes it might have been within a few yards of us	entailment	c: a S clause	nothing	False	True	nep	False
Today , many people related to those slaves still live in America , though they are no longer slaves .	Today , many people related to those slaves still live in America , though they are no longer slaves .	contradiction	b: cue-removed	no-longer	False	True	nep	True
""" Our case is not complete ."	` ` Our case is complete .	contradiction	b: cue-removed	not	True	True	nep	True
Our drive pulled up at a house which was not unlike the one which we had just quitted .	Our drive pulled up at a house which was not like the one which we had just quitted .	contradiction	b: cue-removed	un-	False	True	nep	True
A list of the 50 most common words in English has no words longer than six letters , and more than half have no more than three letters .	A list of the 50 most common words in English has no words longer than six letters	entailment	c: a S clause	no	True	True	nep	False
We 'll teach these magnates that they can not ride roughshod over the rights of the commoners , confound them !	We 'll teach these magnates that they can ride roughshod over the rights of the commoners , confound them !	contradiction	b: cue-removed	not	True	True	nep	True
Anyhow , Neptune gives out more energy than it gets from the Sun , and the internal energy source of these winds remains undetermined .	Anyhow , Neptune gives out more energy than it gets from the Sun , and the internal energy source of these winds remains determined .	contradiction	b: cue-removed	un-	False	True	nep	True
""" Well , Mrs. Lucca , "" said the prosaic Gregson , laying his hand upon the lady 's sleeve with as little sentiment as if she were a Notting Hill hooligan , "" I am not very clear yet who you are or what you are ; but you 've said enough to make it very clear that we shall want you at the Yard . """	` I am very clear yet who you are or what you are	contradiction	b: cue-removed	not	True	True	nep	True
While Voldemort has these Horcruxes , nobody can kill him .	Voldemort has these Horcruxes	entailment	c: a S clause	nobody	False	True	nep	False
"But if you think that he has acted from motives which are not criminal , and which he would wish to have known , then you can not serve him better than by telling us the whole story . """	"But if you think that he has acted from motives which are criminal , and which he would wish to have known , then you can serve him better than by telling us the whole story . """	contradiction	b: cue-removed	not	True	True	nep	True
I call it luck , but it would not have come my way had I not been looking out for it .	it luck	entailment	c: a S clause	not	True	True	nep	False
None of the mocking was serious , though , and everyone usually had fun at the roasts .	everyone usually had fun at the roasts	entailment	c: a S clause	none	False	True	nep	False
My eyes have been trained to examine faces and not their trimmings .	My eyes have been trained to examine faces and their trimmings .	contradiction	b: cue-removed	not	True	True	nep	True
A button must still be pushed manually to trigger the shock , as the operator beforehand must be certain that nobody is touching the patient .	A button must still be pushed manually to trigger the shock , as the operator beforehand must be certain that is touching the patient .	contradiction	b: cue-removed	nobody	False	True	nep	True
Miss Burnet has not been seen by any human eye since the night of the murder .	Miss Burnet has been seen by some human eye since the night of the murder .	contradiction	b: cue-removed	not	True	True	nep	True
"Good-bye , and I am very sorry that you should have been troubled over a case with which , as you say , you have nothing whatever to do . """	you should have been troubled over a case with which , as you say , you have whatever to do	contradiction	b: cue-removed	nothing	False	True	nep	True
""" If matters came to a crisis I should endeavour to be present in person ; but you can understand that , with my extensive consulting practice and with the constant appeals which reach me from many quarters , it is impossible for me to be absent from London for an indefinite time ."	If matters came to a crisis I should endeavour to be present in person	entailment	c: a S clause	im-	False	True	nep	False
"I fear that unless you can give me some more definite information than this it would be impossible to get him to move . """	"I fear that unless you can give me some more definite information than this it would be possible to get him to move . """	contradiction	b: cue-removed	im-	False	True	nep	True
The federal government and many states fail to increase their gasoline taxes over time with inflation .	The federal government and many states to increase their gasoline taxes over time with inflation	contradiction	a: within scope.	fail	False	True	nep	True
""" Well , Mrs. Warren , I can not see that you have any particular cause for uneasiness , nor do I understand why I , whose time is of some value , should interfere in the matter ."	you have any particular cause for uneasiness	entailment	c: a S clause	nor	True	True	nep	False
I told her that since I had seen her I was in no hurry to leave it , and that if she really wanted me to go , the only way to work it was for her to arrange to go with me .	she really wanted me to go	entailment	c: a S clause	no	True	True	nep	False
There is no reason whatever to suspect foul play , or to imagine that death could be from any but natural causes .	There is reason whatever to suspect foul play , or to imagine that death could be from some but natural causes .	contradiction	b: cue-removed	no	True	True	nep	True
"If the law can do nothing we must take the risk ourselves . """	the law can do	contradiction	a: within scope.	nothing	False	True	nep	True
I will say nothing to add to his anxieties , but I will take my own steps to attain my own end .	I will take my own steps to attain my own end	entailment	c: a S clause	nothing	False	True	nep	False
There were other classical composers who wrote Mazurkas , but none of them are as good as those of Chopin .	There were other classical composers who wrote Mazurkas	entailment	c: a S clause	none	False	True	nep	False
I felt also in my heart that he was right in what he said and that it was really best for our purpose that I should not have known that he was upon the moor .	I should have known that he was upon the moor	contradiction	a: within scope.	not	True	True	nep	True
I have not heard him laugh often , and it has always boded ill to somebody .	it has always boded ill to somebody	entailment	c: a S clause	not	True	True	nep	False
I 'm never without one or the other before me .	I ' m never without one or the other before me .	entailment	c: a S clause	never	True	True	nep	False
His government was seen to be corrupt , and did nothing about an increasing rise in Arab nationalism which had brought Nasser to power in Egypt in 1952 .	His government did about an increasing rise in Arab nationalism which had brought Nasser to power in Egypt in 1952	contradiction	a: within scope.	nothing	False	True	nep	True
""" There are a few gipsies and labouring folk for whom I can not answer , but among the farmers or gentry there is no one whose initials are those ."	` There are a few gipsies and labouring folk for whom I can not answer	entailment	c: a S clause	no	True	True	nep	False
She would not have said ` Godspeed ' had it not been so .	She would have said ` Godspeed ' had it been so .	contradiction	b: cue-removed	not	True	True	nep	True
"I have not had such a day since I had Sir John Morland for trespass because he shot in his own warren . """	he shot in his own warren	contradiction	a: within scope.	not	True	True	nep	True
But the morning paper was uninteresting .	the morning paper was interesting	contradiction	a: within scope.	un-	False	True	nep	True
It seemed hopeless to pursue the inquiry any farther , but it was clear that in spite of Holmes 's ruse we had no proof that Barrymore had not been in London all the time .	it was clear that in spite of Holmes 's ruse we had proof that Barrymore had t been in London all the time	contradiction	b: cue-removed	no	True	True	nep	True
"Each person who wants to use asymmetric cryptography uses a secret key number , and a different number , a "" public key "" that they can tell everyone ."	they can tell everyone	entailment	c: a S clause	a-	False	True	nep	False
There is our friend Dr. Mortimer , whom I believe to be entirely honest , and there is his wife , of whom we know nothing .	we know	contradiction	a: within scope.	nothing	False	True	nep	True
If you have not had any report within the last few days it is because up to today there was nothing of importance to relate .	up to today there was of importance to relate	contradiction	b: cue-removed	nothing	False	True	nep	True
Had the prosaic finding of the coroner not finally put an end to the romantic stories which have been whispered in connection with the affair , it might have been difficult to find a tenant for Baskerville Hall .	Had the prosaic finding of the coroner finally put an end to the romantic stories which have been whispered in connection with the affair , it might have been difficult to find a tenant for Baskerville Hall .	contradiction	b: cue-removed	not	True	True	nep	True
""" They were tan boots and had never been varnished ."	` ` They were tan boots and had been varnished .	contradiction	b: cue-removed	never	True	True	nep	True
He could hide his hound , but he could not hush its voice , and hence came those cries which even in daylight were not pleasant to hear .	even in daylight were not pleasant to hear	entailment	c: a S clause	not	True	True	nep	False
Rain and storms are not both in this level .	Rain and storms are both in this level .	contradiction	b: cue-removed	not	True	True	nep	True
""" If I did not know you were a good man , Walters , I should put a black mark against you for this ."	you were a good man	contradiction	a: within scope.	not	True	True	nep	True
I think , Watson , a brandy and soda would do him no harm .	I think , Watson , a brandy and soda would do him harm .	contradiction	b: cue-removed	no	True	True	nep	True
This is not bad for people 's health .	This is bad for people 's health	contradiction	a: within scope.	not	True	True	nep	True
""" There are a few gipsies and labouring folk for whom I can not answer , but among the farmers or gentry there is no one whose initials are those ."	I can answer	contradiction	a: within scope.	not	True	True	nep	True
Everything was working in my favour , and I swore that it should not be through lack of energy or perseverance that I should miss the chance which fortune had thrown in my way .	Everything was working in my favour , and I swore that it should be through lack of energy or perseverance that I should miss the chance which fortune had thrown in my way .	contradiction	b: cue-removed	not	True	True	nep	True
It was a relief to me , after that unnatural restraint , when we at last passed Frankland 's house and knew that we were drawing near to the Hall and to the scene of action .	we at last passed Frankland 's house and knew that we were drawing near to the Hall and to the scene of action	entailment	c: a S clause	un-	False	True	nep	False
He would withdraw all opposition upon his part if I would promise for three months to let the matter rest and to be content with cultivating the lady 's friendship during that time without claiming her love .	He would withdraw all opposition upon his part if I would promise for three months to let the matter rest and to be content with cultivating the lady 's friendship during that time claiming her love .	contradiction	b: cue-removed	without	False	True	nep	True
I can not shut my eyes but I see those two faces staring at mestaring at me as they stared when my boat broke through the haze .	my boat broke through the haze	entailment	c: a S clause	not	True	True	nep	False
"But now you have heard it , and you will see that if there was a plot it was not against you . """	there was a plot	entailment	c: a S clause	not	True	True	nep	False
If he would confine his energies to this all would be well , but there are rumours that he intends to prosecute Dr. Mortimer for opening a grave without the consent of the next of kin because he dug up the Neolithic skull in the barrow on Long Down .	If he would confine his energies to this all would be well , but there are rumours that he intends to prosecute Dr. Mortimer for opening a grave the consent of the next of kin because he dug up the Neolithic skull in the barrow on Long Down .	contradiction	b: cue-removed	without	False	True	nep	True
Adults whose primary sexual attraction is for mid-to-late teens are properly called ephebophiles , but ephebophilia is not considered abnormal by mental health professionals .	Adults whose primary sexual attraction is for mid to late teens are properly called ephebophiles	entailment	c: a S clause	not	True	True	nep	False
Nowhere was there any trace of that lonely man whom I had seen on the same spot two nights before .	I had seen on the same spot two nights before	contradiction	a: within scope.	nowhere	False	True	nep	True
But it was not the sight of her body , nor yet was it that of the body of Hugo Baskerville lying near her , which raised the hair upon the heads of these three dare-devil roysterers , but it was that , standing over Hugo , and plucking at his throat , there stood a foul thing , a great , black beast , shaped like a hound , yet larger than any hound that ever mortal eye has rested upon .	ever mortal eye has rested upon	entailment	c: a S clause	not	True	True	nep	False
No one helped him with the harvest , no one worked in his stables or his house .	No one helped him with the harvest , one worked in his stables or his house .	contradiction	b: cue-removed	no	True	True	nep	True
That seemed to make the matter no better , so then I lost my temper too , and I answered him rather more hotly than I should perhaps , considering that she was standing by .	she was standing by	entailment	c: a S clause	no	True	True	nep	False
Henderson never by any chance walks alone .	Henderson by some chance walks alone .	contradiction	b: cue-removed	never	True	True	nep	True
He jumped up when he heard my business , and I had my whistle to my lips to call a couple of river police , who were round the corner , but he seemed to have no heart in him , and he held out his hands quietly enough for the darbies .	he heard my business	entailment	c: a S clause	no	True	True	nep	False
""" The surprise was not all on one side , I assure you ."	` The surprise was all on one side	contradiction	b: cue-removed	not	True	True	nep	True
""" ` The true voodoo-worshipper attempts nothing of importance without certain sacrifices which are intended to propitiate his unclean gods ."	` ` ` The true voodoo worshipper attempts nothing of importance certain sacrifices which are intended to propitiate his unclean gods .	contradiction	b: cue-removed	without	False	True	nep	True
But a Times leader is entirely distinctive , and these words could have been taken from nothing else .	these words could have been taken from else	contradiction	a: within scope.	nothing	False	True	nep	True
""" Sarah , "" says I as I went in , "" this man Fairbairn is never to darken my door again . """	I went in	entailment	c: a S clause	never	True	True	nep	False
"Keep your revolver near you night and day , and never relax your precautions . """	"Keep your revolver near you night and day , and relax your precautions . """	contradiction	b: cue-removed	never	True	True	nep	True
I can assure you that every word I have said is the truth , and that , outside of what I have told you , I know absolutely nothing about the fate of this man .	I can assure you that every word I have said is the truth , and that , outside of what I have told you , I know absolutely about the fate of this man .	contradiction	b: cue-removed	nothing	False	True	nep	True
Stapleton was guarded in his replies , but it was easy to see that he said less than he might , and that he would not express his whole opinion out of consideration for the feelings of the baronet .	he might	entailment	c: a S clause	not	True	True	nep	False
"Has it never struck you that the way to catch that man was to find out where he got his food and so trace it to him ? """	he got his food	contradiction	a: within scope.	never	True	True	nep	True
"I 've not heard of him since I left out food for him last , and that was three days ago . """	I left out food for him last	contradiction	a: within scope.	not	True	True	nep	True
"I 've heard it once or twice before , but never quite so loud . """	"I ' ve heard it once or twice before , but never quite so loud . """	entailment	c: a S clause	never	True	True	nep	False
It may have been that Barrymore had some private signal which we had neglected to give , or the fellow may have had some other reason for thinking that all was not well , but I could read his fears upon his wicked face .	It may have been that Barrymore had some private signal which we had to give , or the fellow may have had some other reason for thinking that all was not well , but I could read his fears upon his wicked face .	contradiction	b: cue-removed	neglected	False	True	nep	True
""" But that is perfectly impossible , Mr. Baynes , "" cried our client ."	that is perfectly possible	contradiction	a: within scope.	im-	False	True	nep	True
""" There was certainly no boot in it then . """	There was boot in it then	contradiction	a: within scope.	no	True	True	nep	True
General relativity provides of a set of ten nonlinear partial differential equations for the spacetime metric ( Einstein 's field equations ) that must be solved from the distribution of mass-energy and momentum throughout the Universe .	General relativity provides of a set of ten linear partial differential equations for the spacetime metric Einstein 's field equations that must be solved from the distribution of mass energy and momentum throughout the Universe .	contradiction	b: cue-removed	non-	False	True	nep	True
But it was not the sight of her body , nor yet was it that of the body of Hugo Baskerville lying near her , which raised the hair upon the heads of these three dare-devil roysterers , but it was that , standing over Hugo , and plucking at his throat , there stood a foul thing , a great , black beast , shaped like a hound , yet larger than any hound that ever mortal eye has rested upon .	it was not the sight of her body	entailment	c: a S clause	not	True	True	nep	False
We had arranged no plan of campaign , but the baronet is a man to whom the most direct way is always the most natural .	the baronet is a man to whom the most direct way is always the most natural	entailment	c: a S clause	no	True	True	nep	False
"Why , bless you , Mrs. Warren , if I were your lodger you often would not see me for weeks on end . """	if I were your lodger you often would see me for weeks on end	contradiction	a: within scope.	not	True	True	nep	True
""" How you got on to it I can not imagine . """	"` ` How you got on to it I can imagine . """	contradiction	b: cue-removed	not	True	True	nep	True
Not one word of truth has he ever told me .	one word of truth has he told me	contradiction	a: within scope.	not	True	True	nep	True
Not another sound broke the heavy silence of the windless night .	another sound broke the heavy silence of the windless night	contradiction	a: within scope.	not	True	True	nep	True
I have not heard him laugh often , and it has always boded ill to somebody .	him laugh often	contradiction	a: within scope.	not	True	True	nep	True
How often she went I do not know , but I followed her one day , and as I broke in at the door Fairbairn got away over the back garden wall , like the cowardly skunk that he was .	she went I do not know	entailment	c: a S clause	not	True	True	nep	False
"It is intolerable . """	"It is tolerable . """	contradiction	b: cue-removed	in-	False	True	nep	True
It is not to be wondered at , for time hangs heavily in this lonely spot to an active man like him , and she is a very fascinating and beautiful woman .	It is to be wondered at , for time hangs heavily in this lonely spot to an active man like him , and she is a very fascinating and beautiful woman .	contradiction	b: cue-removed	not	True	True	nep	True
""" Mrs. Lyons , "" said I as I rose from this long and inconclusive interview , "" you are taking a very great responsibility and putting yourself in a very false position by not making an absolutely clean breast of all that you know ."	you are taking a very great responsibility and putting yourself in a very false position by not making an absolutely clean breast of all that you know	entailment	c: a S clause	in-	False	True	nep	False
Now is the dramatic moment of fate , Watson , when you hear a step upon the stair which is walking into your life , and you know not whether for good or ill .	you hear a step upon the stair which is walking into your life	entailment	c: a S clause	not	True	True	nep	False
You felt so strongly about it that I knew you could not think of Beecher without thinking of that also .	you could think of Beecher without thinking of that also	contradiction	a: within scope.	not	True	True	nep	True
Ginger beer is a non-alcoholic soft drink that is also flavored with ginger root .	Ginger beer is aalcoholic soft drink that is also flavored with ginger root .	contradiction	b: cue-removed	non-	False	True	nep	True
I do not care a plug which you do .	you do	contradiction	a: within scope.	not	True	True	nep	True
Many philosophers have said that people in the world go back and forth between times of happiness and sadness , but there is nobody who is always happy or always sad .	Many philosophers have said that people in the world go back and forth between times of happiness and sadness	entailment	c: a S clause	nobody	False	True	nep	False
""" I hope , "" said Dr. Mortimer , "" that you do not look with suspicious eyes upon everyone who received a legacy from Sir Charles , for I also had a thousand pounds left to me . """	"` ` I hope , "" said Dr. Mortimer , ` ` that you do look with suspicious eyes upon everyone who received a legacy from Sir Charles , for I also had a thousand pounds left to me . """	contradiction	b: cue-removed	not	True	True	nep	True
""" ` I tell you , and I give you my word for it , that from that moment I was not my own master , and it is all like a dim dream when I look back on it ."	I was not my own master	entailment	c: a S clause	not	True	True	nep	False
He said that there were no traces upon the ground round the body .	there were traces upon the ground round the body	contradiction	a: within scope.	no	True	True	nep	True
I swear that another day shall not have passed before I have done all that man can do to reach the heart of the mystery .	another day shall have passed before I have done all that man can do to reach the heart of the mystery	contradiction	a: within scope.	not	True	True	nep	True
""" Well , sir , I thought no more of the matter , and never would have done had it not been for my wife ."	` ` Well , sir , I thought no more of the matter , and never would have done had it been for my wife .	contradiction	b: cue-removed	not	True	True	nep	True
The attack upon Mr. Warren further shows that the enemy , whoever they are , are themselves not aware of the substitution of the female lodger for the male .	The attack upon Mr. Warren further shows that the enemy , whoever they are , are themselves aware of the substitution of the female lodger for the male .	contradiction	b: cue-removed	not	True	True	nep	True
None of the mocking was serious , though , and everyone usually had fun at the roasts .	of the mocking was serious	contradiction	a: within scope.	none	False	True	nep	True
River Plate was incorrectly translated though , and should have been translated to English as River of ( the ) Silver .	River Plate was correctly translated though , and should have been translated to English as River of the Silver .	contradiction	b: cue-removed	in-	False	True	nep	True
