sent_1	sent_2	method	lexical_overlap	negated_scope
Because the four color theorem is true , this is always possible	Because the four color theorem is true , this is always possible ; however , because the person drawing the map is focused on the one large region , they fail to notice that the remaining regions can in fact be colored with three colors .	swapped	False	False
The next night we lowered the lamp and sat smoking cigarettes making the least sound .	The next night we lowered the lamp and sat smoking cigarettes without making the least sound .	swapped	False	False
finally I carefully examined the body , which had not been touched until my arrival	I followed the footsteps down the yew alley , I saw the spot at the moor-gate where he seemed to have waited , I remarked the change in the shape of the prints after that point , I noted that there were no other footsteps save those of Barrymore on the soft gravel , and finally I carefully examined the body , which had not been touched until my arrival .	swapped	False	False
nothing has been heard of him	A fortnight has passed since his flight , during which he has not been seen and nothing has been heard of him .	swapped	False	False
it will be long before the missing boot is found	""" I confess that I share Dr. Mortimer 's belief that it will not be long before the missing boot is found . """	swapped	False	False
On the other hand , if I should find the hut and its tenant should be within it I must remain there , however long the vigil , until he returned .	On the other hand , if I should find the hut and its tenant should not be within it I must remain there , however long the vigil , until he returned .	swapped	False	False
The worst of it is that I only bought the pair last night in the Strand	"The worst of it is that I only bought the pair last night in the Strand , and I have never had them on . """	swapped	False	False
The composer Arnold Schoenberg 1874 1951 wrote pieces which were tonal meaning that they did not sound as if they were in any clear musical key .	The composer Arnold Schoenberg ( 1874-1951 ) wrote pieces which were atonal ( meaning that they did not sound as if they were in any clear musical key ) .	swapped	False	False
she is deceived	""" And when she is undeceived ? """	swapped	False	False
You wo put me alone into a cell	You wo not put me alone into a cell , sir ?	swapped	False	False
there is supernatural about this , at any rate	"You must allow that there is nothing supernatural about this , at any rate ? """	swapped	False	False
you know whether for good or ill	Now is the dramatic moment of fate , Watson , when you hear a step upon the stair which is walking into your life , and you know not whether for good or ill .	swapped	False	False
Some types of pornography to be respectful to the people taking part , or to the people who watch or read it	Some types of pornography are believed to be harmful or disrespectful to the people taking part , or to the people who watch or read it .	swapped	False	False
"` ` Well , Mr. Gregson , "" said the American , looking across at the official , ` ` I do know what your British point of view may be , but I guess that in New York this lady 's husband will receive a pretty general vote of thanks . """	""" Well , Mr. Gregson , "" said the American , looking across at the official , "" I do not know what your British point of view may be , but I guess that in New York this lady 's husband will receive a pretty general vote of thanks . """	swapped	False	False
Henderson , as he calls himself , felt that he was suspected , and that he would lie low and make move so long as he thought he was in some danger	""" I was sure Henderson , as he calls himself , felt that he was suspected , and that he would lie low and make no move so long as he thought he was in any danger ."	swapped	False	False
Holmes sank to his waist as he stepped from the path to seize it , and had we been there to drag him out he could never have set his foot upon firm land again .	Holmes sank to his waist as he stepped from the path to seize it , and had we not been there to drag him out he could never have set his foot upon firm land again .	swapped	False	False
I hurt man or woman in my life that I know of .	I never hurt man or woman in my life that I know of .	swapped	False	False
If you have not had any report within the last few days it is because up to today there was of importance to relate .	If you have not had any report within the last few days it is because up to today there was nothing of importance to relate .	swapped	False	False
Do ask me for particulars .	Do not ask me for particulars .	swapped	False	False
He has been there for ten days , and neither Mr. Warren , nor I , nor the girl has once set eyes upon him .	He has been there for ten days , and neither Mr. Warren , nor I , nor the girl has once set eyes upon him .	swapped	False	False
Prehistoric man lived thickly on the moor	Prehistoric man lived thickly on the moor , and as no one in particular has lived there since , we find all his little arrangements exactly as he left them .	swapped	False	False
There is something natural about this strange and sudden friendship between the young Spaniard and Scott Eccles	There is , on the face of it , something unnatural about this strange and sudden friendship between the young Spaniard and Scott Eccles .	swapped	False	False
it was really more than twelve	By some juggling of the clocks it is quite possible that they may have got Scott Eccles to bed earlier than he thought , but in any case it is likely that when Garcia went out of his way to tell him that it was one it was really not more than twelve .	swapped	False	False
Not aher sound broke the heavy silence of the windless night .	Not another sound broke the heavy silence of the windless night .	swapped	False	False
I had spoken knowing all the facts	I meekly answered that I had spoken without knowing all the facts .	swapped	False	False
Again , there was direct connection between the hound and the man 's death .	Again , there was no direct connection between the hound and the man 's death .	swapped	False	False
you could do this without thinking of the mission which he undertook on behalf of the North at the time of the Civil War	I was well aware that you could not do this without thinking of the mission which he undertook on behalf of the North at the time of the Civil War , for I remember your expressing your passionate indignation at the way in which he was received by the more turbulent of our people .	swapped	False	False
I had an opportunity of seeing something of the stranger	I shrank back into the darkest corner and cocked the pistol in my pocket , determined not to discover myself until I had an opportunity of seeing something of the stranger .	swapped	False	False
Most tornadoes have wind speeds less than 110 miles per hour , are about 250 feet 80 m across and travel , a few , miles . Other tornado like phenomena that exist in nature include the gustnado , dust devil , fire whirls , and steam devil ; downbursts are frequently confused with tornadoes , though their action is similar .	Most tornadoes have wind speeds less than 110 miles per hour , are about 250 feet ( 80m ) across and travel , a few , miles.Other tornado-like phenomena that exist in nature include the gustnado , dust devil , fire whirls , and steam devil ; downbursts are frequently confused with tornadoes , though their action is dissimilar .	swapped	False	False
I do pretend to know much about these things	""" I do not pretend to know much about these things , and I 'd be a better judge of a horse or a steer than of a picture ."	swapped	False	False
No sign could we see of the man whom we were chasing .	No sign could we see of the man whom we were chasing .	swapped	False	False
I thought of the pony on the Grimpen Mire , and I do fancy that he will see his little dog again	I gave him such consolation as I might , but I thought of the pony on the Grimpen Mire , and I do not fancy that he will see his little dog again .	swapped	False	False
they were some unwarlike and harried race who were forced to accept that which none other would occupy	I am no antiquarian , but I could imagine that they were some unwarlike and harried race who were forced to accept that which none other would occupy .	swapped	False	False
Applications that depend on libraries installed by IE will to function , or have unexpected behaviors .	Applications that depend on libraries installed by IE will fail to function , or have unexpected behaviors .	swapped	False	False
We stood with bitter hearts on either side of the mangled body , overwhelmed by this sudden and revocable disaster which had brought all our long and weary labours to so piteous an end .	We stood with bitter hearts on either side of the mangled body , overwhelmed by this sudden and irrevocable disaster which had brought all our long and weary labours to so piteous an end .	swapped	False	False
And yet , if it were for the loss of the charming companionship of the boys , I could rejoice over my own misfortune , for , with my strong tastes for botany and zoology , I find an unlimited field of work here , and my sister is as devoted to Nature as I am .	And yet , if it were not for the loss of the charming companionship of the boys , I could rejoice over my own misfortune , for , with my strong tastes for botany and zoology , I find an unlimited field of work here , and my sister is as devoted to Nature as I am .	swapped	False	False
the fiery temper of the Baskervilles was extinct in this their last representative	It was evident that the fiery temper of the Baskervilles was not extinct in this their last representative .	swapped	False	False
Sir Henry 's falling in love could do harm to anyone except Sir Henry	""" Sir Henry 's falling in love could do no harm to anyone except Sir Henry ."	swapped	False	False
He jumped up when he heard my business	He jumped up when he heard my business , and I had my whistle to my lips to call a couple of river police , who were round the corner , but he seemed to have no heart in him , and he held out his hands quietly enough for the darbies .	swapped	False	False
"I should be surprised if this were an answer to my question . """	"I should not be surprised if this were an answer to my question . """	swapped	False	False
"Ah , well , I do suppose you will forget your first visit . """	"Ah , well , I do not suppose you will forget your first visit . """	swapped	False	False
The petition received thousands of signatures .	The petition never received thousands of signatures .	swapped	False	False
I could see which could account for my companion 's evident excitement	I stared hard myself at her flat , grizzled hair , her trim cap , her little gilt earrings , her placid features ; but I could see nothing which could account for my companion 's evident excitement .	swapped	False	False
"The Hall and the moor are very pleasant places when one is alone . """	"The Hall and the moor are not very pleasant places when one is alone . """	swapped	False	False
she would not have let me talk about it either if she could have stopped it	She was glad to meet me , but when she did it was not love that she would talk about , and she would not have let me talk about it either if she could have stopped it .	swapped	False	False
He is a married man	"He is not a married man . """	swapped	False	False
It is credible , impossible , that it should really be outside the ordinary laws of nature .	It is incredible , impossible , that it should really be outside the ordinary laws of nature .	swapped	False	False
"I had idea that you had found my occasional retreat , still less that you were inside it , until I was within twenty paces of the door . """	"I had no idea that you had found my occasional retreat , still less that you were inside it , until I was within twenty paces of the door . """	swapped	False	False
you read the reports of the death in the paper	"And then you heard nothing until you read the reports of the death in the paper ? """	swapped	False	False
I have already given my reasons for not wishing to do so	""" I could not call you in , Mr. Holmes , without disclosing these facts to the world , and I have already given my reasons for not wishing to do so ."	swapped	False	False
He had followed me himself , but he had set an agentthe boy , perhapsupon my track , and this was his report .	He had not followed me himself , but he had set an agentthe boy , perhapsupon my track , and this was his report .	swapped	False	False
I was to say about him to anyone	""" The truth is that the gentleman told me that he was a detective and that I was to say nothing about him to anyone . """	swapped	False	False
You do mind my driving straight home	""" You do not mind my driving straight home , Sir Henry ? "" said Dr. Mortimer ."	swapped	False	False
her to speak	There was no need for her to speak , nor for me either .	swapped	False	False
the whole countryside should , within his own lifetime , profit by his good fortune	Being himself childless , it was his openly expressed desire that the whole countryside should , within his own lifetime , profit by his good fortune , and many will have personal reasons for bewailing his untimely end .	swapped	False	False
Those organs are are now functional	Those organs are functional in the ancestral species but are now either nonfunctional or re-adapted to a new function .	swapped	False	False
there is fiend in hell like Juan Murillo	"To us there is no fiend in hell like Juan Murillo , and no peace in life while his victims still cry for vengeance . """	swapped	False	False
There was mark on some of them	"There was no mark on any of them , as far as I know . """	swapped	False	False
Today , for example , its surface was broken by a very expected ripple , which has caused our friend considerable perplexity and annoyance .	Today , for example , its surface was broken by a very unexpected ripple , which has caused our friend considerable perplexity and annoyance .	swapped	False	False
I learned how matters stood	I 've had no time , for it was only yesterday that I learned how matters stood .	swapped	False	False
"You tell me in the same breath that it is use to investigate Sir Charles 's death , and that you desire me to do it . """	"You tell me in the same breath that it is useless to investigate Sir Charles 's death , and that you desire me to do it . """	swapped	False	False
I can answer	""" There are a few gipsies and labouring folk for whom I can not answer , but among the farmers or gentry there is no one whose initials are those ."	swapped	False	False
Some breads are fried	Some breads are never fried .	swapped	False	False
"` ` I have heard of some . """	""" I have not heard of any . """	swapped	False	False
with you there is no reason why I should not be perfectly frank	For both these reasons I thought that I was justified in telling rather less than I knew , since no practical good could result from it , but with you there is no reason why I should not be perfectly frank .	swapped	False	False
he calls himself	""" I was sure Henderson , as he calls himself , felt that he was suspected , and that he would lie low and make no move so long as he thought he was in any danger ."	swapped	False	False
I wrote the letter	"One thing I swear to you , and that is that when I wrote the letter I never dreamed of any harm to the old gentleman , who had been my kindest friend . """	swapped	False	False
From the first moment that he saw her he appeared to be strongly attracted by her	From the first moment that he saw her he appeared to be strongly attracted by her , and I am much mistaken if the feeling was not mutual .	swapped	False	False
they are made of	"Small solar system body A small solar system body ( SSSB ) is a term defined in 2006 by the International Astronomical Union to describe solar system objects which are neither planets , nor dwarf planets : Therefore it refers to these objects that can be further grouped based on their orbit or what they are made of : Some of the larger "" small solar system bodies "" may be reclassified in future as dwarf planets , pending further examination to determine whether or not they are in hydrostatic equilibrium ( nearly-round shape ) ."	swapped	False	False
Holmes caught up the lamp and left corner of the house unexplored	There was no light save in the dining-room , but Holmes caught up the lamp and left no corner of the house unexplored .	swapped	False	False
the snow in an area does all melt in summer	A glacier forms because the snow in an area does not all melt in summer .	swapped	False	False
The country does have fifty smaller parts called provinces	The country does not have fifty smaller parts called provinces .	swapped	False	False
I was not my own master	""" ` I tell you , and I give you my word for it , that from that moment I was not my own master , and it is all like a dim dream when I look back on it ."	swapped	False	False
Because it is not considered to belong to some country at the moment , the city has embassies	Because it is not considered to belong to any country at the moment , the city has no embassies .	swapped	False	False
I found myself weary and yet wakeful , tossing restlessly from side to side , seeking for the sleep which would come .	I found myself weary and yet wakeful , tossing restlessly from side to side , seeking for the sleep which would not come .	swapped	False	False
I to see how you could have done more	""" I fail to see how you could have done more . """	swapped	False	False
` I know , sir , I know	""" I know , sir , I know ; but it shook me , sir , and there 's no use to deny it ."	swapped	False	False
Most fish live in the water .	Most fish never live in the water .	swapped	False	False
"He has done except for my sake and because I asked him . """	"He has done nothing except for my sake and because I asked him . """	swapped	False	False
I have got a little care in my ways out West	You see , if I am to be squire down there I must dress the part , and it may be that I have got a little careless in my ways out West .	swapped	False	False
I fancy the yew alley , though marked under that name , must stretch along this line , with the moor , as you perceive , upon the right of it .	I fancy the yew alley , though not marked under that name , must stretch along this line , with the moor , as you perceive , upon the right of it .	swapped	False	False
"What I did foresee is that we should find a woman , and no ordinary woman , Watson . """	"What I did not foresee is that we should find a woman , and no ordinary woman , Watson . """	swapped	False	False
"` ` I can imagine . """	""" I can not imagine . """	swapped	False	False
"Plato opposed the rhetorics of sophism and insisted true justice and equality in his work ` ` Gorgias "" and mortality of soul in ` ` Phaedo "" ."	"Plato opposed the rhetorics of sophism and insisted true justice and equality in his work "" Gorgias "" and immortality of soul in "" Phaedo "" ."	swapped	False	False
We saw the hound	We never saw the hound .	swapped	False	False
` Every day my heart longs' Bleat , Watsonmitigated bleat !	` Every day my heart longs' Bleat , Watsonunmitigated bleat !	swapped	False	False
Sherlock Holmes was disappointed in his expectations .	Sherlock Holmes was not disappointed in his expectations .	swapped	False	False
became more angry as the other refused to accept them	What the scene meant I could not imagine , but it seemed to me that Stapleton was abusing Sir Henry , who offered explanations , which became more angry as the other refused to accept them .	swapped	False	False
there is written history	Archaeologists study every civilization that is known , especially the ones where there is no written history .	swapped	False	False
my putting more upon his track	"The poor fellow has enough to fight against without my putting more upon his track . """	swapped	False	False
A berry might contain one seed or many	A berry might not contain one seed or many .	swapped	False	False
a cab passed me	The thought was in my head as I turned into my own street , and at that moment a cab passed me , and there she was , sitting by the side of Fairbairn , the two chatting and laughing , with never a thought for me as I stood watching them from the footpath .	swapped	False	False
you sent me down	Congratulate me , my dear Holmes , and tell me that I have not disappointed you as an agentthat you do not regret the confidence which you showed in me when you sent me down .	swapped	False	False
every word I have said is the truth	I can assure you that every word I have said is the truth , and that , outside of what I have told you , I know absolutely nothing about the fate of this man .	swapped	False	False
"` ` Oh ! "" says she , ` ` if my friends are good enough for this house , then I am good enough for it . """	""" Oh ! "" says she , "" if my friends are not good enough for this house , then I am not good enough for it either . """	swapped	False	False
We have proof that the person who came back was the person who went out .	We have no proof that the person who came back was the person who went out .	swapped	False	False
Adults whose primary sexual attraction is for mid to late teens are properly called ephebophiles , but ephebophilia is considered abnormal by mental health professionals .	Adults whose primary sexual attraction is for mid-to-late teens are properly called ephebophiles , but ephebophilia is not considered abnormal by mental health professionals .	swapped	False	False
Many philosophers have said that people in the world go back and forth between times of happiness and sadness	Many philosophers have said that people in the world go back and forth between times of happiness and sadness , but there is nobody who is always happy or always sad .	swapped	False	False
when he saw with his own eyes that it was really so , and that she might be taken away from him , it gave him such a shock that for a time he was not responsible for what he said or did	He had not understood , he said , that I was becoming attached to her , but when he saw with his own eyes that it was really so , and that she might be taken away from him , it gave him such a shock that for a time he was not responsible for what he said or did .	swapped	False	False
` I can t forget the look in his eyes when he ran at me this morning , but I must allow that man could make a more handsome apology than he has done	""" I do not say now that he is not a crazy man , "" said Sir Henry ; "" I can not forget the look in his eyes when he ran at me this morning , but I must allow that no man could make a more handsome apology than he has done . """	swapped	False	False
I did positively say so	""" I did not positively say so . """	swapped	False	False
it would be possible to get him to move	"I fear that unless you can give me some more definite information than this it would be impossible to get him to move . """	swapped	False	False
I have now met all the neighbours	He is no one whom I have seen down here , and I have now met all the neighbours .	swapped	False	False
` ` I can t forget the look in his eyes when he ran at me this morning , but I must allow that man could make a more handsome apology than he has done	""" I do not say now that he is not a crazy man , "" said Sir Henry ; "" I can not forget the look in his eyes when he ran at me this morning , but I must allow that no man could make a more handsome apology than he has done . """	swapped	False	False
Humans have a problem with maths	Humans never have a problem with maths .	swapped	False	False
I ' m without one or the other before me	I 'm never without one or the other before me .	swapped	False	False
as one in particular has lived there since , we find all his little arrangements exactly as he left them	Prehistoric man lived thickly on the moor , and as no one in particular has lived there since , we find all his little arrangements exactly as he left them .	swapped	False	False
"I waited quite a time , but there was more of it , so I concluded that it was all a dream . """	"I waited quite a time , but there was no more of it , so I concluded that it was all a dream . """	swapped	False	False
It does have a solid shape	It does not have a solid shape .	swapped	False	False
` ` They were tan boots and had been varnished .	""" They were tan boots and had never been varnished ."	swapped	False	False
there was movement	Over the wide expanse there was no sound and no movement .	swapped	False	False
I have doubt	"I have no doubt"""	swapped	False	False
I was convinced at the time that the matter was entirely trivial and that his excitement had justification	I mention this small episode because it assumes some importance in view of the tragedy which followed , but I was convinced at the time that the matter was entirely trivial and that his excitement had no justification .	swapped	False	False
we have notion of his errand	Since we have been so unfortunate as to miss him and have no notion of his errand , this accidental souvenir becomes of importance .	swapped	False	False
it was forced from you	""" If you had told us of your own free will it would have been a different thing , "" said the baronet , "" you only told us , or rather your wife only told us , when it was forced from you and you could not help yourself . """	swapped	False	False
urged him to take some chances	Partly also from his professional caution , which urged him never to take any chances .	swapped	False	False
the police to lay their hands on him	""" I may not know exactly where he is , but I am quite sure that I could help the police to lay their hands on him ."	swapped	False	False
I , who knew him so well , could read in his face some emotion which I had never seen there before	Gennaro said nothing , but I , who knew him so well , could read in his face some emotion which I had never seen there before .	swapped	False	False
If a man ejaculates an usually small amount of semen , this is a medical condition called hypospermia .	If a man ejaculates an unusually small amount of semen , this is a medical condition called hypospermia .	swapped	False	False
"` ` He can escape us , madam . """	""" He can not escape us , madam . """	swapped	False	False
the gloomy presence of the taciturn servant did not help to enliven us	The dinner itself was neither well served nor well cooked , and the gloomy presence of the taciturn servant did not help to enliven us .	swapped	False	False
They surged effort past the palace guards and thundered into the queen 's bedroom mere minutes after she fled .	They surged effortlessly past the palace guards and thundered into the queen 's bedroom mere minutes after she fled .	swapped	False	False
In that impassive colour man , with his straw hat and his butterfly net , I seemed to see something terriblea creature of infinite patience and craft , with a smiling face and a murderous heart .	In that impassive colourless man , with his straw hat and his butterfly-net , I seemed to see something terriblea creature of infinite patience and craft , with a smiling face and a murderous heart .	swapped	False	False
I had never seen there before	Gennaro said nothing , but I , who knew him so well , could read in his face some emotion which I had never seen there before .	swapped	False	False
We are four able bodied men in this household , so that we could take good care of ourselves	We are four able-bodied men in this household , so that we could take good care of ourselves , but I confess that I have had uneasy moments when I have thought of the Stapletons .	swapped	False	False
If he had been her brother I should have known better how to answer him .	If he had not been her brother I should have known better how to answer him .	swapped	False	False
Well , this morning he had gone ten paces down the road when two men came up behind him , threw a coat over his head , and bundled him into a cab that was beside the curb .	Well , this morning he had not gone ten paces down the road when two men came up behind him , threw a coat over his head , and bundled him into a cab that was beside the curb .	swapped	False	False
his advances should be rejected so brusquely some reference to the lady 's own wishes	That his advances should be rejected so brusquely without any reference to the lady 's own wishes and that the lady should accept the situation without protest is very amazing .	swapped	False	False
this place contains some secret which we have not already fathomed	Well , I do not know that this place contains any secret which we have not already fathomed .	swapped	False	False
those events are	"Please arrange your thoughts and let me know , in their due sequence , exactly what those events are which have sent you out unbrushed and unkempt , with dress boots and waistcoat buttoned awry , in search of advice and assistance . """	swapped	False	False
If stops the sound and electricity in the loop , it will travel faster and faster , which is why feedback starts out as a low hum and turns into a high squeal very quickly This is an example of a positive feedback loop	If nothing stops the sound and electricity in the loop , it will travel faster and faster , which is why feedback starts out as a low hum and turns into a high squeal very quickly This is an example of a positive feedback loop : the output reinforces the input ; it makes the input stronger .	swapped	False	False
"For example , it is now known that the ` ` surface "" of Halley is largely composed of dusty ,volatile materials , and that only a small portion of it is icy ."	"For example , it is now known that the "" surface "" of Halley is largely composed of dusty , non-volatile materials , and that only a small portion of it is icy ."	swapped	False	False
I not seen his death in the paper next morning	""" So I should have done had I not seen his death in the paper next morning . """	swapped	False	False
"You do believe such nonsense as that ? "" said I ."	"You do not believe such nonsense as that ? "" said I ."	swapped	False	False
we could refuse to help him	He knew that I was here and that we could not refuse to help him .	swapped	False	False
they had done	""" All would now have been well for them had it not been for my knowledge of what they had done ."	swapped	False	False
I can see now how she was plotting and scheming and poisoning my wife 's mind against me , but I was such a blind beetle that I could understand it at the time .	I can see now how she was plotting and scheming and poisoning my wife 's mind against me , but I was such a blind beetle that I could not understand it at the time .	swapped	False	False
they get in the way of going there in the dry weather and know the difference until the mire has them in its clutches	Two in two days , and many more , perhaps , for they get in the way of going there in the dry weather and never know the difference until the mire has them in its clutches .	swapped	False	False
those two faces staring at mestaring at me as they stared when my boat broke through the haze	I can not shut my eyes but I see those two faces staring at mestaring at me as they stared when my boat broke through the haze .	swapped	False	False
"` ` Our difficulties are over , "" he remarked , shaking his head ."	""" Our difficulties are not over , "" he remarked , shaking his head ."	swapped	False	False
I shall forgive myself for having left him to his fate	""" Oh Holmes , I shall never forgive myself for having left him to his fate . """	swapped	False	False
Of course we know that a hound does bite a dead body and that Sir Charles was dead before ever the brute overtook him .	Of course we know that a hound does not bite a dead body and that Sir Charles was dead before ever the brute overtook him .	swapped	False	False
Now and then we passed a moorland cottage , walled and roofed with stone , with creeper to break its harsh outline .	Now and then we passed a moorland cottage , walled and roofed with stone , with no creeper to break its harsh outline .	swapped	False	False
Lesotho has no coast on the sea nor on a lake .	Lesotho has no coast on the sea nor on a lake .	swapped	False	False
up to today there was of importance to relate	If you have not had any report within the last few days it is because up to today there was nothing of importance to relate .	swapped	False	False
I do believe I will again until I get past all waking	I tell you I 've not shut an eye in sleep since I did it , and I do not believe I ever will again until I get past all waking .	swapped	False	False
one realized that one was indeed entangled in its meshes	Always there was this feeling of an unseen force , a fine net drawn round us with infinite skill and delicacy , holding us so lightly that it was only at some supreme moment that one realized that one was indeed entangled in its meshes .	swapped	False	False
The words are written with a broad pointed , violet tinted pencil of a not usual pattern .	The words are written with a broad-pointed , violet-tinted pencil of a not unusual pattern .	swapped	False	False
he had wonderful polite ways with him for a sailor man , so that I think there must have been a time when he knew more of the poop than the forecastle	He was good company , I wo not deny it , and he had wonderful polite ways with him for a sailor man , so that I think there must have been a time when he knew more of the poop than the forecastle .	swapped	False	False
there she was , sitting by the side of Fairbairn , the two chatting and laughing , with a thought for me as I stood watching them from the footpath	The thought was in my head as I turned into my own street , and at that moment a cab passed me , and there she was , sitting by the side of Fairbairn , the two chatting and laughing , with never a thought for me as I stood watching them from the footpath .	swapped	False	False
you do mention my name at all in connection with the case	I should prefer that you do not mention my name at all in connection with the case , as I choose to be only associated with those crimes which present some difficulty in their solution .	swapped	False	False
I have heard of some	""" I have not heard of any . """	swapped	False	False
physical events must look the same to all observers	"Galileo had already established the principle of relativity , which said that physical events must look the same to all observers , and no observer has the "" right "" way to look at the things studied by physics ."	swapped	False	False
we have some reason to think that there is a guilty reason for it	We have no excuse for an intrusion upon his privacy until we have some reason to think that there is a guilty reason for it .	swapped	False	False
what she says is corroborated	""" If what she says is corroborated , I do not think she or her husband has much to fear ."	swapped	False	False
"the ` ` surface "" of Halley is largely composed of dusty ,volatile materials"	"For example , it is now known that the "" surface "" of Halley is largely composed of dusty , non-volatile materials , and that only a small portion of it is icy ."	swapped	False	False
the earth told a true story	If the earth told a true story , then Stapleton never reached that island of refuge towards which he struggled through the fog upon that last night .	swapped	False	False
them know that they are watched	"Creep forward quietly and see what they are doingbut for heaven 's sake do not let them know that they are watched ! """	swapped	False	False
you can come	"Watson , you will send a note to Stapleton to tell him that you regret that you can not come . """	swapped	False	False
There was trace , however , of anything of the kind	There was no trace , however , of anything of the kind , nor could I discover any sign which might indicate the character or intentions of the man who lived in this singular place , save that he must be of Spartan habits and cared little for the comforts of life .	swapped	False	False
the poor devil of a convict ran and screamed , even as our friend did , and as we ourselves might have done , when he saw such a creature bounding through the darkness of the moor upon his track	No wonder the poor devil of a convict ran and screamed , even as our friend did , and as we ourselves might have done , when he saw such a creature bounding through the darkness of the moor upon his track .	swapped	False	False
But when little Mary was there I had a thought of her , and that I swear as I hope for God 's mercy .	But when little Mary was there I had never a thought of her , and that I swear as I hope for God 's mercy .	swapped	False	False
The main character , Angus MacGyver Richard Dean Anderson , often prevented inevitable defeats , saved lives , distracted enemies , made weapons , and even performed everyday tasks usually using very few objects that seemed irrelevant or normal to use in such situations .	The main character , Angus MacGyver ( Richard Dean Anderson ) , often prevented inevitable defeats , saved lives , distracted enemies , made weapons , and even performed everyday tasks usually using very few objects that seemed irrelevant or abnormal to use in such situations .	swapped	False	False
"I trust , sir , that I have inadvertently"""	"I trust , sir , that I have not inadvertently"""	swapped	False	False
he was responsible for what he said or did	He had not understood , he said , that I was becoming attached to her , but when he saw with his own eyes that it was really so , and that she might be taken away from him , it gave him such a shock that for a time he was not responsible for what he said or did .	swapped	False	False
I have been on guard in this house	You are aware that I am not a very sound sleeper , and since I have been on guard in this house my slumbers have been lighter than ever .	swapped	False	False
"If I had every confidence in your nerve and courage I would suggest it , but it is essential that you should do it . """	"If I had not every confidence in your nerve and courage I would not suggest it , but it is essential that you should do it . """	swapped	False	False
` ` Well , I can blame you for standing by your own wife .	""" Well , I can not blame you for standing by your own wife ."	swapped	False	False
one can glance at your toilet and attire without seeing that your disturbance dates from the moment of your waking	"But no one can glance at your toilet and attire without seeing that your disturbance dates from the moment of your waking . """	swapped	False	False
"` ` It 's wonder my uncle felt as if trouble were coming on him in such a place as this , "" said he ."	""" It 's no wonder my uncle felt as if trouble were coming on him in such a place as this , "" said he ."	swapped	False	False
After his habit he said thing , and after mine I asked questions .	After his habit he said nothing , and after mine I asked no questions .	swapped	False	False
` I did think you would have taken advantage of it , Sir Henry	""" I did not think you would have taken advantage of it , Sir Henryindeed I did not . """	swapped	False	False
if she really wanted me to go , the only way to work it was for her to arrange to go with me	I told her that since I had seen her I was in no hurry to leave it , and that if she really wanted me to go , the only way to work it was for her to arrange to go with me .	swapped	False	False
they should have lived so thickly on what must always have been most fruitful soil	The strange thing is that they should have lived so thickly on what must always have been most unfruitful soil .	swapped	False	False
There 's doubt about the authenticity	""" There 's no doubt about the authenticity , for the name and the date , 1647 , are on the back of the canvas . """	swapped	False	False
The war had given them to replace those dreams	The war had destroyed their dreams and had given them nothing to replace those dreams .	swapped	False	False
your coming back alive	I assure you that there would not be the least chance of your coming back alive .	swapped	False	False
I am suspected	"You do not meanyou do not mean that I am suspected ? """	swapped	False	False
"` ` Your case is complete , then ? "" I asked ."	""" Your case is not complete , then ? "" I asked ."	swapped	False	False
